000000018d6a9308 (__TEXT,__const) non-external _KW_ANY
000000018d6a928d (__TEXT,__const) non-external _KW_ATTLIST
000000018d6a92bb (__TEXT,__const) non-external _KW_CDATA
000000018d6a9270 (__TEXT,__const) non-external _KW_DOCTYPE
000000018d6a9295 (__TEXT,__const) non-external _KW_ELEMENT
000000018d6a9302 (__TEXT,__const) non-external _KW_EMPTY
000000018d6a92d1 (__TEXT,__const) non-external _KW_ENTITIES
000000018d6a9286 (__TEXT,__const) non-external _KW_ENTITY
000000018d6a92fc (__TEXT,__const) non-external _KW_FIXED
000000018d6a92c1 (__TEXT,__const) non-external _KW_ID
000000018d6a92c4 (__TEXT,__const) non-external _KW_IDREF
000000018d6a92ca (__TEXT,__const) non-external _KW_IDREFS
000000018d6a92ae (__TEXT,__const) non-external _KW_IGNORE
000000018d6a92eb (__TEXT,__const) non-external _KW_IMPLIED
000000018d6a92a6 (__TEXT,__const) non-external _KW_INCLUDE
000000018d6a9a18 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018d6a92b5 (__TEXT,__const) non-external _KW_NDATA
000000018d6a92da (__TEXT,__const) non-external _KW_NMTOKEN
000000018d6a92e2 (__TEXT,__const) non-external _KW_NMTOKENS
000000018d6a929d (__TEXT,__const) non-external _KW_NOTATION
000000018d6a930c (__TEXT,__const) non-external _KW_PCDATA
000000018d6a927f (__TEXT,__const) non-external _KW_PUBLIC
000000018d6a92f3 (__TEXT,__const) non-external _KW_REQUIRED
000000018d6a9278 (__TEXT,__const) non-external _KW_SYSTEM
000000018d6a9a23 (__TEXT,__const) non-external _KW_US_ASCII
000000018d6a9a32 (__TEXT,__const) non-external _KW_UTF_16
000000018d6a9a39 (__TEXT,__const) non-external _KW_UTF_16BE
000000018d6a9a42 (__TEXT,__const) non-external _KW_UTF_16LE
000000018d6a9a2c (__TEXT,__const) non-external _KW_UTF_8
000000018d6a9a59 (__TEXT,__const) non-external _KW_encoding
000000018d6a9a71 (__TEXT,__const) non-external _KW_no
000000018d6a9a62 (__TEXT,__const) non-external _KW_standalone
000000018d6a9a51 (__TEXT,__const) non-external _KW_version
000000018d6a9a6d (__TEXT,__const) non-external _KW_yes
000000018d691970 (__TEXT,__text) external _XML_DefaultCurrent
000000018d691aa0 (__TEXT,__text) external _XML_ErrorString
000000018d691ac4 (__TEXT,__text) external _XML_ExpatVersion
000000018d691ad0 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018d690140 (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018d69191c (__TEXT,__text) external _XML_FreeContentModel
000000018d690e3c (__TEXT,__text) external _XML_GetBase
000000018d69127c (__TEXT,__text) external _XML_GetBuffer
000000018d691800 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018d6917dc (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018d6918c4 (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018d691868 (__TEXT,__text) external _XML_GetCurrentLineNumber
