                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
000000023d18a4e0 (__TEXT,__const) external _FMSampleRateUnknown
000000023d18a4e8 (__TEXT,__const) external _FMSampleRate_44100
000000023d18a4f0 (__TEXT,__const) external _FMSampleRate_48000
000000028c3e0500 (__DATA_CONST,__const) external _FMSongArtworkAssetID
000000028c3e0518 (__DATA_CONST,__const) external _FMSongAssetCompatibilityVersion
000000028c3e0510 (__DATA_CONST,__const) external _FMSongAssetContentVersion
000000028c3e0508 (__DATA_CONST,__const) external _FMSongAssetDownloadProgressChanged
000000028c3e0570 (__DATA_CONST,__const) external _FMSongAssetsChanged
000000028c3e04f8 (__DATA_CONST,__const) external _FMSongBundleAssetID
000000028c3e0568 (__DATA_CONST,__const) external _FMSongBundleExtension
000000028c3e0580 (__DATA_CONST,__const) external _FMSongFormat_Legacy
000000028c3e0578 (__DATA_CONST,__const) external _FMSongFormat_ML
000000028c3e0200 (__DATA_CONST,__const) external _FMSongLibraryAvailableSongsChanged
000000028c3e0220 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
000000028c3e0248 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
000000028c3e0250 (__DATA_CONST,__const) external _FMSongLibraryInitOption_EnableFetchCache
000000028c3e0238 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
000000028c3e0230 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
000000028c3e0240 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
000000028c3e0228 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
000000028c3e0218 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
000000028c3e0208 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
000000028c3e0210 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
000000023d18a648 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
000000028c3e0848 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
000000028c3e0850 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
000000028c3e0858 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
000000028c3e0838 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
000000028c3e0840 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
000000028c3e0820 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
000000028c3e0830 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
000000028c3e0828 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
000000028c3e0810 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
000000028c3e0818 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
000000028c3e0870 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_128
000000028c3e0860 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
000000028c3e0868 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
000000028c3e0890 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
000000028c3e08a8 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
000000028c3e08a0 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
000000028c3e08b8 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
000000028c3e08b0 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
