00007ffd0aa21048 (__TEXT,__text) non-external _Done_iODBC
00007ffd0aa3eea0 (__TEXT,__const) non-external _FunctionNumbers
00007ffd0aa3de74 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffd0aa20f2a (__TEXT,__text) non-external _Init_iODBC
00007ffd4313ea6c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffd0aa1f5ae (__TEXT,__text) external _SQLAllocConnect
00007ffd0aa1f494 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffd0aa20eb1 (__TEXT,__text) external _SQLAllocEnv
00007ffd0aa20cf9 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffd0aa2b63c (__TEXT,__text) external _SQLAllocHandle
00007ffd0aa2b737 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffd0aa2b3a0 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffd0aa2416e (__TEXT,__text) external _SQLAllocStmt
00007ffd0aa23b78 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffd0aa29299 (__TEXT,__text) external _SQLBindCol
00007ffd0aa3162c (__TEXT,__text) external _SQLBindParam
00007ffd0aa285d2 (__TEXT,__text) external _SQLBindParameter
00007ffd0aa1c109 (__TEXT,__text) external _SQLBrowseConnect
00007ffd0aa1c278 (__TEXT,__text) external _SQLBrowseConnectA
00007ffd0aa1c3e7 (__TEXT,__text) external _SQLBrowseConnectW
00007ffd0aa1ba8d (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffd0aa310eb (__TEXT,__text) external _SQLBulkOperations
00007ffd0aa2507a (__TEXT,__text) external _SQLCancel
00007ffd0aa31658 (__TEXT,__text) external _SQLCloseCursor
00007ffd0aa30b30 (__TEXT,__text) external _SQLColAttribute
00007ffd0aa30cda (__TEXT,__text) external _SQLColAttributeA
00007ffd0aa30e84 (__TEXT,__text) external _SQLColAttributeW
00007ffd0aa303f0 (__TEXT,__text) non-external _SQLColAttribute_Internal
