                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffc06bc1698 (__TEXT,__text) external _DRBufferAsResource
00007ffc06bc1877 (__TEXT,__text) external _DRBufferCopyDescriptor
00007ffc06bc17a7 (__TEXT,__text) external _DRBufferCreateUnmanaged
00007ffc06bc1730 (__TEXT,__text) external _DRBufferDescriptorCreate
00007ffc06bc177f (__TEXT,__text) external _DRBufferDescriptorGetCapacity
00007ffc06bc1793 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
00007ffc06bc1789 (__TEXT,__text) external _DRBufferDescriptorSetCapacity
00007ffc06bc179d (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
00007ffc06bc18d0 (__TEXT,__text) external _DRBufferGetBytesUsed
00007ffc06bc18ef (__TEXT,__text) external _DRBufferRead
00007ffc06bc192e (__TEXT,__text) external _DRBufferReadUsing
00007ffc06bc1904 (__TEXT,__text) external _DRBufferReplace
00007ffc06bc1975 (__TEXT,__text) external _DRBufferReplaceUsing
00007ffc06bc18da (__TEXT,__text) external _DRBufferSetBytesUsed
00007ffc06bc1919 (__TEXT,__text) external _DRBufferUpdate
00007ffc06bc1bfa (__TEXT,__text) external _DRClientConnectionConfigCreate
00007ffc06bc1c4a (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
00007ffc06bc1c40 (__TEXT,__text) external _DRClientConnectionConfigSetUserData
00007ffc06bc1d91 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
00007ffc06bc1da1 (__TEXT,__text) external _DRClientConnectionReceive
00007ffc06bc1db6 (__TEXT,__text) external _DRClientConnectionTearDown
00007ffc06bc1fec (__TEXT,__text) external _DRCommitQueueApplyAll
00007ffc06bc1f3a (__TEXT,__text) external _DRCommitQueueApplyThrough
00007ffc06bc205f (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
00007ffc06bc2068 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
00007ffc06bc1e96 (__TEXT,__text) external _DRCommitQueueEnumerate
00007ffc06bc2000 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
00007ffc06bc200a (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
00007ffc06bc201f (__TEXT,__text) external _DRCommitQueueTakeFrom
00007ffc06bc203f (__TEXT,__text) external _DRCommitQueueTakeThrough
00007ffc06bc0d59 (__TEXT,__text) external _DRContextCommit
00007ffc06bc0eef (__TEXT,__text) external _DRContextCommitAddCommandBuffer
00007ffc06bc0e7b (__TEXT,__text) external _DRContextCommitAddFence
00007ffc06bc07d8 (__TEXT,__text) external _DRContextConfigCreate
00007ffc06bc0882 (__TEXT,__text) external _DRContextConfigGetMode
00007ffc06bc08aa (__TEXT,__text) external _DRContextConfigSetDevice
00007ffc06bc0845 (__TEXT,__text) external _DRContextConfigSetDispatchQueue
00007ffc06bc0896 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
00007ffc06bc0878 (__TEXT,__text) external _DRContextConfigSetMode
00007ffc06bc088c (__TEXT,__text) external _DRContextConfigSetReuseStrategy
00007ffc06bc08a0 (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
00007ffc06bc0915 (__TEXT,__text) external _DRContextCreate
00007ffc06bc0c74 (__TEXT,__text) external _DRContextCreateBuffer
00007ffc06bc1c7d (__TEXT,__text) external _DRContextCreateClient
00007ffc06bc1e45 (__TEXT,__text) external _DRContextCreateCommitQueue
00007ffc06bc09ad (__TEXT,__text) external _DRContextCreateMesh
00007ffc06bc0a59 (__TEXT,__text) external _DRContextCreateTexture
00007ffc06bc0b05 (__TEXT,__text) external _DRContextCreateTextureFromResource
00007ffc06bc0e29 (__TEXT,__text) external _DRContextGetCommitUserPayload
00007ffc06bc0d20 (__TEXT,__text) external _DRContextHasOpenCommit
00007ffc06bc1262 (__TEXT,__text) external _DRContextSetChangeObserver
00007ffc06bc0d9e (__TEXT,__text) external _DRContextSetCommitUserPayload
00007ffc06bc0f72 (__TEXT,__text) external _DRContextSetOnCommitBegan
00007ffc06bc10f1 (__TEXT,__text) external _DRContextSetOnCommitComplete
00007ffc06bc02b5 (__TEXT,__text) external _DRFenceCreate
00007ffc06bc0307 (__TEXT,__text) external _DRFenceGetLabel
00007ffc06bc02f2 (__TEXT,__text) external _DRFenceInvalidate
00007ffc06bc170a (__TEXT,__text) external _DRMaterialAsResource
00007ffc06bc3378 (__TEXT,__const) external _DRMaxVertexBuffers
00007ffc06bc1a1c (__TEXT,__text) external _DRMemoryResourceCopyBuffer
00007ffc06bc1a46 (__TEXT,__text) external _DRMemoryResourceCopyToXPC
00007ffc06bc19ec (__TEXT,__text) external _DRMemoryResourceCreate
00007ffc06bc1b1f (__TEXT,__text) external _DRMemoryResourceCreateFromSharedTextureHandle
00007ffc06bc1a64 (__TEXT,__text) external _DRMemoryResourceCreateFromXPC
00007ffc06bc1ad4 (__TEXT,__text) external _DRMemoryResourceDidUpdateBytes
00007ffc06bc1abf (__TEXT,__text) external _DRMemoryResourceGetBytes
00007ffc06bc1ab5 (__TEXT,__text) external _DRMemoryResourceGetLength
00007ffc06bc1aa8 (__TEXT,__text) external _DRMemoryResourceIsPrivateToProcess
00007ffc06bc15a4 (__TEXT,__text) external _DRMeshAsResource
00007ffc06bbf637 (__TEXT,__text) external _DRMeshCopyDescriptor
00007ffc06bbf56a (__TEXT,__text) external _DRMeshCreateUnmanaged
