00007ff84391b6b0 (__DATA,__data) external _NDR_record
00007ff802e19e22 (__TEXT,__text) non-external __Xexception_raise
00007ff802e19eca (__TEXT,__text) non-external __Xexception_raise_state
00007ff802e19fd4 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff802e0b0e0 (__TEXT,__text) external _____sigwait_nocancel
00007ff802e2b738 (__TEXT,__const) external ____kernelVersionNumber
00007ff802e2b700 (__TEXT,__const) external ____kernelVersionString
00007ff802e0b0f8 (__TEXT,__text) external ___abort_with_payload
00007ff802e07868 (__TEXT,__text) external ___accept
00007ff802e0b110 (__TEXT,__text) external ___accept_nocancel
00007ff802e0b128 (__TEXT,__text) external ___access_extended
00007ff802e0b140 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff802e06d48 (__TEXT,__text) external ___bind
00007ff802e03b54 (__TEXT,__text) external ___bsdthread_create
00007ff802e022f8 (__TEXT,__text) external ___bsdthread_ctl
00007ff802e055d0 (__TEXT,__text) external ___bsdthread_register
00007ff802e02fa4 (__TEXT,__text) external ___bsdthread_terminate
00007ff802e0c6b6 (__TEXT,__text) non-external ___bzero
00007ff802e0aa97 (__TEXT,__text) external ___carbon_delete
00007ff802e0b158 (__TEXT,__text) external ___channel_get_info
00007ff802e0b170 (__TEXT,__text) external ___channel_get_opt
00007ff802e0b188 (__TEXT,__text) external ___channel_open
00007ff802e0b1a0 (__TEXT,__text) external ___channel_set_opt
00007ff802e0b1b8 (__TEXT,__text) external ___channel_sync
00007ff802e03ae4 (__TEXT,__text) external ___chmod
00007ff802e051b0 (__TEXT,__text) external ___chmod_extended
00007ff802e01fb0 (__TEXT,__text) external ___close_nocancel
00007ff802e0b1d0 (__TEXT,__text) external ___coalition
00007ff802e0b1e8 (__TEXT,__text) external ___coalition_info
00007ff802e0b200 (__TEXT,__text) external ___coalition_ledger
00007ff802e023c4 (__TEXT,__text) external ___commpage_gettimeofday
00007ff802e023cb (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff802e04234 (__TEXT,__text) external ___connect
00007ff802e040c0 (__TEXT,__text) external ___connect_nocancel
00007ff802e0b218 (__TEXT,__text) external ___copyfile
00007ff802e0b230 (__TEXT,__text) external ___crossarch_trap
00007ff802e01378 (__TEXT,__text) external ___csrctl
00007ff802e1319b (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff802e0b248 (__TEXT,__text) external ___debug_syscall_reject
00007ff802e0b260 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff802e0aab0 (__TEXT,__text) external ___delete
00007ff802e02f8c (__TEXT,__text) external ___disable_threadsignal
00007ff802e012df (__TEXT,__text) external ___error
00007ff802e0b278 (__TEXT,__text) external ___execve
00007ff802e068d0 (__TEXT,__text) external ___exit
00007ff802e0443c (__TEXT,__text) external ___fchmod
00007ff802e052e4 (__TEXT,__text) external ___fchmod_extended
00007ff802e01598 (__TEXT,__text) external ___fcntl
00007ff802e04090 (__TEXT,__text) external ___fcntl_nocancel
00007ff802e06bb0 (__TEXT,__text) external ___fork
00007ff802e0b290 (__TEXT,__text) external ___fs_snapshot
00007ff802e052cc (__TEXT,__text) external ___fstat64_extended
00007ff802e0b2a8 (__TEXT,__text) external ___fstat_extended
00007ff802e0b2c0 (__TEXT,__text) external ___fsync_nocancel
00007ff802e083f9 (__TEXT,__text) external ___get_remove_counter
00007ff802e012f8 (__TEXT,__text) external ___getattrlist
00007ff802e02280 (__TEXT,__text) external ___getdirentries64
00007ff802e05180 (__TEXT,__text) external ___gethostuuid
00007ff802e0a590 (__TEXT,__text) external ___getlogin
00007ff802e04338 (__TEXT,__text) external ___getpeername
00007ff802e00f34 (__TEXT,__text) external ___getpid
