00000001804ad7dc (__TEXT,__text) external _OSAtomicAdd32
00000001804ad89c (__TEXT,__text) external _OSAtomicAdd32Barrier
00000001804ad998 (__TEXT,__text) external _OSAtomicAdd64
00000001804adb10 (__TEXT,__text) external _OSAtomicAdd64Barrier
00000001804adaa0 (__TEXT,__text) external _OSAtomicAnd32
00000001804ae564 (__TEXT,__text) external _OSAtomicAnd32Barrier
00000001804ae4d8 (__TEXT,__text) external _OSAtomicAnd32Orig
00000001804ad9bc (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
00000001804ad7c8 (__TEXT,__text) external _OSAtomicCompareAndSwap32
00000001804ad85c (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
00000001804ac858 (__TEXT,__text) external _OSAtomicCompareAndSwap64
00000001804ad848 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
00000001804ada58 (__TEXT,__text) external _OSAtomicCompareAndSwapInt
00000001804adb40 (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
00000001804ada78 (__TEXT,__text) external _OSAtomicCompareAndSwapLong
00000001804ad9c8 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
00000001804ada8c (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
00000001804ad870 (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
00000001804acd98 (__TEXT,__text) external _OSAtomicDecrement32
00000001804ad910 (__TEXT,__text) external _OSAtomicDecrement32Barrier
00000001804adb00 (__TEXT,__text) external _OSAtomicDecrement64
00000001804adab0 (__TEXT,__text) external _OSAtomicDecrement64Barrier
00000001804aafb0 (__TEXT,__text) external _OSAtomicDequeue
00000001804ab28c (__TEXT,__text) external _OSAtomicEnqueue
00000001804af424 (__TEXT,__text) external _OSAtomicFifoDequeue
00000001804b0c44 (__TEXT,__text) non-external _OSAtomicFifoDequeue.cold.1
00000001804af3c0 (__TEXT,__text) external _OSAtomicFifoEnqueue
00000001804b0c44 (__TEXT,__text) non-external _OSAtomicFifoEnqueue.cold.1
00000001804acd88 (__TEXT,__text) external _OSAtomicIncrement32
00000001804ad900 (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804ad65c (__TEXT,__text) external _OSAtomicIncrement64
00000001804ada48 (__TEXT,__text) external _OSAtomicIncrement64Barrier
00000001804ada6c (__TEXT,__text) external _OSAtomicOr32
00000001804ad884 (__TEXT,__text) external _OSAtomicOr32Barrier
00000001804adb38 (__TEXT,__text) external _OSAtomicOr32Orig
00000001804afffc (__TEXT,__text) external _OSAtomicOr32OrigBarrier
00000001804adac0 (__TEXT,__text) external _OSAtomicTestAndClear
00000001804ae524 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
00000001804ae4e4 (__TEXT,__text) external _OSAtomicTestAndSet
00000001804ad9dc (__TEXT,__text) external _OSAtomicTestAndSetBarrier
00000001804b0004 (__TEXT,__text) external _OSAtomicXor32
00000001804ad890 (__TEXT,__text) external _OSAtomicXor32Barrier
00000001804b0010 (__TEXT,__text) external _OSAtomicXor32Orig
00000001804b0018 (__TEXT,__text) external _OSAtomicXor32OrigBarrier
00000001804ad840 (__TEXT,__text) external _OSMemoryBarrier
00000001804ad638 (__TEXT,__text) external _OSSpinLockLock
00000001804ad9a4 (__TEXT,__text) external _OSSpinLockTry
00000001804ad654 (__TEXT,__text) external _OSSpinLockUnlock
00000001804b13f0 (__TEXT,__const) non-external _UUID_NULL
00000001804b1517 (__TEXT,__cstring) non-external __0x
00000001804b14f5 (__TEXT,__cstring) non-external __H
00000001804b0048 (__TEXT,__text) non-external __OSAtomicDequeue_misalign
00000001804b0020 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
00000001804ad920 (__TEXT,__text) external __OSSpinLockLockSlow
00000001804af760 (__TEXT,__text) non-external __OSSpinLockLockYield
00000001804acf90 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001ee419890 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
