00007ff80cb68ee0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80cb686e0 (__TEXT,__const) non-external _SF_BYTESEQ_CHARS
00007ff80cb67ee0 (__TEXT,__const) non-external _SF_DQUOTE_CHARS
00007ff80cb68ae0 (__TEXT,__const) non-external _SF_KEY_CHARS
00007ff80cb682e0 (__TEXT,__const) non-external _SF_TOKEN_CHARS
00007ff80cb699e0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80cb694e0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80cb68fe0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80cb698e0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80cb693e0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80cb63470 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80cb63490 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80cb56a3d (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80cb5b9b0 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80cb5f388 (__TEXT,__text) non-external _bubble_down
00007ff80cb5f326 (__TEXT,__text) non-external _bubble_up
00007ff80cb56964 (__TEXT,__text) non-external _buf_chain_new
00007ff80cb5f4ff (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80cb567e4 (__TEXT,__text) non-external _default_calloc
00007ff80cb56bba (__TEXT,__text) non-external _default_free
00007ff80cb56890 (__TEXT,__text) non-external _default_malloc
00007ff80cb56a2e (__TEXT,__text) non-external _default_realloc
00007ff80cb5b4d0 (__TEXT,__text) non-external _emit_indname_block
00007ff80cb5b600 (__TEXT,__text) non-external _emit_string
00007ff80cb5e485 (__TEXT,__text) non-external _emit_table_size
00007ff80cb5bd0a (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80cb6199e (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80cb5e31e (__TEXT,__text) non-external _hd_context_free
00007ff80cb5c75d (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80cb5f209 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80cb5d6cf (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80cb5d792 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80cb5d5df (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80cb5d4c0 (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80cb5e383 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80cb63e90 (__TEXT,__const) non-external _huff_decode_table
00007ff80cb63680 (__TEXT,__const) non-external _huff_sym_table
00007ff80cb59fdc (__TEXT,__text) non-external _insert
00007ff80cb5e95c (__TEXT,__text) non-external _insert_link_dep
00007ff80cb5a972 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff8425f4760 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80cb57587 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80cb56d96 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80cb5bcc8 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80cb5e41b (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80cb63413 (__TEXT,__text) external _nghttp2_check_authority
00007ff80cb55e50 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80cb55e91 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80cb63361 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff80cb633b5 (__TEXT,__text) external _nghttp2_check_method
00007ff80cb633e3 (__TEXT,__text) external _nghttp2_check_path
00007ff80cb5be7c (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80cb5ec0d (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff80cb5a195 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff80cb5eb49 (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff80cb5a169 (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80cb5c71e (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80cb5f0cc (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80cb5f250 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80cb5f25a (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80cb5f1f1 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80cb5f1ff (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80cb5eda1 (__TEXT,__text) external _nghttp2_hd_deflate_hd
