                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001914c3a60 (__TEXT,__text) non-external _alone_decode
00000001914c3d04 (__TEXT,__text) non-external _alone_decoder_end
00000001914c3d44 (__TEXT,__text) non-external _alone_decoder_memconfig
00000001914c248c (__TEXT,__text) non-external _alone_encode
00000001914c25a4 (__TEXT,__text) non-external _alone_encoder_end
00000001914c2310 (__TEXT,__text) non-external _alone_encoder_init
00000001914cd7f0 (__TEXT,__text) non-external _arm64_code
00000001914d044c (__TEXT,__text) non-external _arm_code
00000001914d0538 (__TEXT,__text) non-external _armthumb_code
00000001914c3f70 (__TEXT,__text) non-external _auto_decode
00000001914c40ec (__TEXT,__text) non-external _auto_decoder_end
00000001914c412c (__TEXT,__text) non-external _auto_decoder_get_check
00000001914c3e68 (__TEXT,__text) non-external _auto_decoder_init
00000001914c4144 (__TEXT,__text) non-external _auto_decoder_memconfig
00000001914d5ed8 (__TEXT,__const) non-external _bcj_optmap
00000001914c268c (__TEXT,__text) non-external _block_buffer_encode
00000001914c4494 (__TEXT,__text) non-external _block_decode
00000001914c4708 (__TEXT,__text) non-external _block_decoder_end
00000001914bcca8 (__TEXT,__text) non-external _block_encode
00000001914c2930 (__TEXT,__text) non-external _block_encode_normal
00000001914c2a98 (__TEXT,__text) non-external _block_encode_uncompressed
00000001914c118c (__TEXT,__text) non-external _block_encoder_end
00000001914bade0 (__TEXT,__text) non-external _block_encoder_init
00000001914c2c40 (__TEXT,__text) non-external _block_encoder_update
00000001914c006c (__TEXT,__text) non-external _bt_find_func
00000001914bde64 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
00000001914cfdb4 (__TEXT,__text) non-external _copy_or_code
00000001914c91d8 (__TEXT,__text) non-external _decode_buffer
00000001914c4bbc (__TEXT,__text) non-external _decoder_find
00000001ef8acec8 (__AUTH_CONST,__const) non-external _decoders
00000001914cf64c (__TEXT,__text) non-external _delta_coder_end
00000001914cf870 (__TEXT,__text) non-external _delta_decode
00000001914cf6dc (__TEXT,__text) non-external _delta_encode
00000001914cf80c (__TEXT,__text) non-external _delta_encoder_update
00000001914d5ef0 (__TEXT,__const) non-external _delta_optmap
00000001914bb374 (__TEXT,__text) non-external _encoder_find
00000001ef8acc60 (__AUTH_CONST,__const) non-external _encoders
00000001914d1ca0 (__TEXT,__const) non-external _features
00000001914c9ec8 (__TEXT,__text) non-external _file_info_decode
00000001914ca494 (__TEXT,__text) non-external _file_info_decoder_end
00000001914ca4f0 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001ef8ad028 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
00000001914c01b8 (__TEXT,__text) non-external _get_literal_price
00000001914d0a3c (__TEXT,__text) non-external _get_options
00000001914d1228 (__TEXT,__text) non-external _get_progress
00000001914cf158 (__TEXT,__text) non-external _get_thread
00000001914c5564 (__TEXT,__text) non-external _hash_append
00000001914c72f8 (__TEXT,__text) non-external _hc_find_func
00000001914d0278 (__TEXT,__text) non-external _ia64_code
00000001914d80a0 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
00000001914c1e58 (__TEXT,__text) non-external _index_cat_helper
00000001914c4ecc (__TEXT,__text) non-external _index_decode
00000001914c51a8 (__TEXT,__text) non-external _index_decoder_end
00000001914c51ec (__TEXT,__text) non-external _index_decoder_memconfig
00000001914c09bc (__TEXT,__text) non-external _index_encode
00000001914c1294 (__TEXT,__text) non-external _index_encoder_end
00000001914c1310 (__TEXT,__text) non-external _index_stream_end
00000001914baa58 (__TEXT,__text) non-external _index_tree_append
00000001914c1298 (__TEXT,__text) non-external _index_tree_node_end
00000001914bbb28 (__TEXT,__text) non-external _is_options_valid
00000001914c0de4 (__TEXT,__text) non-external _iter_set_info
00000001914bbb80 (__TEXT,__text) non-external _length_encoder_reset
00000001914bbc68 (__TEXT,__text) non-external _length_update_prices
00000001914c8fb8 (__TEXT,__text) non-external _lz_decode
00000001914c9160 (__TEXT,__text) non-external _lz_decoder_end
00000001914bceb0 (__TEXT,__text) non-external _lz_encode
00000001914c11cc (__TEXT,__text) non-external _lz_encoder_end
00000001914bbe08 (__TEXT,__text) non-external _lz_encoder_prepare
00000001914c7104 (__TEXT,__text) non-external _lz_encoder_set_out_limit
00000001914c708c (__TEXT,__text) non-external _lz_encoder_update
00000001914c6ae4 (__TEXT,__text) non-external _lzip_decode
00000001914c6f28 (__TEXT,__text) non-external _lzip_decoder_end
00000001914c6f6c (__TEXT,__text) non-external _lzip_decoder_get_check
00000001914c6f74 (__TEXT,__text) non-external _lzip_decoder_memconfig
00000001914d5e78 (__TEXT,__const) non-external _lzma12_mf_map
00000001914d5e48 (__TEXT,__const) non-external _lzma12_mode_map
00000001e7165d10 (__DATA_CONST,__const) non-external _lzma12_optmap
00000001914cda64 (__TEXT,__text) non-external _lzma2_decode
00000001914cdd7c (__TEXT,__text) non-external _lzma2_decoder_end
00000001914cd8d8 (__TEXT,__text) non-external _lzma2_decoder_init
00000001914bd0bc (__TEXT,__text) non-external _lzma2_encode
00000001914c1250 (__TEXT,__text) non-external _lzma2_encoder_end
00000001914bb660 (__TEXT,__text) non-external _lzma2_encoder_init
00000001914cd70c (__TEXT,__text) non-external _lzma2_encoder_options_update
00000001914d1c88 (__TEXT,__const) non-external (was a private external) _lzma_5VersionNumber
00000001914d1c60 (__TEXT,__const) non-external (was a private external) _lzma_5VersionString
00000001914ba910 (__TEXT,__text) non-external (was a private external) _lzma_alloc
00000001914c1574 (__TEXT,__text) non-external (was a private external) _lzma_alloc_zero
00000001914c3d84 (__TEXT,__text) external _lzma_alone_decoder
00000001914c3960 (__TEXT,__text) non-external (was a private external) _lzma_alone_decoder_init
00000001914c22a4 (__TEXT,__text) external _lzma_alone_encoder
00000001914c3df4 (__TEXT,__text) external _lzma_auto_decoder
00000001914c2634 (__TEXT,__text) external _lzma_block_buffer_bound
00000001914c25e4 (__TEXT,__text) non-external (was a private external) _lzma_block_buffer_bound64
00000001914c41bc (__TEXT,__text) external _lzma_block_buffer_decode
00000001914c2684 (__TEXT,__text) external _lzma_block_buffer_encode
00000001914c178c (__TEXT,__text) external _lzma_block_compressed_size
00000001914c474c (__TEXT,__text) external _lzma_block_decoder
00000001914c4304 (__TEXT,__text) non-external (was a private external) _lzma_block_decoder_init
00000001914c2c58 (__TEXT,__text) external _lzma_block_encoder
00000001914bb04c (__TEXT,__text) non-external (was a private external) _lzma_block_encoder_init
00000001914c47b8 (__TEXT,__text) external _lzma_block_header_decode
00000001914bc82c (__TEXT,__text) external _lzma_block_header_encode
00000001914bae40 (__TEXT,__text) external _lzma_block_header_size
00000001914c17fc (__TEXT,__text) external _lzma_block_total_size
00000001914c2910 (__TEXT,__text) external _lzma_block_uncomp_encode
00000001914bc990 (__TEXT,__text) external _lzma_block_unpadded_size
00000001914bc7b4 (__TEXT,__text) non-external (was a private external) _lzma_bufcpy
00000001914c6888 (__TEXT,__text) non-external (was a private external) _lzma_check_finish
00000001914bb1d0 (__TEXT,__text) non-external (was a private external) _lzma_check_init
00000001914bb1b0 (__TEXT,__text) external _lzma_check_is_supported
00000001914d1e00 (__TEXT,__const) non-external _lzma_check_is_supported.available_checks
00000001914c0694 (__TEXT,__text) external _lzma_check_size
00000001914d1e10 (__TEXT,__const) non-external _lzma_check_size.check_sizes
00000001914bdc88 (__TEXT,__text) non-external (was a private external) _lzma_check_update
00000001914bc278 (__TEXT,__text) external _lzma_code
00000001914c3418 (__TEXT,__text) external _lzma_cputhreads
00000001914bab7c (__TEXT,__text) external _lzma_crc32
00000001914d1e20 (__TEXT,__const) non-external (was a private external) _lzma_crc32_table
00000001914c68c0 (__TEXT,__text) external _lzma_crc64
00000001914d3e20 (__TEXT,__const) non-external (was a private external) _lzma_crc64_table
00000001914ca73c (__TEXT,__text) non-external _lzma_decode
00000001914d7fa0 (__TEXT,__const) non-external _lzma_decode.next_state
00000001914cd420 (__TEXT,__text) non-external _lzma_decoder_init
00000001914cd178 (__TEXT,__text) non-external _lzma_decoder_reset
