                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetBytes (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetLength (from CoreFoundation)
                 (undefined) external _CFURLCreateWithBytes (from CoreFoundation)
000000018dfeed4c (__TEXT,__text) external _CMCloneProfileRef
00000001d6a30760 (__DATA,__bss) non-external _CMCloneProfileRef.func
000000018dfeece4 (__TEXT,__text) external _CMCloseProfile
00000001d6a30758 (__DATA,__bss) non-external _CMCloseProfile.func
000000018dfeec44 (__TEXT,__text) external _CMConvertDoubleXYZToD50
00000001d6a30750 (__DATA,__bss) non-external _CMConvertDoubleXYZToD50.func
000000018dfeebc8 (__TEXT,__text) external _CMConvertRGBFloatBitmap
00000001d6a30748 (__DATA,__bss) non-external _CMConvertRGBFloatBitmap.func
000000018dfeeb28 (__TEXT,__text) external _CMConvertXYZFloatBitmap
00000001d6a30740 (__DATA,__bss) non-external _CMConvertXYZFloatBitmap.func
000000018dfeea40 (__TEXT,__text) external _CMCopyProfile
00000001d6a30738 (__DATA,__bss) non-external _CMCopyProfile.func
000000018dfee968 (__TEXT,__text) external _CMCopyProfileDescriptionString
00000001d6a30730 (__DATA,__bss) non-external _CMCopyProfileDescriptionString.func
000000018dfee868 (__TEXT,__text) external _CMCopyProfileLocalizedString
00000001d6a30728 (__DATA,__bss) non-external _CMCopyProfileLocalizedString.func
000000018dfee780 (__TEXT,__text) external _CMCopyProfileLocalizedStringDictionary
00000001d6a30720 (__DATA,__bss) non-external _CMCopyProfileLocalizedStringDictionary.func
000000018dfee6a8 (__TEXT,__text) external _CMCountProfileElements
