00007ff800d5d500 (__TEXT,__text) external _APL_dgemm
00007ff800d40a70 (__TEXT,__text) external _APL_dgemm_LU
00007ff800d697e5 (__TEXT,__text) external _APL_dgemm_QR
00007ff800c8a70a (__TEXT,__text) external _APL_dsyrk
00007ff800cd2f58 (__TEXT,__text) external _APL_dtrsm
00007ff800cfaea9 (__TEXT,__text) external _APL_sgemm
00007ff800cd26a0 (__TEXT,__text) external _APL_sgemm_LU
00007ff800cd2c60 (__TEXT,__text) external _APL_sgemm_QR
00007ff800c8c720 (__TEXT,__text) external _APL_ssyrk
00007ff800ca8d60 (__TEXT,__text) external _APL_strsm
00007ff800ca9439 (__TEXT,__text) external _APPLE_NTHREADS
00007ff800e04828 (__TEXT,__text) external _ATLU_DestroyThreadMemory
00007ff800d6b91e (__TEXT,__text) external _BLASStateRelease
00007ff800d6b913 (__TEXT,__text) external _BLASStateRetain
00007ff800c866db (__TEXT,__text) external _CAXPY
00007ff800c866db (__TEXT,__text) external _CAXPY_
00007ff800c866ef (__TEXT,__text) external _CCOPY
00007ff800c866ef (__TEXT,__text) external _CCOPY_
00007ff800c86703 (__TEXT,__text) external _CDOTC
00007ff800c86703 (__TEXT,__text) external _CDOTC_
00007ff800c86725 (__TEXT,__text) external _CDOTU
00007ff800c86725 (__TEXT,__text) external _CDOTU_
00007ff800c84ef3 (__TEXT,__text) external _CGBMV
00007ff800c84ef3 (__TEXT,__text) external _CGBMV_
00007ff800c8245c (__TEXT,__text) external _CGEMM
00007ff800c8245c (__TEXT,__text) external _CGEMM_
00007ff800c84e2b (__TEXT,__text) external _CGEMV
00007ff800c84e2b (__TEXT,__text) external _CGEMV_
00007ff800c85802 (__TEXT,__text) external _CGERC
00007ff800c85802 (__TEXT,__text) external _CGERC_
00007ff800c85852 (__TEXT,__text) external _CGERU
00007ff800c85852 (__TEXT,__text) external _CGERU_
00007ff800c8505e (__TEXT,__text) external _CHBMV
00007ff800c8505e (__TEXT,__text) external _CHBMV_
00007ff800c8257e (__TEXT,__text) external _CHEMM
00007ff800c8257e (__TEXT,__text) external _CHEMM_
00007ff800c84fcd (__TEXT,__text) external _CHEMV
00007ff800c84fcd (__TEXT,__text) external _CHEMV_
00007ff800c858a2 (__TEXT,__text) external _CHER
00007ff800c85913 (__TEXT,__text) external _CHER2
00007ff800c82bdf (__TEXT,__text) external _CHER2K
00007ff800c82bdf (__TEXT,__text) external _CHER2K_
00007ff800c85913 (__TEXT,__text) external _CHER2_
00007ff800c829ee (__TEXT,__text) external _CHERK
00007ff800c829ee (__TEXT,__text) external _CHERK_
00007ff800c858a2 (__TEXT,__text) external _CHER_
00007ff800c850fb (__TEXT,__text) external _CHPMV
00007ff800c850fb (__TEXT,__text) external _CHPMV_
00007ff800c8599d (__TEXT,__text) external _CHPR
00007ff800c85a05 (__TEXT,__text) external _CHPR2
00007ff800c85a05 (__TEXT,__text) external _CHPR2_
00007ff800c8599d (__TEXT,__text) external _CHPR_
00007ff800c86747 (__TEXT,__text) external _CROTG
00007ff800c86747 (__TEXT,__text) external _CROTG_
00007ff800c86754 (__TEXT,__text) external _CSCAL
00007ff800c86754 (__TEXT,__text) external _CSCAL_
00007ff800c86765 (__TEXT,__text) external _CSROT
00007ff800c86765 (__TEXT,__text) external _CSROT_
00007ff800c86786 (__TEXT,__text) external _CSSCAL
00007ff800c86786 (__TEXT,__text) external _CSSCAL_
00007ff800c867a0 (__TEXT,__text) external _CSWAP
00007ff800c867a0 (__TEXT,__text) external _CSWAP_
00007ff800c82658 (__TEXT,__text) external _CSYMM
00007ff800c82658 (__TEXT,__text) external _CSYMM_
00007ff800c82cea (__TEXT,__text) external _CSYR2K
00007ff800c82cea (__TEXT,__text) external _CSYR2K_
00007ff800c82af0 (__TEXT,__text) external _CSYRK
00007ff800c82af0 (__TEXT,__text) external _CSYRK_
00007ff800c85292 (__TEXT,__text) external _CTBMV
00007ff800c85292 (__TEXT,__text) external _CTBMV_
00007ff800c855d7 (__TEXT,__text) external _CTBSV
00007ff800c855d7 (__TEXT,__text) external _CTBSV_
00007ff800c853b4 (__TEXT,__text) external _CTPMV
00007ff800c853b4 (__TEXT,__text) external _CTPMV_
00007ff800c856f9 (__TEXT,__text) external _CTPSV
00007ff800c856f9 (__TEXT,__text) external _CTPSV_
00007ff800c82732 (__TEXT,__text) external _CTRMM
00007ff800c82732 (__TEXT,__text) external _CTRMM_
00007ff800c85178 (__TEXT,__text) external _CTRMV
00007ff800c85178 (__TEXT,__text) external _CTRMV_
00007ff800c82890 (__TEXT,__text) external _CTRSM
00007ff800c82890 (__TEXT,__text) external _CTRSM_
00007ff800c854bd (__TEXT,__text) external _CTRSV
00007ff800c854bd (__TEXT,__text) external _CTRSV_
00007ff800c867f5 (__TEXT,__text) external _DASUM
00007ff800c867f5 (__TEXT,__text) external _DASUM_
00007ff800c86803 (__TEXT,__text) external _DAXPY
00007ff800c86803 (__TEXT,__text) external _DAXPY_
00007ff800c816fa (__TEXT,__text) external _DCABS1
00007ff800c816fa (__TEXT,__text) external _DCABS1_
00007ff800c86826 (__TEXT,__text) external _DCOPY
00007ff800c86826 (__TEXT,__text) external _DCOPY_
00007ff800c8683a (__TEXT,__text) external _DDOT
00007ff800c8683a (__TEXT,__text) external _DDOT_
00007ff800c84386 (__TEXT,__text) external _DGBMV
00007ff800c84386 (__TEXT,__text) external _DGBMV_
00007ff800c81de0 (__TEXT,__text) external _DGEMM
00007ff800c81de0 (__TEXT,__text) external _DGEMM_
00007ff800c842de (__TEXT,__text) external _DGEMV
00007ff800c842de (__TEXT,__text) external _DGEMV_
00007ff800c84c0b (__TEXT,__text) external _DGER
00007ff800c84c0b (__TEXT,__text) external _DGER_
00007ff800c8684b (__TEXT,__text) external _DNRM2
00007ff800c8684b (__TEXT,__text) external _DNRM2_
00007ff800c86859 (__TEXT,__text) external _DROT
00007ff800c8687a (__TEXT,__text) external _DROTG
00007ff800c8687a (__TEXT,__text) external _DROTG_
00007ff800c86887 (__TEXT,__text) external _DROTM
00007ff800c8689b (__TEXT,__text) external _DROTMG
00007ff800c8689b (__TEXT,__text) external _DROTMG_
00007ff800c86887 (__TEXT,__text) external _DROTM_
00007ff800c86859 (__TEXT,__text) external _DROT_
00007ff800c844e5 (__TEXT,__text) external _DSBMV
00007ff800c844e5 (__TEXT,__text) external _DSBMV_
00007ff800c868af (__TEXT,__text) external _DSCAL
00007ff800c868af (__TEXT,__text) external _DSCAL_
00007ff800c868f8 (__TEXT,__text) external _DSDOT
00007ff800c868f8 (__TEXT,__text) external _DSDOT_
00007ff800c84585 (__TEXT,__text) external _DSPMV
00007ff800c84585 (__TEXT,__text) external _DSPMV_
00007ff800c84d4b (__TEXT,__text) external _DSPR
00007ff800c84db3 (__TEXT,__text) external _DSPR2
00007ff800c84db3 (__TEXT,__text) external _DSPR2_
00007ff800c84d4b (__TEXT,__text) external _DSPR_
00007ff800c868c9 (__TEXT,__text) external _DSWAP
00007ff800c868c9 (__TEXT,__text) external _DSWAP_
00007ff800c81eec (__TEXT,__text) external _DSYMM
00007ff800c81eec (__TEXT,__text) external _DSYMM_
00007ff800c84453 (__TEXT,__text) external _DSYMV
00007ff800c84453 (__TEXT,__text) external _DSYMV_
00007ff800c84c50 (__TEXT,__text) external _DSYR
00007ff800c84cc1 (__TEXT,__text) external _DSYR2
00007ff800c82367 (__TEXT,__text) external _DSYR2K
00007ff800c82367 (__TEXT,__text) external _DSYR2K_
00007ff800c84cc1 (__TEXT,__text) external _DSYR2_
00007ff800c8227f (__TEXT,__text) external _DSYRK
00007ff800c8227f (__TEXT,__text) external _DSYRK_
00007ff800c84c50 (__TEXT,__text) external _DSYR_
00007ff800c84709 (__TEXT,__text) external _DTBMV
00007ff800c84709 (__TEXT,__text) external _DTBMV_
00007ff800c84a0c (__TEXT,__text) external _DTBSV
00007ff800c84a0c (__TEXT,__text) external _DTBSV_
