                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff811f821d2 (__TEXT,__text) non-external _au_assemble
00007ff811f83654 (__TEXT,__text) external _au_bsm_to_domain
00007ff811f8e819 (__TEXT,__text) external _au_bsm_to_errno
00007ff811f8e8c7 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff811f8a96e (__TEXT,__text) external _au_bsm_to_socket_type
00007ff811f8241f (__TEXT,__text) external _au_close
00007ff811f824d0 (__TEXT,__text) external _au_close_buffer
00007ff811f82590 (__TEXT,__text) external _au_close_token
00007ff811f82107 (__TEXT,__text) external _au_close_with_errors
00007ff84371d1c0 (__DATA_DIRTY,__bss) non-external _au_cond
00007ff811f83629 (__TEXT,__text) external _au_domain_to_bsm
00007ff811f8e7eb (__TEXT,__text) external _au_errno_to_bsm
00007ff811f8e89c (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff811f81b93 (__TEXT,__text) external _au_fetch_tok
00007ff811f81f1d (__TEXT,__text) external _au_free_token
00007ff811f8a86d (__TEXT,__text) external _au_get_state
00007ff811f8a7cd (__TEXT,__text) external _au_notify_initialize
00007ff811f8a854 (__TEXT,__text) external _au_notify_terminate
00007ff811f81f47 (__TEXT,__text) external _au_open
00007ff8414b8410 (__DATA_CONST,__const) non-external _au_polstr
00007ff811f82a0c (__TEXT,__text) external _au_poltostr
00007ff811f8a5bd (__TEXT,__text) external _au_preselect
00007ff811f85430 (__TEXT,__text) external _au_print_flags_tok
00007ff811f89844 (__TEXT,__text) external _au_print_tok
00007ff811f8985e (__TEXT,__text) external _au_print_tok_xml
00007ff811f83f29 (__TEXT,__text) external _au_print_xml_footer
00007ff811f83ee8 (__TEXT,__text) external _au_print_xml_header
00007ff811f8987e (__TEXT,__text) external _au_read_rec
00007ff811f8e7ab (__TEXT,__text) external _au_sdev_close
00007ff811f8e7de (__TEXT,__text) external _au_sdev_fd
00007ff811f8175b (__TEXT,__text) external _au_sdev_open
00007ff811f8182e (__TEXT,__text) external _au_sdev_read_aia
