                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff812c9ab83 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff812c9799a (__TEXT,__text) external _FSp_profile_init
00007ff812c979a7 (__TEXT,__text) external _FSp_profile_init_path
00007ff812c9ab8e (__TEXT,__text) external _FSp_put_svc_key
00007ff812c9ab99 (__TEXT,__text) external _FSp_read_service_key
00007ff8437aa0c0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff8437aa0e0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff8437aa090 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff8437aa070 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff8437aa030 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff8437aa050 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff8437aa010 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff8437aa170 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff8437aa138 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff8437aa100 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff8437aa148 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff8437aa128 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff812c9acea (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff812c9acdf (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff812c9ac5f (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff812c9abd0 (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff812c9abfc (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff812c9aed9 (__TEXT,__text) external _KClientAddServiceKey
00007ff812c9aba4 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff812c9af3c (__TEXT,__text) external _KClientDecrypt
00007ff812c9ad6e (__TEXT,__text) external _KClientDecryptCompat
00007ff812c9ac6a (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff812c9abdb (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff812c9ac07 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff812c9ac49 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff812c9af89 (__TEXT,__text) external _KClientDisposePrincipal
00007ff812c9ae1e (__TEXT,__text) external _KClientDisposeSession
00007ff812c9ad0b (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff812c9af31 (__TEXT,__text) external _KClientEncrypt
00007ff812c9ad63 (__TEXT,__text) external _KClientEncryptCompat
00007ff812c9aeef (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff812c9af5d (__TEXT,__text) external _KClientGetCCacheReference
00007ff812c9ae29 (__TEXT,__text) external _KClientGetClientPrincipal
00007ff812c9ac54 (__TEXT,__text) external _KClientGetCredentialsDeprecated
00007ff812c9af1b (__TEXT,__text) external _KClientGetEncryptedServiceReply
00007ff812c9ac96 (__TEXT,__text) external _KClientGetErrorTextDeprecated
00007ff812c9ae8c (__TEXT,__text) external _KClientGetExpirationTime
00007ff812c9ae55 (__TEXT,__text) external _KClientGetLocalAddress
00007ff812c9abaf (__TEXT,__text) external _KClientGetLocalRealmDeprecated
00007ff812c9ac80 (__TEXT,__text) external _KClientGetNthCredentialDeprecated
00007ff812c9abe6 (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
00007ff812c9abf1 (__TEXT,__text) external _KClientGetNthServerDeprecated
00007ff812c9ac12 (__TEXT,__text) external _KClientGetNthServerMapDeprecated
00007ff812c9ac1d (__TEXT,__text) external _KClientGetNthServerPortDeprecated
00007ff812c9ac3e (__TEXT,__text) external _KClientGetNthSessionDeprecated
00007ff812c9ac75 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
00007ff812c9ac33 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
00007ff812c9af26 (__TEXT,__text) external _KClientGetProtectedServiceReply
00007ff812c9abc5 (__TEXT,__text) external _KClientGetRealmDeprecated
00007ff812c9ae6b (__TEXT,__text) external _KClientGetRemoteAddress
00007ff812c9ae3f (__TEXT,__text) external _KClientGetServerPrincipal
00007ff812c9aece (__TEXT,__text) external _KClientGetServiceKey
00007ff812c9ae81 (__TEXT,__text) external _KClientGetSessionKey
00007ff812c9ad58 (__TEXT,__text) external _KClientGetSessionKeyCompat
00007ff812c9add1 (__TEXT,__text) external _KClientGetSessionUserNameCompat
00007ff812c9aee4 (__TEXT,__text) external _KClientGetTicketForService
00007ff812c9ad16 (__TEXT,__text) external _KClientGetTicketForServiceCompat
00007ff812c9ad21 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
00007ff812c9ac8b (__TEXT,__text) external _KClientGetUserNameDeprecated
00007ff812c9adfd (__TEXT,__text) external _KClientGetVersion
00007ff812c9aeb8 (__TEXT,__text) external _KClientKeyFileLogin
00007ff812c9aea2 (__TEXT,__text) external _KClientLogin
00007ff812c9ad2c (__TEXT,__text) external _KClientLoginCompat
00007ff812c9aec3 (__TEXT,__text) external _KClientLogout
00007ff812c9ad42 (__TEXT,__text) external _KClientLogoutCompat
00007ff812c9addc (__TEXT,__text) external _KClientMakeSendAuthCompat
00007ff812c9ae08 (__TEXT,__text) external _KClientNewClientSession
00007ff812c9ae13 (__TEXT,__text) external _KClientNewServerSession
00007ff812c9ad00 (__TEXT,__text) external _KClientNewSessionCompat
00007ff812c9aead (__TEXT,__text) external _KClientPasswordLogin
00007ff812c9ad37 (__TEXT,__text) external _KClientPasswordLoginCompat
00007ff812c9af73 (__TEXT,__text) external _KClientPrincipalToV4String
00007ff812c9af7e (__TEXT,__text) external _KClientPrincipalToV4Triplet
00007ff812c9af47 (__TEXT,__text) external _KClientProtectIntegrity
00007ff812c9ad79 (__TEXT,__text) external _KClientProtectIntegrityCompat
00007ff812c9ae34 (__TEXT,__text) external _KClientSetClientPrincipal
00007ff812c9ae97 (__TEXT,__text) external _KClientSetKeyFile
00007ff812c9ae60 (__TEXT,__text) external _KClientSetLocalAddress
