00007ff80da70dc0 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80da718c0 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80da713c0 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80da70ec0 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80da717c0 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80da712c0 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80da6c390 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80da6c3b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80da5efa7 (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80da63d84 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80da6778f (__TEXT,__text) non-external _bubble_down
00007ff80da6772f (__TEXT,__text) non-external _bubble_up
00007ff80da5eecf (__TEXT,__text) non-external _buf_chain_new
00007ff80da6880a (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80da5ed4d (__TEXT,__text) non-external _default_calloc
00007ff80da5f123 (__TEXT,__text) non-external _default_free
00007ff80da5edf9 (__TEXT,__text) non-external _default_malloc
00007ff80da5ef97 (__TEXT,__text) non-external _default_realloc
00007ff80da64085 (__TEXT,__text) non-external _emit_newname_block
00007ff80da639e8 (__TEXT,__text) non-external _emit_string
00007ff80da666f9 (__TEXT,__text) non-external _emit_table_size
00007ff80da6a166 (__TEXT,__text) non-external _find_stream_on_goaway_func
00007ff80da6412d (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80da6a8df (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80da6659f (__TEXT,__text) non-external _hd_context_free
00007ff80da6499f (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80da67612 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80da659f8 (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80da65abb (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80da65908 (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80da657dc (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80da66605 (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80da6cd70 (__TEXT,__const) non-external _huff_decode_table
00007ff80da6c560 (__TEXT,__const) non-external _huff_sym_table
00007ff80da6244c (__TEXT,__text) non-external _insert
00007ff80da66ca4 (__TEXT,__text) non-external _insert_link_dep
00007ff80da62e59 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff80da66a30 (__TEXT,__text) non-external _map_resize
00007ff8424b87d0 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80da5fab5 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80da5f2f1 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80da640e3 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80da66696 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80da6c330 (__TEXT,__text) external _nghttp2_check_authority
00007ff80da5e400 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80da5e442 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80da6c283 (__TEXT,__text) external _nghttp2_check_header_value_rfc9113
00007ff80da6c2d0 (__TEXT,__text) external _nghttp2_check_method
00007ff80da6c2ff (__TEXT,__text) external _nghttp2_check_path
00007ff80da642bc (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80da66f66 (__TEXT,__text) non-external _nghttp2_frame_pack_altsvc
00007ff80da62617 (__TEXT,__text) non-external _nghttp2_frame_pack_headers
00007ff80da6705b (__TEXT,__text) non-external _nghttp2_frame_pack_priority_update
00007ff80da66e9e (__TEXT,__text) non-external _nghttp2_frame_pack_push_promise
00007ff80da625df (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80da64960 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
00007ff80da674d2 (__TEXT,__text) external _nghttp2_hd_deflate_del
00007ff80da67659 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
00007ff80da67663 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
00007ff80da675fa (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
00007ff80da67608 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
00007ff80da671be (__TEXT,__text) external _nghttp2_hd_deflate_hd
00007ff80da62727 (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
00007ff80da672bd (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
00007ff80da5ed60 (__TEXT,__text) non-external _nghttp2_hd_deflate_init2
00007ff80da6745a (__TEXT,__text) external _nghttp2_hd_deflate_new
00007ff80da67466 (__TEXT,__text) external _nghttp2_hd_deflate_new2
