00007ff80addb154 (__TEXT,__text) external _BZ2_bzBuffToBuffCompress
00007ff80add9fa7 (__TEXT,__text) external _BZ2_bzBuffToBuffDecompress
00007ff80addb4b4 (__TEXT,__text) external _BZ2_bzCompress
00007ff80addb5fa (__TEXT,__text) external _BZ2_bzCompressEnd
00007ff80addb252 (__TEXT,__text) external _BZ2_bzCompressInit
00007ff80adda144 (__TEXT,__text) external _BZ2_bzDecompress
00007ff80addb0d2 (__TEXT,__text) external _BZ2_bzDecompressEnd
00007ff80adda076 (__TEXT,__text) external _BZ2_bzDecompressInit
00007ff80ade2a5b (__TEXT,__text) external _BZ2_bzRead
00007ff80ade29d1 (__TEXT,__text) external _BZ2_bzReadClose
00007ff80ade2ca4 (__TEXT,__text) external _BZ2_bzReadGetUnused
00007ff80ade2849 (__TEXT,__text) external _BZ2_bzReadOpen
00007ff80ade247a (__TEXT,__text) external _BZ2_bzWrite
00007ff80ade25eb (__TEXT,__text) external _BZ2_bzWriteClose
00007ff80ade260c (__TEXT,__text) external _BZ2_bzWriteClose64
00007ff80ade2327 (__TEXT,__text) external _BZ2_bzWriteOpen
00007ff80ade2fd1 (__TEXT,__text) external _BZ2_bzclose
00007ff80ade2f3f (__TEXT,__text) external _BZ2_bzdopen
00007ff80ade3075 (__TEXT,__text) external _BZ2_bzerror
00007ff80ade2fc9 (__TEXT,__text) external _BZ2_bzflush
00007ff80ade1ef5 (__TEXT,__text) external _BZ2_bzlibVersion
00007ff80ade2d26 (__TEXT,__text) external _BZ2_bzopen
00007ff80ade2f55 (__TEXT,__text) external _BZ2_bzread
00007ff80ade2f93 (__TEXT,__text) external _BZ2_bzwrite
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _exit (from libSystem)
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fflush (from libSystem)
                 (undefined) external _fgetc (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _fwrite (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _ungetc (from libSystem)
