0000000182ba24b8 (__DATA,__data) non-external _C
0000000182baee40 (__DATA,__bss) non-external _EMSG
0000000182baee41 (__DATA,__bss) non-external _EMSG
0000000182ba4198 (__DATA,__bss) non-external _NXArgc_pointer
0000000182ba4190 (__DATA,__bss) non-external _NXArgv_pointer
0000000180a23f60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a61390 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a3ac94 (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180a3ace4 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180a3ae08 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180a3adb0 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180b82a28 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180b82a48 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180b82af0 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180b82d00 (__DATA_CONST,__const) non-external __C_time_locale
0000000182ba2d38 (__DATA,__data) external __CurrentRuneLocale
0000000182ba3388 (__DATA,__constrw) external __DefaultRuneLocale
0000000182bc94b8 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180a3d10c (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180a3d190 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180a3d1d8 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180a3d1c4 (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180a3d1dc (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180a3d2d0 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180a3d354 (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180a3d39c (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180a3d388 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180a3d3a0 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180a3d1fc (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180a3d280 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180a3d2c8 (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180a3d2b4 (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180a3d2cc (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180a3d428 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180a3d4ac (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180a3d4f4 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180a3d4e0 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180a3d4f8 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180a3d3a4 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180a3d4fc (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180a3d1e0 (__TEXT,__text) non-external __EUC_mbsinit
0000000180a3d638 (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180a61c00 (__TEXT,__text) external __Exit
0000000180a3d830 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180a3d880 (__TEXT,__text) non-external __GB18030_mbrtowc
