00000001de04e1f8 (__TEXT,__text) non-external +[Cube initialize]
00000001de057798 (__TEXT,__text) non-external +[DDXMLDocument nodeWithPrimitive:]
00000001de057c84 (__TEXT,__text) non-external +[DDXMLElement nodeWithPrimitive:]
00000001de058888 (__TEXT,__text) non-external +[DDXMLElement resolveNamespaceForPrefix:atNode:]
00000001de058a00 (__TEXT,__text) non-external +[DDXMLElement resolvePrefixForURI:atNode:]
00000001de058f98 (__TEXT,__text) non-external +[DDXMLElement(DDAdditions) elementWithName:xmlns:]
00000001de059498 (__TEXT,__text) non-external +[DDXMLNode attributeWithName:URI:stringValue:]
00000001de05941c (__TEXT,__text) non-external +[DDXMLNode attributeWithName:stringValue:]
00000001de059624 (__TEXT,__text) non-external +[DDXMLNode commentWithStringValue:]
00000001de05afa0 (__TEXT,__text) non-external +[DDXMLNode detachAttribute:fromNode:]
00000001de05b210 (__TEXT,__text) non-external +[DDXMLNode detachChild:fromNode:]
00000001de05b1ac (__TEXT,__text) non-external +[DDXMLNode detachChild:fromNode:andNullifyPointers:]
00000001de05b0b0 (__TEXT,__text) non-external +[DDXMLNode detachNamespace:fromNode:]
00000001de0593d0 (__TEXT,__text) non-external +[DDXMLNode elementWithName:URI:]
00000001de0592dc (__TEXT,__text) non-external +[DDXMLNode elementWithName:]
00000001de05936c (__TEXT,__text) non-external +[DDXMLNode elementWithName:children:attributes:]
00000001de059320 (__TEXT,__text) non-external +[DDXMLNode elementWithName:stringValue:]
00000001de0591e8 (__TEXT,__text) non-external +[DDXMLNode initialize]
00000001de05ac90 (__TEXT,__text) non-external +[DDXMLNode isXmlAttrPtr:]
00000001de05ad2c (__TEXT,__text) non-external +[DDXMLNode isXmlDocPtr:]
00000001de05ad74 (__TEXT,__text) non-external +[DDXMLNode isXmlDtdPtr:]
00000001de05acd8 (__TEXT,__text) non-external +[DDXMLNode isXmlNodePtr:]
00000001de05adbc (__TEXT,__text) non-external +[DDXMLNode isXmlNsPtr:]
00000001de05b48c (__TEXT,__text) non-external +[DDXMLNode lastError]
00000001de05a914 (__TEXT,__text) non-external +[DDXMLNode localNameForName:]
00000001de059518 (__TEXT,__text) non-external +[DDXMLNode namespaceWithName:stringValue:]
00000001de05aecc (__TEXT,__text) non-external +[DDXMLNode nodeFree:]
00000001de05b548 (__TEXT,__text) non-external +[DDXMLNode nodeFree:].cold.1
00000001de0596e4 (__TEXT,__text) non-external +[DDXMLNode nodeWithPrimitive:]
