00007ff840097028 (__DATA,__data) non-external _C
00007ff8400a4888 (__DATA,__bss) non-external _EMSG
00007ff8400a4889 (__DATA,__bss) non-external _EMSG
00007ff840099bc8 (__DATA,__bss) non-external _NXArgc_pointer
00007ff840099bc0 (__DATA,__bss) non-external _NXArgv_pointer
00007ff800a76380 (__TEXT,__text) non-external (was a private external) __BIG5_init
00007ff800a763b7 (__TEXT,__text) non-external __BIG5_mbrtowc
00007ff800a764b8 (__TEXT,__text) non-external __BIG5_mbsinit
00007ff800a76478 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00007ff840067c60 (__DATA_CONST,__const) non-external __C_messages_locale
00007ff840067c80 (__DATA_CONST,__const) non-external __C_monetary_locale
00007ff840067d28 (__DATA_CONST,__const) non-external __C_numeric_locale
00007ff840067f70 (__DATA_CONST,__const) non-external __C_time_locale
00007ff8400977f0 (__DATA,__data) external __CurrentRuneLocale
00007ff8400980c8 (__DATA,__constrw) external __DefaultRuneLocale
00007ff840098d50 (__DATA,__constrw) non-external (was a private external) __DefaultRuneXLocale
00007ff800a78add (__TEXT,__text) non-external __EUC_free_extra
00007ff800a77f72 (__TEXT,__text) non-external (was a private external) __EUC_init
00007ff800a78113 (__TEXT,__text) non-external __EUC_mbrtowc
00007ff800a78ac3 (__TEXT,__text) non-external __EUC_mbsinit
00007ff800a782af (__TEXT,__text) non-external __EUC_wcrtomb
00007ff800aa002f (__TEXT,__text) external __Exit
00007ff800a78bc7 (__TEXT,__text) non-external (was a private external) __GB18030_init
00007ff800a78bfe (__TEXT,__text) non-external __GB18030_mbrtowc
00007ff800a78e35 (__TEXT,__text) non-external __GB18030_mbsinit
00007ff800a78d44 (__TEXT,__text) non-external __GB18030_wcrtomb
00007ff800a78e4e (__TEXT,__text) non-external (was a private external) __GB2312_init
00007ff800a78e85 (__TEXT,__text) non-external __GB2312_mbrtowc
00007ff800a78fc7 (__TEXT,__text) non-external __GB2312_mbsinit
00007ff800a78f87 (__TEXT,__text) non-external __GB2312_wcrtomb
00007ff800a78fe0 (__TEXT,__text) non-external (was a private external) __GBK_init
00007ff800a79017 (__TEXT,__text) non-external __GBK_mbrtowc
00007ff800a79118 (__TEXT,__text) non-external __GBK_mbsinit
00007ff800a790d8 (__TEXT,__text) non-external __GBK_wcrtomb
00007ff800a7a7ba (__TEXT,__text) non-external (was a private external) __MSKanji_init
