                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _asprintf (from libSystem)
                 (undefined) external _atoi (from libSystem)
000000018b32ea48 (__TEXT,__text) non-external _au_assemble
000000018b330310 (__TEXT,__text) external _au_bsm_to_domain
000000018b33cbec (__TEXT,__text) external _au_bsm_to_errno
000000018b33ccc0 (__TEXT,__text) external _au_bsm_to_fcntl_cmd
000000018b33875c (__TEXT,__text) external _au_bsm_to_socket_type
000000018b32ecfc (__TEXT,__text) external _au_close
000000018b32edcc (__TEXT,__text) external _au_close_buffer
000000018b32eeb0 (__TEXT,__text) external _au_close_token
000000018b32e960 (__TEXT,__text) external _au_close_with_errors
00000001d91ccfb4 (__DATA,__bss) non-external _au_cond
000000018b3302d8 (__TEXT,__text) external _au_domain_to_bsm
000000018b33cbb0 (__TEXT,__text) external _au_errno_to_bsm
000000018b33cc88 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
000000018b32e510 (__TEXT,__text) external _au_fetch_tok
000000018b32e738 (__TEXT,__text) external _au_free_token
000000018b338614 (__TEXT,__text) external _au_get_state
000000018b338554 (__TEXT,__text) external _au_notify_initialize
000000018b3385ec (__TEXT,__text) external _au_notify_terminate
000000018b32e780 (__TEXT,__text) external _au_open
00000001d4602b18 (__DATA_CONST,__const) non-external _au_polstr
000000018b32f384 (__TEXT,__text) external _au_poltostr
000000018b33832c (__TEXT,__text) external _au_preselect
000000018b332d38 (__TEXT,__text) external _au_print_flags_tok
000000018b3373c4 (__TEXT,__text) external _au_print_tok
000000018b3373dc (__TEXT,__text) external _au_print_tok_xml
000000018b330c5c (__TEXT,__text) external _au_print_xml_footer
000000018b330c00 (__TEXT,__text) external _au_print_xml_header
000000018b3373f8 (__TEXT,__text) external _au_read_rec
000000018b33cb64 (__TEXT,__text) external _au_sdev_close
000000018b33cba8 (__TEXT,__text) external _au_sdev_fd
000000018b32e0c8 (__TEXT,__text) external _au_sdev_open
000000018b32e19c (__TEXT,__text) external _au_sdev_read_aia
00000001d4602c08 (__DATA_CONST,__const) non-external _au_sflagsstr
000000018b32f544 (__TEXT,__text) external _au_sflagstostr
000000018b338724 (__TEXT,__text) external _au_socket_type_to_bsm
000000018b32fc18 (__TEXT,__text) non-external _au_spacetobytes
000000018b33cc38 (__TEXT,__text) external _au_strerror
000000018b32f45c (__TEXT,__text) external _au_strtopol
000000018b32f61c (__TEXT,__text) external _au_strtosflags
000000018b32ec40 (__TEXT,__text) non-external _au_teardown
000000018b338944 (__TEXT,__text) external _au_to_arg
000000018b338764 (__TEXT,__text) external _au_to_arg32
000000018b338844 (__TEXT,__text) external _au_to_arg64
000000018b33a7ac (__TEXT,__text) external _au_to_certificate_hash
000000018b338948 (__TEXT,__text) external _au_to_data
000000018b33a650 (__TEXT,__text) external _au_to_exec_args
000000018b33a7a4 (__TEXT,__text) external _au_to_exec_env
000000018b338a28 (__TEXT,__text) external _au_to_exit
000000018b338f5c (__TEXT,__text) external _au_to_file
000000018b338ad0 (__TEXT,__text) external _au_to_groups
000000018b33af68 (__TEXT,__text) external _au_to_header
000000018b33ae58 (__TEXT,__text) external _au_to_header32
000000018b33ada4 (__TEXT,__text) external _au_to_header32_ex
000000018b33aae8 (__TEXT,__text) external _au_to_header32_ex_tm
000000018b33a9d8 (__TEXT,__text) external _au_to_header32_tm
000000018b33aee0 (__TEXT,__text) external _au_to_header64
000000018b33ac70 (__TEXT,__text) external _au_to_header64_tm
000000018b33af6c (__TEXT,__text) external _au_to_header_ex
000000018b33a868 (__TEXT,__text) external _au_to_identity
000000018b338b90 (__TEXT,__text) external _au_to_in_addr
000000018b338bfc (__TEXT,__text) external _au_to_in_addr_ex
