00007ff80b779190 (__TEXT,__const) non-external _DOWNCASE_TBL
00007ff80b779c90 (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
00007ff80b779790 (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
00007ff80b779290 (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
00007ff80b779b90 (__TEXT,__const) non-external _VALID_METHOD_CHARS
00007ff80b779690 (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80b774730 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ff80b774750 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80b76988a (__TEXT,__text) non-external _active_outbound_item_reset
00007ff80b76ea88 (__TEXT,__text) non-external _add_hd_table_incremental
00007ff80b7722a6 (__TEXT,__text) non-external _bubble_down
00007ff80b772244 (__TEXT,__text) non-external _bubble_up
00007ff80b7697b2 (__TEXT,__text) non-external _buf_chain_new
00007ff80b77241d (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _calloc (from libSystem)
00007ff80b77085a (__TEXT,__text) non-external _check_pseudo_header
00007ff80b7696d2 (__TEXT,__text) non-external _default_calloc
00007ff80b769a08 (__TEXT,__text) non-external _default_free
00007ff80b7696de (__TEXT,__text) non-external _default_malloc
00007ff80b76987c (__TEXT,__text) non-external _default_realloc
00007ff80b76e588 (__TEXT,__text) non-external _emit_indname_block
00007ff80b76e6f1 (__TEXT,__text) non-external _emit_string
00007ff80b771461 (__TEXT,__text) non-external _emit_table_size
00007ff80b76edf1 (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
00007ff80b7737ec (__TEXT,__text) non-external _get_error_code_from_lib_error_code
00007ff80b771307 (__TEXT,__text) non-external _hd_context_free
00007ff80b76f726 (__TEXT,__text) non-external _hd_context_shrink_table_size
00007ff80b772127 (__TEXT,__text) non-external _hd_get_table_entry
00007ff80b77078d (__TEXT,__text) non-external _hd_inflate_commit_indname
00007ff80b7708b0 (__TEXT,__text) non-external _hd_inflate_commit_newname
00007ff80b77069d (__TEXT,__text) non-external _hd_inflate_read_huff
00007ff80b77054c (__TEXT,__text) non-external _hd_inflate_read_len
00007ff80b77136c (__TEXT,__text) non-external _hd_ringbuf_get
00007ff80b775140 (__TEXT,__const) non-external _huff_decode_table
00007ff80b774930 (__TEXT,__const) non-external _huff_sym_table
00007ff80b76d2b1 (__TEXT,__text) non-external _insert
00007ff80b77199c (__TEXT,__text) non-external _insert_link_dep
00007ff80b76da5e (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00007ff8422e0f70 (__DATA,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
00007ff80b76a310 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
00007ff80b769bd4 (__TEXT,__text) non-external _nghttp2_bufs_add
00007ff80b76eda6 (__TEXT,__text) non-external _nghttp2_bufs_addb
00007ff80b7713f9 (__TEXT,__text) non-external _nghttp2_bufs_free
00007ff80b7746d7 (__TEXT,__text) external _nghttp2_check_authority
00007ff80b768d58 (__TEXT,__text) external _nghttp2_check_header_name
00007ff80b768d99 (__TEXT,__text) external _nghttp2_check_header_value
00007ff80b774679 (__TEXT,__text) external _nghttp2_check_method
00007ff80b7746a7 (__TEXT,__text) external _nghttp2_check_path
00007ff80b76ef5c (__TEXT,__text) non-external _nghttp2_frame_add_pad
00007ff80b76d38a (__TEXT,__text) external _nghttp2_hd_deflate_bound
00007ff80b76f6e7 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
