00007ffd41bbd710 (__DATA,__bss) non-external __ZL12reportShadow
00007ffd41bbd718 (__DATA,__bss) non-external __ZL13reportGlobals
00007ffd41bbd708 (__DATA,__bss) non-external __ZL15libmallocShadow
00007ffd41bbd700 (__DATA,__bss) non-external __ZL3cfg
00007ffd059bd2d0 (__TEXT,__text) non-external __ZL3diev
00007ffd059be4c0 (__TEXT,__const) non-external __ZL5zeros
00007ffd41bbd720 (__DATA,__bss) non-external __ZL6report
00007ffd41bbdbd0 (__DATA,__bss) non-external __ZL6shadow
00007ffd41bbd6f8 (__DATA,__bss) non-external __ZL7_shadow
00007ffd41bbd6c8 (__DATA,__bss) non-external __ZL9collector.0
00007ffd41bbd6d0 (__DATA,__bss) non-external __ZL9collector.1
00007ffd41bbd6d8 (__DATA,__bss) non-external __ZL9collector.2
00007ffd059bd694 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow11bzeroShadowEPKvm
00007ffd059bd682 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12memsetShadowEPvim
00007ffd059bdb70 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow12poisonGlobalERKN4asan9GlobalVarE
00007ffd059bd942 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow14setShadowBytesEmm11ShadowValue
00007ffd059bdbb8 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue
00007ffd059be327 (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.1
00007ffd059be34a (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.2
00007ffd059be36d (__TEXT,__text) non-external __ZN10ASanShadow16poisonAllocationEmmm11ShadowValue.cold.3
00007ffd059bdc0c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewAllocationEmmm
00007ffd059bdc1c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow19poisonNewStackFrameEmmm
00007ffd059bdc2c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedAllocationEmm
00007ffd059be390 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedAllocationEmm.cold.1
00007ffd059bdc6c (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow21poisonFreedStackFrameEmm
00007ffd059be3b1 (__TEXT,__text) non-external __ZN10ASanShadow21poisonFreedStackFrameEmm.cold.1
00007ffd059bd6a4 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow6poisonEmmmmh
00007ffd059be257 (__TEXT,__text) non-external __ZN10ASanShadow6poisonEmmmmh.cold.1
00007ffd059bd788 (__TEXT,__text) non-external (was a private external) __ZN10ASanShadow8unpoisonEmm
00007ffd059bba12 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReader4readEmm
00007ffd059be014 (__TEXT,__text) non-external __ZN12MemoryReader4readEmm.cold.1
00007ffd059bb638 (__TEXT,__text) non-external (was a private external) __ZN12MemoryReaderD2Ev
00007ffd059bc7ab (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_
00007ffd059be0ba (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.1
00007ffd059be0e0 (__TEXT,__text) non-external __ZN2vm6createIN4asan19GlobalsRegistryImplEJEEEPT_DpOT0_.cold.2
00007ffd059bb0d7 (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_
00007ffd059bdedc (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.1
00007ffd059bdf02 (__TEXT,__text) non-external __ZN2vm6createIN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEEEJEEEPT_DpOT0_.cold.2
00007ffd059bb04e (__TEXT,__text) non-external (was a private external) __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_
00007ffd059bde95 (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.1
00007ffd059bdebb (__TEXT,__text) non-external __ZN2vm6createIN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEEJEEEPT_DpOT0_.cold.2
00007ffd059bd5d0 (__TEXT,__text) non-external (was a private external) __ZN4asan10initShadowEv
00007ffd059be20d (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.1
00007ffd059be236 (__TEXT,__text) non-external __ZN4asan10initShadowEv.cold.2
00007ffd059bcd5b (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeEP6ShadowPNS_15GlobalsRegistryE
00007ffd059bcd18 (__TEXT,__text) non-external (was a private external) __ZN4asan11initRuntimeERKN6config4ASanE
00007ffd059be122 (__TEXT,__text) non-external __ZN4asan11initRuntimeERKN6config4ASanE.cold.1
00007ffd059bce67 (__TEXT,__text) non-external (was a private external) __ZN4asan11reportErrorENS_9RegistersENS_12MemoryAccessE
00007ffd059bc700 (__TEXT,__text) non-external (was a private external) __ZN4asan14initGlobalVarsEP6ShadowPNS_15GlobalsRegistryE
00007ffd059baa60 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE
00007ffd059bdd89 (__TEXT,__text) non-external __ZN4asan15ReportGenerator12createReportENS_9RegistersENS_12MemoryAccessE.cold.1
00007ffd059badfa (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE
00007ffd059bde0f (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.1
00007ffd059bde30 (__TEXT,__text) non-external __ZN4asan15ReportGenerator16fillStackVarInfoERNS_6ReportE.cold.2
00007ffd059bac8e (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE
00007ffd059bddcd (__TEXT,__text) non-external __ZN4asan15ReportGenerator19addUseAfterFreeInfoERNS_6ReportE.cold.1
00007ffd059babdc (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE
00007ffd059bddaa (__TEXT,__text) non-external __ZN4asan15ReportGenerator25addHeapBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd059badc2 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator26addStackBufferOverflowInfoERNS_6ReportE
00007ffd059bad40 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE
00007ffd059bddee (__TEXT,__text) non-external __ZN4asan15ReportGenerator27addGlobalBufferOverflowInfoERNS_6ReportE.cold.1
00007ffd059badde (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator27addStackBufferUnderflowInfoERNS_6ReportE
00007ffd059baea0 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm
00007ffd059bde51 (__TEXT,__text) non-external __ZN4asan15ReportGenerator8StackVar11getStackVarEPKcm.cold.1
00007ffd059baf44 (__TEXT,__text) non-external (was a private external) __ZN4asan15ReportGenerator8StackVar5parseERPKc
00007ffd059bc9b3 (__TEXT,__text) non-external (was a private external) __ZN4asan15initCompilerABIEP6Shadow
00007ffd059bcd9e (__TEXT,__text) non-external (was a private external) __ZN4asan18initLibmallocHooksEP6Shadow
00007ffd059bc720 (__TEXT,__text) non-external (was a private external) __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE
00007ffd059be099 (__TEXT,__text) non-external __ZN4asan19GlobalsRegistryImpl15registerSectionE10array_viewIKNS_9GlobalVarEE.cold.1
00007ffd059bc7a1 (__TEXT,__text) non-external (was a private external) __ZN4asan19initGlobalsRegistryEv
00007ffd059bcdb6 (__TEXT,__text) non-external (was a private external) __ZN4asan20initReportGenerationEPK6ShadowPKNS_15GlobalsRegistryE
00007ffd059bd3d0 (__TEXT,__text) non-external (was a private external) __ZN4asan28callDebuggerBreakpointSymbolERKNS_6ReportE
00007ffd41bbd6e8 (__DATA,__bss) non-external __ZN4asanL7_shadowE
00007ffd41bbd6f0 (__DATA,__bss) non-external __ZN4asanL8_globalsE
00007ffd059bb4be (__TEXT,__text) non-external (was a private external) __ZN4hash7Murmur212hashPointersE10array_viewImE
00007ffd059bb674 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bc8d6 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bd2f4 (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bdcac (__TEXT,__text) non-external __ZN5debugL5printEPKcz
00007ffd059bb540 (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE
00007ffd059bdf67 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE15addDeallocTraceEmNS_2IdE.cold.1
00007ffd059bb32c (__TEXT,__text) non-external (was a private external) __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE
00007ffd059bdf23 (__TEXT,__text) non-external __ZN5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE6insertEmmNS_2IdE.cold.1
00007ffd059bafea (__TEXT,__text) non-external (was a private external) __ZN5trace19initTraceCollectionEb
00007ffd059bde74 (__TEXT,__text) non-external __ZN5trace19initTraceCollectionEb.cold.1
00007ffd059bb41a (__TEXT,__text) non-external (was a private external) __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm
00007ffd059bdf44 (__TEXT,__text) non-external __ZN5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE11insertTraceEPmm.cold.1
00007ffd059bb30a (__TEXT,__text) non-external (was a private external) __ZN5trace6Lookup6createERA24_h
00007ffd059bc0fe (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser10consumeEnvEPPKc
00007ffd059bc2a6 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser13removeEnvVarsEv
00007ffd059bc68a (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm18EEEvPPKcRAT__S3_
00007ffd059bc59e (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm19EEEvPPKcRAT__S3_
00007ffd059bc614 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm27EEEvPPKcRAT__S3_
00007ffd059bc528 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm30EEEvPPKcRAT__S3_
00007ffd059bc4b2 (__TEXT,__text) non-external (was a private external) __ZN6config3env6Parser8unsetEnvILm34EEEvPPKcRAT__S3_
00007ffd059bb752 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj
00007ffd059bdf88 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.1
00007ffd059bdfab (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.2
00007ffd059bdfce (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.3
00007ffd059bdff1 (__TEXT,__text) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE10loggerFuncEjmmmmj.cold.4
00007ffd41bbd6e0 (__DATA,__bss) non-external __ZN9libmalloc12MallocLoggerIXadL_ZL7onAllocmmjEEXadL_ZL9onDeallocmjEEE14previousLoggerE
00007ffd059bd974 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14addressIsInMemEm
00007ffd059bd9ae (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowStartEv
00007ffd059bd9b8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow14getShadowValueEmm
00007ffd059be278 (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.1
00007ffd059be29b (__TEXT,__text) non-external __ZNK10ASanShadow14getShadowValueEmm.cold.2
00007ffd059bda1a (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE
00007ffd059be2be (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.1
00007ffd059be2e1 (__TEXT,__text) non-external __ZNK10ASanShadow16getAllocationEndEN4asan12MemoryAccessE.cold.2
00007ffd059bd7d0 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16regionIsPoisonedEmm
00007ffd059bd95e (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow16shadowForAddressEm
00007ffd059bd990 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsInShadowEm
00007ffd059bd7a8 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17addressIsPoisonedEm
00007ffd059bdb28 (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE
00007ffd059be304 (__TEXT,__text) non-external __ZNK10ASanShadow17getAllocationInfoEN4asan12MemoryAccessE.cold.1
00007ffd059bd92c (__TEXT,__text) non-external (was a private external) __ZNK10ASanShadow23getShadowByteForAddressEPv
00007ffd059bc74c (__TEXT,__text) non-external (was a private external) __ZNK4asan19GlobalsRegistryImpl12getGlobalVarEm
00007ffd059bbac2 (__TEXT,__text) non-external (was a private external) __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm
00007ffd059be035 (__TEXT,__text) non-external __ZNK5trace13AllocationMapILm1048576EXadL_ZN4hash7Murmur211hashPointerEmEEE3getEm.cold.1
00007ffd059bbce2 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE12forEachFrameIZNKS3_13retrieveTraceENS_2IdERA64_mEUlmmE_EEvNS3_5EntryET_
00007ffd059bbc26 (__TEXT,__text) non-external (was a private external) __ZNK5trace5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEE13retrieveTraceENS_2IdERA64_m
00007ffd059bbd5a (__TEXT,__text) non-external (was a private external) __ZNK5trace9ExtractorINS_5DepotILm524288ELm64ELm8EN4hash7Murmur2EXadL_Z16thread_stack_pcsEEEENS_13AllocationMapILm1048576EXadL_ZNS3_11hashPointerEmEEEEE13diagnoseFaultEm
