                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffb1870b686 (__TEXT,__text) external _apr__SHA256_Data
00007ffb1870b5cb (__TEXT,__text) external _apr__SHA256_End
00007ffb1870b4b3 (__TEXT,__text) external _apr__SHA256_Final
00007ffb1870b167 (__TEXT,__text) external _apr__SHA256_Init
00007ffb1870b1a2 (__TEXT,__text) external _apr__SHA256_Transform
00007ffb1870b3e6 (__TEXT,__text) external _apr__SHA256_Update
00007ffb18703895 (__TEXT,__text) external _apr_allocator_alloc
00007ffb1870375d (__TEXT,__text) external _apr_allocator_create
00007ffb187037cd (__TEXT,__text) external _apr_allocator_destroy
00007ffb18703a52 (__TEXT,__text) external _apr_allocator_free
00007ffb1870382f (__TEXT,__text) external _apr_allocator_max_free_set
00007ffb18703811 (__TEXT,__text) external _apr_allocator_mutex_get
00007ffb18703807 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffb18703825 (__TEXT,__text) external _apr_allocator_owner_get
00007ffb1870381b (__TEXT,__text) external _apr_allocator_owner_set
00007ffb18705ca0 (__TEXT,__text) external _apr_app_initialize
00007ffb186fd71d (__TEXT,__text) external _apr_array_append
