00000001d5a96d78 (__DATA,__data) non-external _C
00000001d5a97fa0 (__DATA,__bss) non-external _CF6464
000000018034bc98 (__TEXT,__const) non-external _CIFP
00000001d5a98ca4 (__DATA,__bss) non-external _EMSG
00000001d5a98ca5 (__DATA,__bss) non-external _EMSG
000000018034bc68 (__TEXT,__const) non-external _ExpandTr
00000001d5a97f90 (__DATA,__bss) non-external _IE3264
000000018034bc28 (__TEXT,__const) non-external _IP
00000001d5a97f00 (__DATA,__bss) non-external _KS
00000001d6c24a60 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001d6c24a58 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
0000000180313cc8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018033a0a4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180313cf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180313d10 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180313d2c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180313d48 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180313d64 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180313d7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
0000000180313d94 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018034bcd8 (__TEXT,__const) non-external _P32Tr
000000018034bbf0 (__TEXT,__const) non-external _PC1
00000001d5a97ef8 (__DATA,__bss) non-external _PC1ROT
000000018034bbb0 (__TEXT,__const) non-external _PC2
00000001d5a97f80 (__DATA,__bss) non-external _PC2ROT
000000018034bba0 (__TEXT,__const) non-external _Rotates
000000018034bcf8 (__TEXT,__const) non-external _S
00000001d5a97f98 (__DATA,__bss) non-external _SPE
0000000180325c5c (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180325ca0 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180325dc4 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180325d70 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001d5a96e90 (__DATA,__data) non-external __C_lconv
00000001d3911c10 (__DATA_CONST,__const) non-external __C_messages_locale
00000001d3911c30 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001d3911cd8 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001d3911f28 (__DATA_CONST,__const) non-external __C_time_locale
00000001d5a96fe0 (__DATA,__data) external __CurrentRuneLocale
00000001d5a97230 (__DATA,__constrw) external __DefaultRuneLocale
00000001d70bd3d0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180327420 (__TEXT,__text) non-external __EUC_free_extra
0000000180326ee0 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180327090 (__TEXT,__text) non-external __EUC_mbrtowc
0000000180327404 (__TEXT,__text) non-external __EUC_mbsinit
000000018032722c (__TEXT,__text) non-external __EUC_wcrtomb
000000018033a780 (__TEXT,__text) external __Exit
0000000180327448 (__TEXT,__text) non-external (was a private external) __GB18030_init
000000018032748c (__TEXT,__text) non-external __GB18030_mbrtowc
000000018032770c (__TEXT,__text) non-external __GB18030_mbsinit
0000000180327600 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180327728 (__TEXT,__text) non-external (was a private external) __GB2312_init
000000018032776c (__TEXT,__text) non-external __GB2312_mbrtowc
00000001803278e4 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180327890 (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180327900 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180327944 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180327a68 (__TEXT,__text) non-external __GBK_mbsinit
0000000180327a14 (__TEXT,__text) non-external __GBK_wcrtomb
0000000180327ee0 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180327f24 (__TEXT,__text) non-external __MSKanji_mbrtowc
000000018032806c (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180328004 (__TEXT,__text) non-external __MSKanji_wcrtomb
00000001802d9560 (__TEXT,__text) external __NSGetArgc
00000001802d9554 (__TEXT,__text) external __NSGetArgv
00000001802d4410 (__TEXT,__text) external __NSGetEnviron
00000001802d44d4 (__TEXT,__text) external __NSGetMachExecuteHeader
00000001802d8880 (__TEXT,__text) external __NSGetProgname
00000001d5a98d90 (__DATA,__common) external __PathLocale
00000001802f41a4 (__TEXT,__text) external __Read_RuneMagi
000000018033a0cc (__TEXT,__text) non-external (was a private external) __UTF2_init
000000018033a130 (__TEXT,__text) non-external __UTF2_mbrtowc
000000018033a328 (__TEXT,__text) non-external __UTF2_mbsinit
000000018033a344 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
000000018033a280 (__TEXT,__text) non-external __UTF2_wcrtomb
000000018033a4e8 (__TEXT,__text) non-external __UTF2_wcsnrtombs
00000001802f46e0 (__TEXT,__text) non-external (was a private external) __UTF8_init
00000001802f6154 (__TEXT,__text) non-external __UTF8_mbrtowc
00000001803288a8 (__TEXT,__text) non-external __UTF8_mbsinit
00000001802f63e8 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
00000001802f6be0 (__TEXT,__text) non-external __UTF8_wcrtomb
00000001803288c4 (__TEXT,__text) non-external __UTF8_wcsnrtombs
00000001802e23f8 (__TEXT,__text) external ___Balloc_D2A
00000001802e2614 (__TEXT,__text) external ___Bfree_D2A
000000018030fa48 (__TEXT,__text) external ____mb_cur_max
000000018030fa74 (__TEXT,__text) external ____mb_cur_max_l
00000001802e7788 (__TEXT,__text) external ____runetype
00000001802e77ac (__TEXT,__text) external ____runetype_l
00000001803287bc (__TEXT,__text) external ____tolower
0000000180328718 (__TEXT,__text) external ____tolower_l
0000000180328884 (__TEXT,__text) external ____toupper
00000001803287e0 (__TEXT,__text) external ____toupper_l
0000000180349a4c (__TEXT,__text) non-external (was a private external) ___abort
000000018031aeb8 (__TEXT,__text) external ___add_ovflpage
000000018031ac34 (__TEXT,__text) external ___addel
00000001802e6654 (__TEXT,__text) external ___any_on_D2A
0000000180348c14 (__TEXT,__text) external ___assert_rtn
00000001d6c262e0 (__DATA_DIRTY,__bss) non-external ___atexit
00000001802f1230 (__TEXT,__text) non-external (was a private external) ___atexit_init
00000001d6c262e8 (__DATA_DIRTY,__bss) non-external ___atexit_new_registration
00000001802f7eac (__TEXT,__text) external ___b2d_D2A
00000001803193cc (__TEXT,__text) external ___big_delete
0000000180319118 (__TEXT,__text) external ___big_insert
0000000180319a74 (__TEXT,__text) external ___big_keydata
0000000180319704 (__TEXT,__text) external ___big_return
0000000180319bf4 (__TEXT,__text) external ___big_split
000000018034c200 (__TEXT,__const) external ___bigtens_D2A
0000000180313f54 (__TEXT,__text) external ___bt_close
0000000180317c70 (__TEXT,__text) external ___bt_cmp
0000000180317d38 (__TEXT,__text) external ___bt_defcmp
0000000180317d7c (__TEXT,__text) external ___bt_defpfx
00000001803143cc (__TEXT,__text) external ___bt_delete
0000000180314a3c (__TEXT,__text) external ___bt_dleaf
00000001803157f8 (__TEXT,__text) external ___bt_fd
000000018031685c (__TEXT,__text) non-external ___bt_first
0000000180315bfc (__TEXT,__text) external ___bt_free
00000001803150c8 (__TEXT,__text) external ___bt_get
0000000180315c24 (__TEXT,__text) external ___bt_new
00000001803151bc (__TEXT,__text) external ___bt_open
0000000180314e1c (__TEXT,__text) non-external ___bt_pdelete
00000001803140f0 (__TEXT,__text) external ___bt_pgin
0000000180314274 (__TEXT,__text) external ___bt_pgout
0000000180315ca0 (__TEXT,__text) external ___bt_put
0000000180315038 (__TEXT,__text) non-external ___bt_relink
0000000180317adc (__TEXT,__text) external ___bt_ret
00000001803161b0 (__TEXT,__text) external ___bt_search
0000000180316408 (__TEXT,__text) external ___bt_seq
0000000180316800 (__TEXT,__text) external ___bt_setcur
0000000180316a74 (__TEXT,__text) external ___bt_split
00000001803146cc (__TEXT,__text) non-external ___bt_stkacq
0000000180314014 (__TEXT,__text) external ___bt_sync
000000018031a164 (__TEXT,__text) external ___buf_free
000000018031a134 (__TEXT,__text) non-external (was a private external) ___buf_init
00000001d6c23dc8 (__DATA_DIRTY,__data) non-external ___c_locale
00000001803441a0 (__TEXT,__text) non-external ___calc_left_pad
0000000180318c04 (__TEXT,__text) external ___call_hash
00000001d5a97228 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180347e3c (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180347e58 (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
00000001802fee24 (__TEXT,__text) non-external (was a private external) ___chk_init
00000001802d8908 (__TEXT,__text) non-external (was a private external) ___chk_overlap
                 (undefined) external ___chkstk_darwin (from libcompiler_rt)
                 (undefined) external ___chmod_extended (from libsystem_kernel)
00000001d6c26368 (__DATA_DIRTY,__common) external ___cleanup
00000001802e3750 (__TEXT,__text) external ___cmp_D2A
0000000180326884 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180326a40 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180326bac (__TEXT,__text) external ___collate_equiv_match
00000001802ec824 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
000000018032601c (__TEXT,__text) non-external (was a private external) ___collate_err
00000001d5a96e88 (__DATA,__data) external ___collate_load_error
00000001802f3348 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
00000001d5a98810 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180326390 (__TEXT,__text) external ___collate_lookup
00000001803260d8 (__TEXT,__text) external ___collate_lookup_l
0000000180326560 (__TEXT,__text) non-external (was a private external) ___collate_lookup_which
000000018032646c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180326ebc (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00000001d5a98818 (__DATA,__bss) non-external ___collate_range_cmp.s1
00000001d5a98820 (__DATA,__bss) non-external ___collate_range_cmp.s2
0000000180325de0 (__TEXT,__text) non-external (was a private external) ___collate_substitute
0000000180325fc8 (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
0000000180326640 (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00000001802f1220 (__TEXT,__text) non-external (was a private external) ___confstr_init
00000001802e582c (__TEXT,__text) external ___copybits_D2A
0000000180308b68 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00000001803085c8 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00000001d5a97ef0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00000001d5a98d48 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
000000018033dbec (__TEXT,__text) non-external ___cvt
00000001d5a98d08 (__DATA,__bss) non-external ___cvt.s
00000001802d9130 (__TEXT,__text) external ___cxa_atexit
00000001802f9d74 (__TEXT,__text) external ___cxa_finalize
00000001802f9dbc (__TEXT,__text) external ___cxa_finalize_ranges
000000018033a79c (__TEXT,__text) external ___cxa_thread_atexit
00000001802e22dc (__TEXT,__text) external ___d2b_D2A
00000001d6c26320 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
0000000180317eac (__TEXT,__text) non-external ___dberr
0000000180317e8c (__TEXT,__text) external ___dbpanic
00000001d70bd3c0 (__AUTH,__data) external ___default_hash
00000001803424a4 (__TEXT,__text) external ___default_utx
00000001d5a971d8 (__DATA,__data) non-external ___default_utx.once
