0000000184286390 (__TEXT,__text) external _CreateLSTMBreakEngine
0000000184286314 (__TEXT,__text) external _CreateLSTMData
00000001842861c0 (__TEXT,__text) external _CreateLSTMDataForScript
0000000184286528 (__TEXT,__text) external _DeleteLSTMData
0000000184286574 (__TEXT,__text) external _LSTMDataName
0000000184266588 (__TEXT,__text) external _T_CString_int64ToString
00000001841f7e00 (__TEXT,__text) external _T_CString_integerToString
0000000184266658 (__TEXT,__text) external _T_CString_stringToInteger
000000018425d518 (__TEXT,__text) external _T_CString_toLowerCase
00000001842161d0 (__TEXT,__text) external _T_CString_toUpperCase
00000001842c5f98 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00000001842c5cd4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00000001842430b8 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00000001842c5e2c (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00000001842c6524 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001842c64cc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00000001841fd8ec (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00000001842c64f0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00000001842e19e0 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00000001842e8b78 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e8c30 (__TEXT,__text) external __Z15ulocimp_getNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842ea058 (__TEXT,__text) external __Z16ulocimp_toBcpKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842e8a3c (__TEXT,__text) external __Z17ulocimp_getParentPKcR10UErrorCode
00000001842e8ae0 (__TEXT,__text) external __Z17ulocimp_getParentPKcRN3icu8ByteSinkER10UErrorCode
00000001842e7a84 (__TEXT,__text) external __Z17ulocimp_getRegionNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e79c0 (__TEXT,__text) external __Z17ulocimp_getScriptNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842ea1d8 (__TEXT,__text) external __Z17ulocimp_toBcpTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00000001842e7c0c (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu10CharStringES6_S6_S6_PPKcR10UErrorCode
00000001842e7dcc (__TEXT,__text) external __Z18ulocimp_getSubtagsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEPN3icu8ByteSinkES6_S6_S6_PPKcR10UErrorCode
00000001842e7b48 (__TEXT,__text) external __Z18ulocimp_getVariantNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e93a0 (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e9458 (__TEXT,__text) external __Z19ulocimp_getBaseNameNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842e654c (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcRN3icu8ByteSinkEbR10UErrorCode
00000001842e6480 (__TEXT,__text) external __Z19ulocimp_getKeywordsNSt3__117basic_string_viewIcNS_11char_traitsIcEEEEcbR10UErrorCode
00000001842e78fc (__TEXT,__text) external __Z19ulocimp_getLanguageNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842ea118 (__TEXT,__text) external __Z19ulocimp_toLegacyKeyNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842e9464 (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEER10UErrorCode
00000001842e951c (__TEXT,__text) external __Z20ulocimp_canonicalizeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
00000001842ea4c0 (__TEXT,__text) external __Z20ulocimp_toLegacyTypeNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
00000001842ebfec (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcRN3icu8ByteSinkEbR10UErrorCode
00000001842ebf38 (__TEXT,__text) external __Z21ulocimp_toLanguageTagPKcbR10UErrorCode
00000001842ed14c (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciPiR10UErrorCode
00000001842ed208 (__TEXT,__text) external __Z22ulocimp_forLanguageTagPKciRN3icu8ByteSinkEPiR10UErrorCode
00000001842e68c8 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEER10UErrorCode
00000001842e6984 (__TEXT,__text) external __Z23ulocimp_getKeywordValuePKcNSt3__117basic_string_viewIcNS1_11char_traitsIcEEEERN3icu8ByteSinkER10UErrorCode
000000018427f004 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcR10UErrorCode
000000018427f0a8 (__TEXT,__text) external __Z23ulocimp_minimizeSubtagsPKcRN3icu8ByteSinkEbR10UErrorCode
00000001842e76ec (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_RN3icu10CharStringER10UErrorCode
00000001842e6f00 (__TEXT,__text) external __Z23ulocimp_setKeywordValueNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_S3_RN3icu8ByteSinkER10UErrorCode
000000018427eb7c (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcR10UErrorCode
000000018427ec20 (__TEXT,__text) external __Z24ulocimp_addLikelySubtagsPKcRN3icu8ByteSinkER10UErrorCode
00000001842e9a54 (__TEXT,__text) external __Z28ulocimp_toBcpKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
00000001842e9b70 (__TEXT,__text) external __Z29ulocimp_toBcpTypeWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEES3_
0000000184306d80 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001842e9c60 (__TEXT,__text) external __Z31ulocimp_toLegacyKeyWithFallbackNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE
