000000025ff386e4 (__TEXT,__text) external _AAAFSCGetMetadata
000000025ff38aac (__TEXT,__text) external _AAAFSCSetMetadata
000000025ff37afc (__TEXT,__text) external _AAAFSCStreamOpen
000000025ff381ec (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000025ff38328 (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000025fec5848 (__TEXT,__text) external _AAArchiveStreamCancel
000000025fec57f4 (__TEXT,__text) external _AAArchiveStreamClose
000000025feda9a4 (__TEXT,__text) external _AAArchiveStreamProcess
000000025fec57a4 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000025fec578c (__TEXT,__text) external _AAArchiveStreamReadHeader
000000025fec57d8 (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000025fec57c0 (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000025fec6c1c (__TEXT,__text) external _AAArchiveStreamWritePathList
000000025feca3c4 (__TEXT,__text) external _AAAssetBuilderAddFilter
000000025feca2e4 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000025feca230 (__TEXT,__text) external _AAAssetBuilderCreate
000000025feca2d8 (__TEXT,__text) external _AAAssetBuilderDestroy
000000025ff2dd98 (__TEXT,__text) external _AAAssetBuilderGenerate
000000025feca49c (__TEXT,__text) external _AAAssetBuilderGetParameter
000000025feca3cc (__TEXT,__text) external _AAAssetBuilderSetParameter
000000025fecaac4 (__TEXT,__text) external _AAAssetExtractorCreate
000000025fecafec (__TEXT,__text) external _AAAssetExtractorDestroy
000000025fecb9dc (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000025fecb950 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000025fecb4a8 (__TEXT,__text) external _AAAssetExtractorWrite
000000025ff4003c (__TEXT,__text) external _AAAsyncByteStreamCancel
000000025ff40050 (__TEXT,__text) external _AAAsyncByteStreamClose
000000025ff3fa54 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000025ff3fea4 (__TEXT,__text) external _AAAsyncByteStreamProcess
000000025fefa54c (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000025fedba04 (__TEXT,__text) external _AAByteRangeAdd
000000025fedb8f8 (__TEXT,__text) external _AAByteRangeClone
000000025fedb830 (__TEXT,__text) external _AAByteRangeCreate
000000025fedb8b4 (__TEXT,__text) external _AAByteRangeDestroy
000000025fedbc28 (__TEXT,__text) external _AAByteRangeFirst
000000025fedbd80 (__TEXT,__text) external _AAByteRangeNext
000000025fedbbac (__TEXT,__text) external _AAByteRangeOffsetAtSize
000000025fedbb2c (__TEXT,__text) external _AAByteRangeSizeAtOffset
000000025fedba9c (__TEXT,__text) external _AAByteRangeSub
000000025ff369e8 (__TEXT,__text) external _AAByteStreamCancel
000000025ff369fc (__TEXT,__text) external _AAByteStreamClose
000000025ff36a50 (__TEXT,__text) external _AAByteStreamCloseWithState
000000025ff36ab8 (__TEXT,__text) external _AAByteStreamFlush
000000025ff369b8 (__TEXT,__text) external _AAByteStreamPRead
000000025ff36ae8 (__TEXT,__text) external _AAByteStreamPReadAsync
000000025ff36988 (__TEXT,__text) external _AAByteStreamPWrite
