00007ff815041bf5 (__TEXT,__const) non-external _KW_ANY
00007ff815041b59 (__TEXT,__const) non-external _KW_ATTLIST
00007ff815041ba8 (__TEXT,__const) non-external _KW_CDATA
00007ff815041b3c (__TEXT,__const) non-external _KW_DOCTYPE
00007ff815041b61 (__TEXT,__const) non-external _KW_ELEMENT
00007ff815041bef (__TEXT,__const) non-external _KW_EMPTY
00007ff815041bbe (__TEXT,__const) non-external _KW_ENTITIES
00007ff815041b52 (__TEXT,__const) non-external _KW_ENTITY
00007ff815041be9 (__TEXT,__const) non-external _KW_FIXED
00007ff815041bae (__TEXT,__const) non-external _KW_ID
00007ff815041bb1 (__TEXT,__const) non-external _KW_IDREF
00007ff815041bb7 (__TEXT,__const) non-external _KW_IDREFS
00007ff815041b7a (__TEXT,__const) non-external _KW_IGNORE
00007ff815041bd8 (__TEXT,__const) non-external _KW_IMPLIED
00007ff815041b72 (__TEXT,__const) non-external _KW_INCLUDE
00007ff815042310 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff815041b81 (__TEXT,__const) non-external _KW_NDATA
00007ff815041bc7 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff815041bcf (__TEXT,__const) non-external _KW_NMTOKENS
00007ff815041b69 (__TEXT,__const) non-external _KW_NOTATION
00007ff815041bf9 (__TEXT,__const) non-external _KW_PCDATA
00007ff815041b4b (__TEXT,__const) non-external _KW_PUBLIC
00007ff815041be0 (__TEXT,__const) non-external _KW_REQUIRED
00007ff815041b44 (__TEXT,__const) non-external _KW_SYSTEM
00007ff81504231b (__TEXT,__const) non-external _KW_US_ASCII
00007ff81504232a (__TEXT,__const) non-external _KW_UTF_16
00007ff815042331 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff81504233a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff815042324 (__TEXT,__const) non-external _KW_UTF_8
00007ff815042351 (__TEXT,__const) non-external _KW_encoding
00007ff815042369 (__TEXT,__const) non-external _KW_no
00007ff81504235a (__TEXT,__const) non-external _KW_standalone
00007ff815042349 (__TEXT,__const) non-external _KW_version
00007ff815042365 (__TEXT,__const) non-external _KW_yes
00007ff815029cce (__TEXT,__text) external _XML_DefaultCurrent
00007ff815029de9 (__TEXT,__text) external _XML_ErrorString
00007ff815029e0a (__TEXT,__text) external _XML_ExpatVersion
00007ff815029e17 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff8150281f0 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff815029c73 (__TEXT,__text) external _XML_FreeContentModel
00007ff8150290b1 (__TEXT,__text) external _XML_GetBase
00007ff815029509 (__TEXT,__text) external _XML_GetBuffer
00007ff815029b62 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff815029b39 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff815029c1d (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff815029bc4 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff815029b21 (__TEXT,__text) external _XML_GetErrorCode
00007ff815029e2c (__TEXT,__text) external _XML_GetFeatureList
00007ff841811400 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff8150290df (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff815029b8b (__TEXT,__text) external _XML_GetInputContext
00007ff815029b03 (__TEXT,__text) external _XML_GetParsingStatus
00007ff815040a2d (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff8150290c7 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff815029cb9 (__TEXT,__text) external _XML_MemFree
00007ff815029c88 (__TEXT,__text) external _XML_MemMalloc
00007ff815029c9f (__TEXT,__text) external _XML_MemRealloc
00007ff815029381 (__TEXT,__text) external _XML_Parse
00007ff8150409e7 (__TEXT,__text) non-external _XML_Parse.cold.1
00007ff81502971f (__TEXT,__text) external _XML_ParseBuffer
00007ff815027528 (__TEXT,__text) external _XML_ParserCreate
00007ff81502754a (__TEXT,__text) external _XML_ParserCreateNS
00007ff81502753b (__TEXT,__text) external _XML_ParserCreate_MM
00007ff815028b0c (__TEXT,__text) external _XML_ParserFree
00007ff815027a6d (__TEXT,__text) external _XML_ParserReset
00007ff815029a30 (__TEXT,__text) external _XML_ResumeParser
00007ff815029ed2 (__TEXT,__text) external _XML_SetAllocTrackerActivationThreshold
00007ff815029e98 (__TEXT,__text) external _XML_SetAllocTrackerMaximumAmplification
00007ff8150292eb (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff815029009 (__TEXT,__text) external _XML_SetBase
00007ff815029e73 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff815029e39 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff815029164 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff81502912e (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff815029152 (__TEXT,__text) external _XML_SetCommentHandler
00007ff8150291a1 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff8150291ba (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff8150291d3 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff8150292d9 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff8150290f7 (__TEXT,__text) external _XML_SetElementHandler
00007ff815028128 (__TEXT,__text) external _XML_SetEncoding
00007ff81502918f (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff8150291fe (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff81502911c (__TEXT,__text) external _XML_SetEndElementHandler
00007ff81502925f (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff8150292fd (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff815029283 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff815029295 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff815029349 (__TEXT,__text) external _XML_SetHashSalt
00007ff815029234 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff815029271 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff815029222 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff815029321 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff815029140 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff815029ef7 (__TEXT,__text) external _XML_SetReparseDeferralEnabled
00007ff815028fcb (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff8150292ae (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff81502917d (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff8150291ec (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff81502910d (__TEXT,__text) external _XML_SetStartElementHandler
00007ff81502924d (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff8150292c0 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff815029210 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff815028fee (__TEXT,__text) external _XML_SetUserData
00007ff81502930f (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff815029997 (__TEXT,__text) external _XML_StopParser
00007ff815040a0a (__TEXT,__text) non-external _XML_StopParser.cold.1
00007ff815028f9a (__TEXT,__text) external _XML_UseForeignDTD
00007ff815028f8b (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff815034054 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff815034582 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff815034047 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff815034575 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff815034061 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff81503458f (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff815033ad8 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff81503476f (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff81503415c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff815034629 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff815032178 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff81503225c (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
