00000001000dbe80 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000100029d24 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000daa38 (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
0000000100065050 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000ad064 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
00000001000e9fb4 (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
00000001000eaf80 (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
00000001000e5068 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000c5e80 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
000000010000199c (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_as.cpp
0000000100124060 (__DATA,__bss) non-external __MergedGlobals
0000000100124378 (__DATA,__bss) non-external __MergedGlobals
00000001001243e8 (__DATA,__bss) non-external __MergedGlobals
0000000100124428 (__DATA,__bss) non-external __MergedGlobals
0000000100124b80 (__DATA,__bss) non-external __MergedGlobals
0000000100124ee8 (__DATA,__bss) non-external __MergedGlobals
0000000100124f00 (__DATA,__bss) non-external __MergedGlobals
0000000100124f30 (__DATA,__bss) non-external __MergedGlobals
0000000100125078 (__DATA,__bss) non-external __MergedGlobals
0000000100125138 (__DATA,__bss) non-external __MergedGlobals
0000000100125960 (__DATA,__bss) non-external __MergedGlobals
0000000100125b58 (__DATA,__bss) non-external __MergedGlobals
0000000100125b78 (__DATA,__bss) non-external __MergedGlobals
0000000100124f28 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
0000000100124008 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
