00007ff90e132d86 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90e132d9d (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90e12324d (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff90e1230bd (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff90e123597 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90e133217 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff90e1365fd (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90e136684 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff90e133523 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff90e1329b6 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff90e12b748 (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff90e13589c (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff90e12b7a4 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90e12bd98 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff90e135a7c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff90e135ae6 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff90e12b727 (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90e12bca2 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90e135a14 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff90e135a48 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90e12bbf0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff90e1359e0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff90e12b9a8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff90e1358b4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90e13591e (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90e135952 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90e135986 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90e12bfbb (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90e135c04 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff90e135c84 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90e12be97 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90e135b1a (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90e135b84 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90e131db5 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90e136345 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90e13639f (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90e125082 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90e12519c (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90e1237a8 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90e11d949 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff90e133cc8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90e11d335 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00007ff90e133b3c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00007ff90e133bd5 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00007ff90e133c6e (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00007ff90e11ce2c (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90e133b24 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff90e11d186 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00007ff90e12b2d7 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90e125840 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
