                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external _atoi (from libSystem)
00007ff80fcec13a (__TEXT,__text) non-external _au_assemble
00007ff80fced5bc (__TEXT,__text) external _au_bsm_to_domain
00007ff80fcf8781 (__TEXT,__text) external _au_bsm_to_errno
00007ff80fcf882f (__TEXT,__text) external _au_bsm_to_fcntl_cmd
00007ff80fcf48d6 (__TEXT,__text) external _au_bsm_to_socket_type
00007ff80fcec387 (__TEXT,__text) external _au_close
00007ff80fcec438 (__TEXT,__text) external _au_close_buffer
00007ff80fcec4f8 (__TEXT,__text) external _au_close_token
00007ff80fcec06f (__TEXT,__text) external _au_close_with_errors
00007ff843e83734 (__DATA,__bss) non-external _au_cond
00007ff80fced591 (__TEXT,__text) external _au_domain_to_bsm
00007ff80fcf8753 (__TEXT,__text) external _au_errno_to_bsm
00007ff80fcf8804 (__TEXT,__text) external _au_fcntl_cmd_to_bsm
00007ff80fcebafb (__TEXT,__text) external _au_fetch_tok
00007ff80fcebe85 (__TEXT,__text) external _au_free_token
00007ff80fcf47d5 (__TEXT,__text) external _au_get_state
00007ff80fcf4735 (__TEXT,__text) external _au_notify_initialize
00007ff80fcf47bc (__TEXT,__text) external _au_notify_terminate
00007ff80fcebeaf (__TEXT,__text) external _au_open
00007ff84133bef0 (__DATA_CONST,__const) non-external _au_polstr
00007ff80fcec974 (__TEXT,__text) external _au_poltostr
00007ff80fcf4525 (__TEXT,__text) external _au_preselect
00007ff80fcef398 (__TEXT,__text) external _au_print_flags_tok
00007ff80fcf37ac (__TEXT,__text) external _au_print_tok
00007ff80fcf37c6 (__TEXT,__text) external _au_print_tok_xml
00007ff80fcede91 (__TEXT,__text) external _au_print_xml_footer
00007ff80fcede50 (__TEXT,__text) external _au_print_xml_header
00007ff80fcf37e6 (__TEXT,__text) external _au_read_rec
00007ff80fcf8713 (__TEXT,__text) external _au_sdev_close
00007ff80fcf8746 (__TEXT,__text) external _au_sdev_fd
00007ff80fceb6c3 (__TEXT,__text) external _au_sdev_open
