00000001a0e0eff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0e0f01c (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001a0e03030 (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001a0e0318c (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001a0e0f2a4 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001a0e12068 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001a0e120e8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001a0e0f56c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001a0e03874 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001a0e09358 (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001a0e093f0 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001a0e09910 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001a0e11654 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001a0e11688 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001a0e09330 (__TEXT,__text) non-external +[MIS isAvailable]
00000001a0e09824 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001a0e115ec (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001a0e11620 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001a0e09770 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001a0e115b8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001a0e0957c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001a0e11488 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001a0e114f4 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001a0e11528 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001a0e1155c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001a0e09b20 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001a0e117c0 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001a0e11840 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001a0e09a08 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001a0e116e4 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001a0e11764 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001a0e0e248 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001a0e11d20 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001a0e11d7c (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001a0e04bd0 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001a0e04d10 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001a0e03398 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001a0dfe974 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001a0e0f9e4 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001a0e0fab8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001a0dfe6c8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001a0e08f08 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001a0e053a0 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001a0dfd014 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001a0e04658 (__TEXT,__text) non-external +[SPLog exec]
00000001a0e049a0 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001a0e04520 (__TEXT,__text) non-external +[SPLog generic]
00000001a0e045bc (__TEXT,__text) non-external +[SPLog kext]
00000001a0e046f4 (__TEXT,__text) non-external +[SPLog measurements]
00000001a0e04994 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001a0e04790 (__TEXT,__text) non-external +[SPLog signposts]
00000001a0e0482c (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001a0e0bc14 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001a0e0b64c (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001a0e0ab58 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001a0e119d4 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001a0e0a9ac (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001a0e0a998 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
