00000001d7848550 (__DATA,__common) external _BC
00000001d78483fc (__DATA,__common) external _COLORS
000000019ebcc210 (__TEXT,__text) external _COLOR_PAIR
00000001d78483f8 (__DATA,__common) external _COLOR_PAIRS
00000001d784853c (__DATA,__common) external _COLS
00000001d7847f78 (__DATA,__data) external _ESCDELAY
00000001d7848538 (__DATA,__common) external _LINES
000000019ebcd3b4 (__TEXT,__text) external _PAIR_NUMBER
00000001d784855c (__DATA,__common) external _PC
00000001d7848428 (__DATA,__common) external _SP
00000001d7848540 (__DATA,__common) external _TABSIZE
00000001d7848548 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
000000019ebab61c (__TEXT,__text) external __nc_access
000000019ebab7c0 (__TEXT,__text) external __nc_add_to_try
000000019ebabf74 (__TEXT,__text) external __nc_align_termtype
000000019ebab5d0 (__TEXT,__text) external __nc_basename
000000019ebb3aa4 (__TEXT,__text) external __nc_baudrate
000000019ebb293c (__TEXT,__text) external __nc_build_wch
000000019ebc4bc4 (__TEXT,__text) external __nc_capcmp
000000019ebace6c (__TEXT,__text) external __nc_captoinfo
00000001d9f57088 (__AUTH,__data) external __nc_check_termtype
00000001d9f57080 (__AUTH,__data) external __nc_check_termtype2
00000001d78481b0 (__DATA,__common) external __nc_comment_end
00000001d78481a8 (__DATA,__common) external __nc_comment_start
000000019ebaba08 (__TEXT,__text) external __nc_copy_entry
000000019ebac75c (__TEXT,__text) external __nc_copy_termtype
00000001d7848190 (__DATA,__common) external __nc_curr_col
00000001d78481a0 (__DATA,__common) external __nc_curr_file_pos
00000001d784818c (__DATA,__common) external __nc_curr_line
00000001d78481c0 (__DATA,__common) external __nc_curr_token
000000019ebb1084 (__TEXT,__text) external __nc_delink_entry
00000001d78481d8 (__DATA,__common) external __nc_disable_period
000000019ebb555c (__TEXT,__text) external __nc_do_color
000000019ebb0ff4 (__TEXT,__text) external __nc_doalloc
000000019ebaf4dc (__TEXT,__text) external __nc_entry_match
000000019ebae720 (__TEXT,__text) external __nc_err_abort
000000019ebc63dc (__TEXT,__text) external __nc_expand_try
000000019ebce808 (__TEXT,__text) external __nc_expanded
000000019ebb112c (__TEXT,__text) external __nc_fallback
000000019ebaec44 (__TEXT,__text) external __nc_find_entry
000000019ebaed34 (__TEXT,__text) external __nc_find_type_entry
000000019ebb0ef0 (__TEXT,__text) external __nc_first_db
