00007ffc425a9560 (__DATA_DIRTY,__common) external _AfterColour
00007ffc425a9490 (__DATA_DIRTY,__common) external _ApplyExtTspWithoutProfile
00007ffc425a93c0 (__DATA_DIRTY,__common) external _AsmMacroMaxNestingDepth
00007ffc425a92f0 (__DATA_DIRTY,__common) external _BBSectionsDetectSourceDrift
                 (undefined) external _BZ2_bzBuffToBuffCompress (from libbz2)
                 (undefined) external _BZ2_bzBuffToBuffDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffc425a91f0 (__DATA_DIRTY,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
00007ffc425a9110 (__DATA_DIRTY,__common) external _CheapRematWeight
00007ffc425a8f10 (__DATA_DIRTY,__common) external _CommonColour
00007ffc425a8e30 (__DATA_DIRTY,__common) external _CopyWeight
00007ffc425a8d60 (__DATA_DIRTY,__common) external _DisableBitcodeVersionUpgrade
00007ffc425a8c90 (__DATA_DIRTY,__common) external _EnableExtTspBlockPlacement
00007ffc425a8bc0 (__DATA_DIRTY,__common) external _EnableLTOInternalization
00007ffc425a8af0 (__DATA_DIRTY,__common) external _EnableVPlanNativePath
00007ffc425a8a20 (__DATA_DIRTY,__common) external _EnableVPlanPredication
00007ffc425a8950 (__DATA_DIRTY,__common) external _EvictInterferenceCutoff
00007ffc425a8870 (__DATA_DIRTY,__common) external _ExpensiveRematWeight
00007ffc425a8600 (__DATA_DIRTY,__common) external _FSEC
00007ffc425a8530 (__DATA_DIRTY,__common) external _ForceFusion
00007ffc42bd8750 (__DATA,__common) external _ForceSummaryEdgesCold
00007ffc425a8460 (__DATA_DIRTY,__common) external _FuseMatrix
00007ffc425a8390 (__DATA_DIRTY,__common) external _GenerateMergedBaseProfiles
00007ffc425a8120 (__DATA_DIRTY,__common) external _InlinerFunctionImportStats
00007ffc0b3117c5 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffc0b311759 (__TEXT,__text) external _LLVMABISizeOfType
00007ffc0a90ac52 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
00007ffc0a90ac5d (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
00007ffc0bb06280 (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
00007ffc0b999995 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffc0a0fcea6 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
00007ffc0a73892a (__TEXT,__text) external _LLVMAddAlias
00007ffc0a73896a (__TEXT,__text) external _LLVMAddAlias2
00007ffc0b9999fe (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffc0b861e4f (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffc0bad5b4d (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffc0b861d78 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffc0a738fa6 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffc0b999f93 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffc0b9999db (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffc0b999a21 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffc0a739cb7 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffc0b861da0 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
00007ffc0a73ae28 (__TEXT,__text) external _LLVMAddCase
00007ffc0b7924db (__TEXT,__text) external _LLVMAddClause
00007ffc0b861dc3 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffc0b508699 (__TEXT,__text) external _LLVMAddCoroCleanupPass
00007ffc0b5085e3 (__TEXT,__text) external _LLVMAddCoroEarlyPass
00007ffc0b50865d (__TEXT,__text) external _LLVMAddCoroElidePass
00007ffc0b50861f (__TEXT,__text) external _LLVMAddCoroSplitPass
00007ffc0b999f07 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffc0b9999b8 (__TEXT,__text) external _LLVMAddDCEPass
00007ffc0b861de6 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffc0b999ac4 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffc0b999ebc (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffc0b7924ce (__TEXT,__text) external _LLVMAddDestination
00007ffc0b0a8302 (__TEXT,__text) external _LLVMAddEarlyCSEMemSSAPass
00007ffc0b0a82c6 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffc0a738a58 (__TEXT,__text) external _LLVMAddFunction
00007ffc0b861e09 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffc0b861e2c (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffc0b999b0a (__TEXT,__text) external _LLVMAddGVNPass
00007ffc0a738491 (__TEXT,__text) external _LLVMAddGlobal
00007ffc0b861e77 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffc0b792073 (__TEXT,__text) external _LLVMAddGlobalIFunc
00007ffc0a738529 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffc0b861e9a (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffc0b7924e8 (__TEXT,__text) external _LLVMAddHandler
00007ffc0b861ee0 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffc0a73a1d4 (__TEXT,__text) external _LLVMAddIncoming
00007ffc0b999b79 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffc0b889a9e (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffc0b999b9c (__TEXT,__text) external _LLVMAddInstructionSimplifyPass
00007ffc0b861f26 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffc0b861faa (__TEXT,__text) external _LLVMAddInternalizePassWithMustPreservePredicate
00007ffc0b999bbf (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffc0b999c0c (__TEXT,__text) external _LLVMAddLICMPass
00007ffc0b999c2f (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffc0b999c75 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffc0b999cc2 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffc0b999c98 (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffc0b999d32 (__TEXT,__text) external _LLVMAddLoopUnrollAndJamPass
00007ffc0b999ce5 (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffc0b999d5a (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffc0bb5e39c (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffc0b999d81 (__TEXT,__text) external _LLVMAddLowerAtomicPass
00007ffc0b999fb6 (__TEXT,__text) external _LLVMAddLowerConstantIntrinsicsPass
00007ffc0b999fd9 (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
