00007ffc131f3e5e (__TEXT,__text) external _AAAFSCGetMetadata
00007ffc131f41db (__TEXT,__text) external _AAAFSCSetMetadata
00007ffc131f3278 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffc131f3966 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffc131f3a6e (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffc1317af5f (__TEXT,__text) external _AAArchiveStreamCancel
00007ffc1317af28 (__TEXT,__text) external _AAArchiveStreamClose
00007ffc1319101c (__TEXT,__text) external _AAArchiveStreamProcess
00007ffc1317aeda (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffc1317aec0 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffc1317af0e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffc1317aef4 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffc1317c527 (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffc131802c3 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffc131801fb (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffc1318013c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffc131801ea (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffc131e8e20 (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffc13180360 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffc131802ce (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffc131809b6 (__TEXT,__text) external _AAAssetExtractorCreate
00007ffc13180fa1 (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffc131819ad (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffc13181938 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffc13181489 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffc131fb962 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffc131fb977 (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffc131fb353 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffc131fb800 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffc131b1ef1 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffc13191f26 (__TEXT,__text) external _AAByteRangeAdd
00007ffc13191e2e (__TEXT,__text) external _AAByteRangeClone
00007ffc13191d92 (__TEXT,__text) external _AAByteRangeCreate
00007ffc13191e08 (__TEXT,__text) external _AAByteRangeDestroy
00007ffc131920f4 (__TEXT,__text) external _AAByteRangeFirst
00007ffc13192201 (__TEXT,__text) external _AAByteRangeNext
00007ffc13192086 (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffc13192014 (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffc13191fa2 (__TEXT,__text) external _AAByteRangeSub
00007ffc131f2374 (__TEXT,__text) external _AAByteStreamCancel
00007ffc131f2389 (__TEXT,__text) external _AAByteStreamClose
00007ffc131f23c0 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffc131f2409 (__TEXT,__text) external _AAByteStreamFlush
00007ffc131f233c (__TEXT,__text) external _AAByteStreamPRead
00007ffc131f243d (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffc131f2304 (__TEXT,__text) external _AAByteStreamPWrite
00007ffc131cb5b1 (__TEXT,__text) external _AAByteStreamProcess
00007ffc131f2320 (__TEXT,__text) external _AAByteStreamRead
00007ffc131f2358 (__TEXT,__text) external _AAByteStreamSeek
00007ffc131f2423 (__TEXT,__text) external _AAByteStreamTruncate
00007ffc131f2259 (__TEXT,__text) external _AAByteStreamWrite
00007ffc131b0374 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffc131afa73 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffc131c8366 (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffc131f6cc6 (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffc131f762a (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffc131b9a00 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffc1317af74 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffc1317afed (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffc1317afe3 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffc1317afda (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffc1317b015 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffc1317b00b (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffc1317b001 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffc1317aff7 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffc131f31d1 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffc131f326b (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffc131f322f (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffc131f3226 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffc131f3243 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffc131f3257 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffc131f3239 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffc131f3261 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffc131f324d (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffc131f1773 (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffc131f2bef (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffc131fa92d (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffc131ef93f (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffc131e7945 (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffc131e86d4 (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffc131e86c3 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffc131e8570 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffc131e8630 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffc131e8677 (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffc131e85d6 (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffc131e8e14 (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffc131e8e0a (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffc131e881e (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffc131e8816 (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffc131e8d42 (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffc131e89cb (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffc131e4941 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffc131e5166 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffc131e5155 (__TEXT,__text) external _AAEntryXATBlobClear
00007ffc131e5002 (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffc131e50c2 (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffc131e5109 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffc131e5068 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffc131e579f (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffc131e5795 (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffc131e52b0 (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffc131e52a8 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffc131e56cd (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffc131e53e4 (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffc131ef690 (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffc131ef54e (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffc131ef5ee (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffc131ef635 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffc131ef5b4 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffc131ef935 (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffc131ef92c (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffc131dbd20 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffc131d9424 (__TEXT,__text) external _AAFieldKeySetClear
00007ffc131d9303 (__TEXT,__text) external _AAFieldKeySetClone
00007ffc131d9432 (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffc131d8f50 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffc131d8fb6 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffc131d92dd (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffc131d9a13 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffc131d9a0b (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffc131d94d6 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffc131d9758 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffc131d9691 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffc131d9914 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffc131d99a7 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffc131d9a22 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffc131f2457 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffc131f27a4 (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffc131fbdbd (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffc131e29d7 (__TEXT,__text) external _AAHeaderAssign
00007ffc131e2fb8 (__TEXT,__text) external _AAHeaderClear
