000000020c0bce38 (__TEXT,__text) external _AAAFSCGetMetadata
000000020c0bd1fc (__TEXT,__text) external _AAAFSCSetMetadata
000000020c0bc24c (__TEXT,__text) external _AAAFSCStreamOpen
000000020c0bc950 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
000000020c0bca8c (__TEXT,__text) external _AAAFSCStreamOpenWithState
000000020c054274 (__TEXT,__text) external _AAArchiveStreamCancel
000000020c054220 (__TEXT,__text) external _AAArchiveStreamClose
000000020c067f60 (__TEXT,__text) external _AAArchiveStreamProcess
000000020c0541d0 (__TEXT,__text) external _AAArchiveStreamReadBlob
000000020c0541b8 (__TEXT,__text) external _AAArchiveStreamReadHeader
000000020c054204 (__TEXT,__text) external _AAArchiveStreamWriteBlob
000000020c0541ec (__TEXT,__text) external _AAArchiveStreamWriteHeader
000000020c055600 (__TEXT,__text) external _AAArchiveStreamWritePathList
000000020c058e5c (__TEXT,__text) external _AAAssetBuilderAddFilter
000000020c058d70 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
000000020c058cbc (__TEXT,__text) external _AAAssetBuilderCreate
000000020c058d64 (__TEXT,__text) external _AAAssetBuilderDestroy
000000020c0b26e4 (__TEXT,__text) external _AAAssetBuilderGenerate
000000020c058f34 (__TEXT,__text) external _AAAssetBuilderGetParameter
000000020c058e64 (__TEXT,__text) external _AAAssetBuilderSetParameter
000000020c059560 (__TEXT,__text) external _AAAssetExtractorCreate
000000020c059aa0 (__TEXT,__text) external _AAAssetExtractorDestroy
000000020c05a488 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
000000020c05a3fc (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
000000020c059f74 (__TEXT,__text) external _AAAssetExtractorWrite
000000020c0c3dd4 (__TEXT,__text) external _AAAsyncByteStreamCancel
000000020c0c3de8 (__TEXT,__text) external _AAAsyncByteStreamClose
000000020c0c37f4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
000000020c0c3c3c (__TEXT,__text) external _AAAsyncByteStreamProcess
000000020c083b50 (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
000000020c068fa4 (__TEXT,__text) external _AAByteRangeAdd
000000020c068ea4 (__TEXT,__text) external _AAByteRangeClone
000000020c068ddc (__TEXT,__text) external _AAByteRangeCreate
000000020c068e60 (__TEXT,__text) external _AAByteRangeDestroy
000000020c0691b0 (__TEXT,__text) external _AAByteRangeFirst
000000020c069308 (__TEXT,__text) external _AAByteRangeNext
000000020c069138 (__TEXT,__text) external _AAByteRangeOffsetAtSize
000000020c0690b4 (__TEXT,__text) external _AAByteRangeSizeAtOffset
000000020c069030 (__TEXT,__text) external _AAByteRangeSub
000000020c0bb0b0 (__TEXT,__text) external _AAByteStreamCancel
000000020c0bb0c4 (__TEXT,__text) external _AAByteStreamClose
000000020c0bb118 (__TEXT,__text) external _AAByteStreamCloseWithState
000000020c0bb180 (__TEXT,__text) external _AAByteStreamFlush
000000020c0bb080 (__TEXT,__text) external _AAByteStreamPRead
000000020c0bb1b0 (__TEXT,__text) external _AAByteStreamPReadAsync
000000020c0bb050 (__TEXT,__text) external _AAByteStreamPWrite
000000020c0974d4 (__TEXT,__text) external _AAByteStreamProcess
000000020c0bb068 (__TEXT,__text) external _AAByteStreamRead
000000020c0bb098 (__TEXT,__text) external _AAByteStreamSeek
000000020c0bb198 (__TEXT,__text) external _AAByteStreamTruncate
000000020c0baf68 (__TEXT,__text) external _AAByteStreamWrite
000000020c082158 (__TEXT,__text) external _AAChunkAsyncStreamOpen
000000020c081830 (__TEXT,__text) external _AAChunkInputStreamOpen
000000020c094718 (__TEXT,__text) external _AAChunkOutputStreamOpen
000000020c0bfaf8 (__TEXT,__text) external _AACompressionOutputStreamOpen
000000020c0c04e0 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
000000020c08ae00 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
000000020c054288 (__TEXT,__text) external _AACustomArchiveStreamOpen
000000020c05430c (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
000000020c054304 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
000000020c0542fc (__TEXT,__text) external _AACustomArchiveStreamSetData
000000020c05432c (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
000000020c054324 (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
000000020c05431c (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
000000020c054314 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
000000020c0bc1ac (__TEXT,__text) external _AACustomByteStreamOpen
000000020c0bc244 (__TEXT,__text) external _AACustomByteStreamSetCancelProc
