00007ff80d2cc841 (__TEXT,__const) non-external _KW_ANY
00007ff80d2cc7c6 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80d2cc7f4 (__TEXT,__const) non-external _KW_CDATA
00007ff80d2cc7a9 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80d2cc7ce (__TEXT,__const) non-external _KW_ELEMENT
00007ff80d2cc83b (__TEXT,__const) non-external _KW_EMPTY
00007ff80d2cc80a (__TEXT,__const) non-external _KW_ENTITIES
00007ff80d2cc7bf (__TEXT,__const) non-external _KW_ENTITY
00007ff80d2cc835 (__TEXT,__const) non-external _KW_FIXED
00007ff80d2cc7fa (__TEXT,__const) non-external _KW_ID
00007ff80d2cc7fd (__TEXT,__const) non-external _KW_IDREF
00007ff80d2cc803 (__TEXT,__const) non-external _KW_IDREFS
00007ff80d2cc7e7 (__TEXT,__const) non-external _KW_IGNORE
00007ff80d2cc824 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80d2cc7df (__TEXT,__const) non-external _KW_INCLUDE
00007ff80d2ccf50 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80d2cc7ee (__TEXT,__const) non-external _KW_NDATA
00007ff80d2cc813 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80d2cc81b (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80d2cc7d6 (__TEXT,__const) non-external _KW_NOTATION
00007ff80d2cc845 (__TEXT,__const) non-external _KW_PCDATA
00007ff80d2cc7b8 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80d2cc82c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80d2cc7b1 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80d2ccf5b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80d2ccf6a (__TEXT,__const) non-external _KW_UTF_16
00007ff80d2ccf71 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80d2ccf7a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80d2ccf64 (__TEXT,__const) non-external _KW_UTF_8
00007ff80d2ccf91 (__TEXT,__const) non-external _KW_encoding
00007ff80d2ccfa9 (__TEXT,__const) non-external _KW_no
00007ff80d2ccf9a (__TEXT,__const) non-external _KW_standalone
00007ff80d2ccf89 (__TEXT,__const) non-external _KW_version
00007ff80d2ccfa5 (__TEXT,__const) non-external _KW_yes
00007ff80d2b64d1 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80d2b65eb (__TEXT,__text) external _XML_ErrorString
00007ff80d2b6609 (__TEXT,__text) external _XML_ExpatVersion
00007ff80d2b6616 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80d2b4a46 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80d2b6477 (__TEXT,__text) external _XML_FreeContentModel
00007ff80d2b592f (__TEXT,__text) external _XML_GetBase
00007ff80d2b5e2e (__TEXT,__text) external _XML_GetBuffer
00007ff80d2b6366 (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80d2b633d (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80d2b6421 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80d2b63c8 (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80d2b6326 (__TEXT,__text) external _XML_GetErrorCode
00007ff80d2b662b (__TEXT,__text) external _XML_GetFeatureList
00007ff8408da730 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80d2b595b (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80d2b638f (__TEXT,__text) external _XML_GetInputContext
00007ff80d2b6307 (__TEXT,__text) external _XML_GetParsingStatus
00007ff80d2cc617 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80d2b5944 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80d2b64bc (__TEXT,__text) external _XML_MemFree
00007ff80d2b648c (__TEXT,__text) external _XML_MemMalloc
00007ff80d2b64a3 (__TEXT,__text) external _XML_MemRealloc
00007ff80d2b5bf6 (__TEXT,__text) external _XML_Parse
00007ff80d2b6067 (__TEXT,__text) external _XML_ParseBuffer
00007ff80d2b4090 (__TEXT,__text) external _XML_ParserCreate
00007ff80d2b40ac (__TEXT,__text) external _XML_ParserCreateNS
00007ff80d2b40a0 (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80d2b543f (__TEXT,__text) external _XML_ParserFree
00007ff80d2b43b6 (__TEXT,__text) external _XML_ParserReset
00007ff80d2b6233 (__TEXT,__text) external _XML_ResumeParser
00007ff80d2b5b64 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80d2b5888 (__TEXT,__text) external _XML_SetBase
00007ff80d2b6672 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80d2b6638 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80d2b59d6 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80d2b59a3 (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80d2b59c4 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80d2b5a13 (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80d2b5a2c (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80d2b5a45 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80d2b5b52 (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80d2b5972 (__TEXT,__text) external _XML_SetElementHandler
00007ff80d2b4995 (__TEXT,__text) external _XML_SetEncoding
00007ff80d2b5a01 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80d2b5a70 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80d2b5994 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80d2b5ad1 (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80d2b5b76 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80d2b5af5 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80d2b5b07 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80d2b5bc0 (__TEXT,__text) external _XML_SetHashSalt
00007ff80d2b5aa6 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80d2b5ae3 (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80d2b5a94 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80d2b5b9a (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80d2b59b2 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80d2b584b (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80d2b5b27 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80d2b59ef (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80d2b5a5e (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80d2b5985 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80d2b5abf (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80d2b5b39 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80d2b5a82 (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80d2b586d (__TEXT,__text) external _XML_SetUserData
00007ff80d2b5b88 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80d2b61c4 (__TEXT,__text) external _XML_StopParser
00007ff80d2b581d (__TEXT,__text) external _XML_UseForeignDTD
00007ff80d2b580e (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80d2c01ef (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80d2c0737 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80d2c01e2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80d2c072a (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80d2c01fc (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80d2c0744 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80d2bfc76 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80d2c0935 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
