0000000213fa9a94 (__TEXT,__text) non-external +[NSDateFormatter(StocksUI) su_localizedYearFormat]
0000000213fabad8 (__TEXT,__text) non-external +[SUAdParameters setStocksAdEnabled:]
0000000213fa998c (__TEXT,__text) non-external +[SULaunchPad launchSettings]
0000000213fa9a10 (__TEXT,__text) non-external +[SULaunchPad openStocksSettings]
0000000213fa98bc (__TEXT,__text) non-external +[UIVisualEffect(StocksUI) su_visualEffectsForBarWithBackgroundColor:]
0000000213fab8c4 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_containsExcessiveLineHeightCharacter]
0000000213fab924 (__TEXT,__text) non-external -[NSAttributedString(StocksUICoreText) su_languageAwareOutsetsAtScale:]
0000000213fa9da0 (__TEXT,__text) non-external -[SUStockLinkPresentationSource .cxx_destruct]
0000000213fa9bf8 (__TEXT,__text) non-external -[SUStockLinkPresentationSource activityViewControllerLinkPresentationMetadata:]
0000000213fa9aa4 (__TEXT,__text) non-external -[SUStockLinkPresentationSource initWithStockSymbol:name:url:]
0000000213fa9d98 (__TEXT,__text) non-external -[SUStockLinkPresentationSource linkPresentationImage]
0000000213fa9d88 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockName]
0000000213fa9d80 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockSymbol]
0000000213fa9d90 (__TEXT,__text) non-external -[SUStockLinkPresentationSource stockURL]
0000000213fa9984 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_finishedTest:]
0000000213fa9988 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_launchTestName]
0000000213fa9980 (__TEXT,__text) non-external -[UIApplication(StocksUI) su_performBlockAfterCATransactionCommits:]
0000000213fab820 (__TEXT,__text) non-external -[UIFont(StocksUICoreText) su_languageAwareOutsetsAtScale:]
0000000213fa97d4 (__TEXT,__text) non-external -[UIScrollView(StocksUI) su_performScrollTestWithLength:completion:]
0000000213fa97b4 (__TEXT,__text) non-external -[UIViewController(StocksUI) su_isAppeared]
0000000214497e70 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
0000000214497eac (__TEXT,__gcc_except_tab) non-external GCC_except_table14
0000000214497ecc (__TEXT,__gcc_except_tab) non-external GCC_except_table21
0000000214497ee0 (__TEXT,__gcc_except_tab) non-external GCC_except_table4
0000000214497e98 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
                 (undefined) external _CACurrentMediaTime (from QuartzCore)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGPathCreateMutable (from CoreGraphics)
                 (undefined) external _CGRectEqualToRect (from CoreGraphics)
                 (undefined) external _CGRectGetHeight (from CoreGraphics)
                 (undefined) external _CGRectGetMaxX (from CoreGraphics)
                 (undefined) external _CGRectGetMaxY (from CoreGraphics)
                 (undefined) external _CGRectGetMidX (from CoreGraphics)
                 (undefined) external _CGRectGetMidY (from CoreGraphics)
                 (undefined) external _CGRectGetMinX (from CoreGraphics)
                 (undefined) external _CGRectGetMinY (from CoreGraphics)
                 (undefined) external _CGRectGetWidth (from CoreGraphics)
                 (undefined) external _CGRectInset (from CoreGraphics)
                 (undefined) external _CGRectIntegral (from CoreGraphics)
                 (undefined) external _CGRectIsEmpty (from CoreGraphics)
                 (undefined) external _CGRectOffset (from CoreGraphics)
                 (undefined) external _CGRectUnion (from CoreGraphics)
                 (undefined) external _CPDateFormatStringForFormatType (from AppSupport)
                 (undefined) external _CPDatePickerYearFormat (from AppSupport)
                 (undefined) external _CTFontCopySystemUIFontExcessiveLineHeightCharacterSet (from CoreText)
                 (undefined) external _CTFontGetLanguageAwareOutsets (from CoreText)
                 (undefined) external _FCEntitlementPaidBundleViaOfferId (from NewsCore)
                 (undefined) external _FCLengthOfCloudKitID (from NewsCore)
                 (undefined) external _FCOperationPurposeStockSymbolFeed (from NewsCore)
                 (undefined) external _FCOperationPurposeTodayFeed (from NewsCore)
                 (undefined) external _FCStoreFrontID_AU (from NewsCore)
                 (undefined) external _FCStoreFrontID_CA (from NewsCore)
                 (undefined) external _FCStoreFrontID_UK (from NewsCore)
                 (undefined) external _FCStoreFrontID_US (from NewsCore)
                 (undefined) external _NSBaselineOffsetAttributeName (from AppKit)
                 (undefined) external _NSDirectionalEdgeInsetsZero (from AppKit)
                 (undefined) external _NSFontAttributeName (from AppKit)
                 (undefined) external _NSForegroundColorAttributeName (from AppKit)
                 (undefined) external _NSKernAttributeName (from AppKit)
                 (undefined) external _NSLinkAttributeName (from AppKit)
                 (undefined) external _NSLocaleCountryCode (from CoreFoundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleLanguageCode (from CoreFoundation)
                 (undefined) external _NSParagraphStyleAttributeName (from AppKit)
                 (undefined) external _NSTrackingAttributeName (from AppKit)
                 (undefined) external _NSUnderlineStyleAttributeName (from AppKit)
                 (undefined) external _NSUserActivityTypeBrowsingWeb (from Foundation)
                 (undefined) external _NewsCoreUserDefaults (from NewsCore)
