00007ffa17b1da80 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17b1da90 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa1824b860 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa1824b940 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa1824b770 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa1824bb00 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa1824be50 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa1824c290 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa1824c080 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa1824c070 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa437e0dc8 (__DATA,__common) external _EnableARMEHABI
00007ffa437e0b08 (__DATA,__common) external _EnableARMLongCalls
00007ffa437e0890 (__DATA,__common) external _ForceStackAlign
00007ffa18046c60 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa18046c10 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa17e8cb80 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1807c100 (__TEXT,__text) external _LLVMAddAlias
00007ffa1782a420 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa1804a420 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa1782a330 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1807c7b0 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1784b4e0 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa17e8d170 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa17e8cbb0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1807dc90 (__TEXT,__text) external _LLVMAddCase
00007ffa1807dcb0 (__TEXT,__text) external _LLVMAddClause
00007ffa1782a360 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa17e8d050 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa17e8d0e0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa1782a390 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa17e8cbe0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
