00007ff808f90120 (__TEXT,__const) non-external _A1_Table
00007ff8087a8de0 (__TEXT,__text) non-external _ARGB16UtoPlanar16U
00007ff8087a8ce0 (__TEXT,__text) non-external _ARGB8888toPlanar16Q12
00007ff80847fb60 (__TEXT,__text) non-external _ARGB8888toPlanar8
00007ff8084881a0 (__TEXT,__text) non-external _ARGBFFFFtoPlanarF
00007ff808692db0 (__TEXT,__text) non-external (was a private external) _AccelerateGPULibraryCore
00007ff841d68e40 (__DATA,__bss) non-external _AccelerateGPULibraryCore.frameworkLibrary
00007ff840726cc0 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult
00007ff8085e3de0 (__TEXT,__text) non-external (was a private external) _AccumulateResult_PlanarF
00007ff840726d40 (__DATA_CONST,__const) non-external (was a private external) _AccumulateResult_perm
00007ff8087aa610 (__TEXT,__text) non-external _AddAlphaPass_Print16
00007ff8087aa5b0 (__TEXT,__text) non-external _AddAlphaPass_Print8
00007ff8087aa670 (__TEXT,__text) non-external _AddAlphaPass_PrintF
00007ff808793ef0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaFirst
00007ff808793ed0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky16UAlphaLast
00007ff808793eb0 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaFirst
00007ff808793e90 (__TEXT,__text) non-external (was a private external) _AddAlpha_Chunky8AlphaLast
00007ff808793f40 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaFirst
00007ff808793f10 (__TEXT,__text) non-external (was a private external) _AddAlpha_ChunkyFAlphaLast
00007ff80846e710 (__TEXT,__text) non-external (was a private external) _AddPassesToList
00007ff808f901c0 (__TEXT,__const) non-external _Ainv
00007ff80879b7e0 (__TEXT,__text) non-external _Alpha8ConvertPass_Print
00007ff808f930b4 (__TEXT,__const) non-external _AlphaChannelIsFirst.AlphaChannelIsFirstTable
00007ff808f930ac (__TEXT,__const) non-external _AlphaChannelIsLast.AlphaChannelIsLastTable
00007ff84072a590 (__DATA_CONST,__const) non-external _AlphaName.AlphaNameTable
00007ff8084710e0 (__TEXT,__text) non-external _AnyToAnyBlock
00007ff8084711b0 (__TEXT,__text) non-external _AnyToAnyBlockInternal
00007ff808f90170 (__TEXT,__const) non-external _B
00007ff8084eb8a0 (__TEXT,__text) non-external _BoxConvolve16F_GCDWork
00007ff8085953e0 (__TEXT,__text) non-external _BoxConvolve8888_GCDWork
00007ff8085945e0 (__TEXT,__text) non-external _BoxConvolve8_GCDWork
00007ff8085950a0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_ARGB8888
00007ff841d68b60 (__DATA,__bss) non-external _BoxConvolve_ARGB8888.vBoxARGB8888_Int32Acc
00007ff8085941f0 (__TEXT,__text) non-external (was a private external) _BoxConvolve_Planar8
00007ff841d68b58 (__DATA,__bss) non-external _BoxConvolve_Planar8.vBoxPlanar8_Int32Acc
00007ff80846e740 (__TEXT,__text) non-external _BringOddballFormatsToMainstream
00007ff84385e2f8 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_CopyToCVPixelBuffer
00007ff84385e218 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_GetSize
00007ff84385e210 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_Init
00007ff84385e300 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyFromCVPixelBuffer
00007ff84385e308 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitForCopyToCVPixelBuffer
00007ff84385e230 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCGImage
00007ff84385e2f0 (__DATA_DIRTY,__data) non-external (was a private external) _Buffer_InitWithCVPixelBuffer
00007ff84072a5d0 (__DATA_CONST,__const) non-external _ByteOrderName.ByteOrderNameTable
00007ff80846d710 (__TEXT,__text) non-external _CGBitmapInfoIsValid
00007ff84385e220 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_GetComponentCount
00007ff84385e228 (__DATA_DIRTY,__data) non-external (was a private external) _CGImageFormat_IsEqual
00007ff841d69180 (__DATA,__bss) non-external _CGInterfacesLibraryCore.frameworkLibrary
00007ff8086f3ce0 (__TEXT,__text) non-external (was a private external) _CVConvertPass_Print
00007ff84385e250 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Copy
00007ff84385e2c8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyChannelDescription
00007ff84385e2a8 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CopyConversionMatrix
00007ff84385e248 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_Create
00007ff84385e240 (__DATA_DIRTY,__data) non-external (was a private external) _CVImageFormat_CreateWithCVPixelBuffer
