00007ff8400b8d80 (__DATA,__data) external _NDR_record
00007ff800bd29d5 (__TEXT,__text) non-external __Xexception_raise
00007ff800bd2a7d (__TEXT,__text) non-external __Xexception_raise_state
00007ff800bd2b6f (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800bbf810 (__TEXT,__text) external _____sigwait_nocancel
00007ff800be8e98 (__TEXT,__const) external ____kernelVersionNumber
00007ff800be8e60 (__TEXT,__const) external ____kernelVersionString
00007ff800bbf828 (__TEXT,__text) external ___abort_with_payload
00007ff800bbf840 (__TEXT,__text) external ___accept
00007ff800bbf858 (__TEXT,__text) external ___accept_nocancel
00007ff800bbf870 (__TEXT,__text) external ___access_extended
00007ff800bbf888 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800bbf8a0 (__TEXT,__text) external ___bind
00007ff800bbf8b8 (__TEXT,__text) external ___bsdthread_create
00007ff800bbf8d0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800bbf8e8 (__TEXT,__text) external ___bsdthread_register
00007ff800bbf900 (__TEXT,__text) external ___bsdthread_terminate
00007ff800bd1d35 (__TEXT,__text) external ___carbon_delete
00007ff800bbf918 (__TEXT,__text) external ___channel_get_info
00007ff800bbf930 (__TEXT,__text) external ___channel_get_opt
00007ff800bbf948 (__TEXT,__text) external ___channel_open
00007ff800bbf960 (__TEXT,__text) external ___channel_set_opt
00007ff800bbf978 (__TEXT,__text) external ___channel_sync
00007ff800bbf990 (__TEXT,__text) external ___chmod
00007ff800bbf9a8 (__TEXT,__text) external ___chmod_extended
00007ff800bbf9c0 (__TEXT,__text) external ___close_nocancel
00007ff800bbf9d8 (__TEXT,__text) external ___coalition
00007ff800bbf9f0 (__TEXT,__text) external ___coalition_info
00007ff800bbfa08 (__TEXT,__text) external ___coalition_ledger
00007ff800bc5488 (__TEXT,__text) external ___commpage_gettimeofday
00007ff800bc548f (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800bbfa20 (__TEXT,__text) external ___connect
00007ff800bbfa38 (__TEXT,__text) external ___connect_nocancel
00007ff800bbfa50 (__TEXT,__text) external ___copyfile
00007ff800bbfa68 (__TEXT,__text) external ___crossarch_trap
00007ff800bbfa80 (__TEXT,__text) external ___csrctl
00007ff800bca300 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800bbfa98 (__TEXT,__text) external ___debug_syscall_reject
00007ff800bbfab0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800bbfac8 (__TEXT,__text) external ___delete
00007ff800bbfae0 (__TEXT,__text) external ___disable_threadsignal
00007ff800bc5ba6 (__TEXT,__text) external ___error
00007ff800bbfaf8 (__TEXT,__text) external ___execve
00007ff800bbfb10 (__TEXT,__text) external ___exit
00007ff800bbfb28 (__TEXT,__text) external ___fchmod
00007ff800bbfb40 (__TEXT,__text) external ___fchmod_extended
00007ff800bbfb58 (__TEXT,__text) external ___fcntl
00007ff800bbfb70 (__TEXT,__text) external ___fcntl_nocancel
00007ff800bbfb88 (__TEXT,__text) external ___fork
00007ff800bbfbc0 (__TEXT,__text) external ___fs_snapshot
00007ff800bbfbd8 (__TEXT,__text) external ___fstat64_extended
00007ff800bbfbf0 (__TEXT,__text) external ___fstat_extended
00007ff800bbfc08 (__TEXT,__text) external ___fsync_nocancel
00007ff800bcf94e (__TEXT,__text) external ___get_remove_counter
00007ff800bbfc20 (__TEXT,__text) external ___getattrlist
00007ff800bbfc38 (__TEXT,__text) external ___getdirentries64
00007ff800bbfc50 (__TEXT,__text) external ___gethostuuid
00007ff800bbfc68 (__TEXT,__text) external ___getlogin
00007ff800bbfc80 (__TEXT,__text) external ___getpeername
00007ff800bbfc98 (__TEXT,__text) external ___getpid
00007ff800bbfccc (__TEXT,__text) external ___getrlimit
00007ff800bbfce4 (__TEXT,__text) external ___getsgroups
00007ff800bbfcfc (__TEXT,__text) external ___getsockname
00007ff800bbfd14 (__TEXT,__text) external ___gettid
00007ff800bbfd41 (__TEXT,__text) external ___gettimeofday
00007ff800bbfd2c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800bbfd6c (__TEXT,__text) external ___getwgroups
00007ff800bbfd84 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800bbfd9c (__TEXT,__text) external ___guarded_open_np
00007ff800bbfdb4 (__TEXT,__text) external ___identitysvc
00007ff800bcf959 (__TEXT,__text) external ___inc_remove_counter
00007ff800bbfdcc (__TEXT,__text) external ___initgroups
00007ff800bbfde4 (__TEXT,__text) external ___ioctl
00007ff800bbfdfc (__TEXT,__text) external ___iopolicysys
00007ff800bbfe14 (__TEXT,__text) external ___kdebug_trace
00007ff800bbfe2c (__TEXT,__text) external ___kdebug_trace64
