                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191ed8e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191ed55dc (__TEXT,__text) external _FSp_profile_init
0000000191ed55e4 (__TEXT,__text) external _FSp_profile_init_path
0000000191ed8e6c (__TEXT,__text) external _FSp_put_svc_key
0000000191ed8e74 (__TEXT,__text) external _FSp_read_service_key
00000001e7cab478 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001e7cab490 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001e7cab450 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001e7cab438 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001e7cab408 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001e7cab420 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001e7cab3f0 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001e7cab518 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001e7cab4e8 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001e7cab4b0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001e7cab4f8 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001e7cab4d8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000191ed8fa8 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000191ed8fa0 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
0000000191ed8f04 (__TEXT,__text) external _KClientAddCredentialsDeprecated
0000000191ed8e9c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000191ed8ebc (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000191ed9110 (__TEXT,__text) external _KClientAddServiceKey
0000000191ed8e7c (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000191ed9158 (__TEXT,__text) external _KClientDecrypt
0000000191ed9008 (__TEXT,__text) external _KClientDecryptCompat
0000000191ed8f0c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000191ed8ea4 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000191ed8ec4 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000191ed8ef4 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000191ed9190 (__TEXT,__text) external _KClientDisposePrincipal
0000000191ed9088 (__TEXT,__text) external _KClientDisposeSession
0000000191ed8fc0 (__TEXT,__text) external _KClientDisposeSessionCompat
0000000191ed9150 (__TEXT,__text) external _KClientEncrypt
0000000191ed9000 (__TEXT,__text) external _KClientEncryptCompat
0000000191ed9120 (__TEXT,__text) external _KClientGetAuthenticatorForService
0000000191ed9170 (__TEXT,__text) external _KClientGetCCacheReference
0000000191ed9090 (__TEXT,__text) external _KClientGetClientPrincipal
0000000191ed8efc (__TEXT,__text) external _KClientGetCredentialsDeprecated
0000000191ed9140 (__TEXT,__text) external _KClientGetEncryptedServiceReply
0000000191ed8f2c (__TEXT,__text) external _KClientGetErrorTextDeprecated
0000000191ed90d8 (__TEXT,__text) external _KClientGetExpirationTime
0000000191ed90b0 (__TEXT,__text) external _KClientGetLocalAddress
0000000191ed8e84 (__TEXT,__text) external _KClientGetLocalRealmDeprecated
0000000191ed8f1c (__TEXT,__text) external _KClientGetNthCredentialDeprecated
0000000191ed8eac (__TEXT,__text) external _KClientGetNthRealmMapDeprecated
0000000191ed8eb4 (__TEXT,__text) external _KClientGetNthServerDeprecated
0000000191ed8ecc (__TEXT,__text) external _KClientGetNthServerMapDeprecated
0000000191ed8ed4 (__TEXT,__text) external _KClientGetNthServerPortDeprecated
0000000191ed8eec (__TEXT,__text) external _KClientGetNthSessionDeprecated
0000000191ed8f14 (__TEXT,__text) external _KClientGetNumCredentialsDeprecated
0000000191ed8ee4 (__TEXT,__text) external _KClientGetNumSessionsDeprecated
0000000191ed9148 (__TEXT,__text) external _KClientGetProtectedServiceReply
0000000191ed8e94 (__TEXT,__text) external _KClientGetRealmDeprecated
0000000191ed90c0 (__TEXT,__text) external _KClientGetRemoteAddress
0000000191ed90a0 (__TEXT,__text) external _KClientGetServerPrincipal
0000000191ed9108 (__TEXT,__text) external _KClientGetServiceKey
0000000191ed90d0 (__TEXT,__text) external _KClientGetSessionKey
0000000191ed8ff8 (__TEXT,__text) external _KClientGetSessionKeyCompat
0000000191ed9050 (__TEXT,__text) external _KClientGetSessionUserNameCompat
0000000191ed9118 (__TEXT,__text) external _KClientGetTicketForService
0000000191ed8fc8 (__TEXT,__text) external _KClientGetTicketForServiceCompat
0000000191ed8fd0 (__TEXT,__text) external _KClientGetTicketForServiceWithChecksumCompat
0000000191ed8f24 (__TEXT,__text) external _KClientGetUserNameDeprecated
0000000191ed9070 (__TEXT,__text) external _KClientGetVersion
0000000191ed90f8 (__TEXT,__text) external _KClientKeyFileLogin
0000000191ed90e8 (__TEXT,__text) external _KClientLogin
0000000191ed8fd8 (__TEXT,__text) external _KClientLoginCompat
0000000191ed9100 (__TEXT,__text) external _KClientLogout
0000000191ed8fe8 (__TEXT,__text) external _KClientLogoutCompat
0000000191ed9058 (__TEXT,__text) external _KClientMakeSendAuthCompat
0000000191ed9078 (__TEXT,__text) external _KClientNewClientSession
0000000191ed9080 (__TEXT,__text) external _KClientNewServerSession
0000000191ed8fb8 (__TEXT,__text) external _KClientNewSessionCompat
0000000191ed90f0 (__TEXT,__text) external _KClientPasswordLogin
0000000191ed8fe0 (__TEXT,__text) external _KClientPasswordLoginCompat
0000000191ed9180 (__TEXT,__text) external _KClientPrincipalToV4String
0000000191ed9188 (__TEXT,__text) external _KClientPrincipalToV4Triplet
0000000191ed9160 (__TEXT,__text) external _KClientProtectIntegrity
0000000191ed9010 (__TEXT,__text) external _KClientProtectIntegrityCompat
0000000191ed9098 (__TEXT,__text) external _KClientSetClientPrincipal
0000000191ed90e0 (__TEXT,__text) external _KClientSetKeyFile
0000000191ed90b8 (__TEXT,__text) external _KClientSetLocalAddress
0000000191ed8e8c (__TEXT,__text) external _KClientSetLocalRealmDeprecated
0000000191ed8edc (__TEXT,__text) external _KClientSetNthServerPortDeprecated
0000000191ed90c8 (__TEXT,__text) external _KClientSetRemoteAddress
0000000191ed90a8 (__TEXT,__text) external _KClientSetServerPrincipal
0000000191ed8ff0 (__TEXT,__text) external _KClientStatusCompat
0000000191ed9178 (__TEXT,__text) external _KClientV4StringToPrincipal
0000000191ed9138 (__TEXT,__text) external _KClientVerifyAuthenticator
0000000191ed9128 (__TEXT,__text) external _KClientVerifyEncryptedServiceReply
0000000191ed9168 (__TEXT,__text) external _KClientVerifyIntegrity
0000000191ed9018 (__TEXT,__text) external _KClientVerifyIntegrityCompat
0000000191ed9130 (__TEXT,__text) external _KClientVerifyProtectedServiceReply
0000000191ed9060 (__TEXT,__text) external _KClientVerifyReplyTicketCompat
0000000191ed9068 (__TEXT,__text) external _KClientVerifyUnencryptedReplyTicketCompat
0000000191ed8fb0 (__TEXT,__text) external _KClientVersionCompat
0000000191ed2efc (__TEXT,__text) external _KLAcquireInitialTickets
0000000191ed3120 (__TEXT,__text) external _KLAcquireInitialTicketsWithPassword
0000000191ed38bc (__TEXT,__text) external _KLAcquireNewInitialTicketCredentialsWithPassword
0000000191ed3038 (__TEXT,__text) external _KLAcquireNewInitialTickets
0000000191ed38dc (__TEXT,__text) external _KLAcquireNewInitialTicketsWithKeytab
0000000191ed323c (__TEXT,__text) external _KLAcquireNewInitialTicketsWithPassword
0000000191ed2fb0 (__TEXT,__text) external _KLAcquireNewTickets
0000000191ed31c8 (__TEXT,__text) external _KLAcquireNewTicketsWithPassword
0000000191ed2e8c (__TEXT,__text) external _KLAcquireTickets
0000000191ed30ac (__TEXT,__text) external _KLAcquireTicketsWithPassword
0000000191ed33c0 (__TEXT,__text) external _KLCacheHasValidTickets
0000000191ed40c8 (__TEXT,__text) external _KLCancelAllDialogs
0000000191ed38b4 (__TEXT,__text) external _KLChangePassword
0000000191ed40d0 (__TEXT,__text) external _KLChangePasswordWithPasswords
0000000191ed4650 (__TEXT,__text) external _KLComparePrincipal
0000000191ed41f0 (__TEXT,__text) external _KLCountKerberosRealms
0000000191ed471c (__TEXT,__text) external _KLCreateLoginOptions
0000000191ed433c (__TEXT,__text) external _KLCreatePrincipalFromKerberos5Principal
0000000191ed4388 (__TEXT,__text) external _KLCreatePrincipalFromPrincipal
0000000191ed426c (__TEXT,__text) external _KLCreatePrincipalFromString
0000000191ed4218 (__TEXT,__text) external _KLCreatePrincipalFromTriplet
0000000191ed3864 (__TEXT,__text) external _KLDestroyTickets
0000000191ed49d0 (__TEXT,__text) external _KLDisposeLoginOptions
0000000191ed46c8 (__TEXT,__text) external _KLDisposePrincipal
0000000191ed4a34 (__TEXT,__text) external _KLDisposeString
0000000191ed40f8 (__TEXT,__text) external _KLFindKerberosRealmByName
0000000191ed33b8 (__TEXT,__text) external _KLGetApplicationOptions
0000000191ed40e8 (__TEXT,__text) external _KLGetDefaultLoginOption
0000000191ed4580 (__TEXT,__text) external _KLGetDisplayStringFromPrincipal
0000000191ed402c (__TEXT,__text) external _KLGetErrorString
0000000191ed40e0 (__TEXT,__text) external _KLGetIdleCallback
0000000191ed41f8 (__TEXT,__text) external _KLGetKerberosDefaultRealm
0000000191ed4170 (__TEXT,__text) external _KLGetKerberosDefaultRealmByName
0000000191ed41c8 (__TEXT,__text) external _KLGetKerberosRealm
0000000191ed44b0 (__TEXT,__text) external _KLGetStringFromPrincipal
0000000191ed43d4 (__TEXT,__text) external _KLGetTripletFromPrincipal
0000000191ed4024 (__TEXT,__text) external _KLHandleError
0000000191ed41e0 (__TEXT,__text) external _KLInsertKerberosRealm
0000000191ed3b60 (__TEXT,__text) external _KLLastChangedTime
0000000191ed4900 (__TEXT,__text) external _KLLoginOptionsSetAddressless
0000000191ed4804 (__TEXT,__text) external _KLLoginOptionsSetForwardable
0000000191ed4858 (__TEXT,__text) external _KLLoginOptionsSetProxiable
0000000191ed48ac (__TEXT,__text) external _KLLoginOptionsSetRenewableLifetime
0000000191ed4970 (__TEXT,__text) external _KLLoginOptionsSetServiceName
0000000191ed47b0 (__TEXT,__text) external _KLLoginOptionsSetTicketLifetime
0000000191ed4938 (__TEXT,__text) external _KLLoginOptionsSetTicketStartTime
0000000191ed41e8 (__TEXT,__text) external _KLRemoveAllKerberosRealms
0000000191ed41d8 (__TEXT,__text) external _KLRemoveKerberosRealm
0000000191ed38e4 (__TEXT,__text) external _KLRenewInitialTickets
0000000191ed33b0 (__TEXT,__text) external _KLSetApplicationOptions
0000000191ed40f0 (__TEXT,__text) external _KLSetDefaultLoginOption
0000000191ed40d8 (__TEXT,__text) external _KLSetIdleCallback
0000000191ed4208 (__TEXT,__text) external _KLSetKerberosDefaultRealm
0000000191ed4210 (__TEXT,__text) external _KLSetKerberosDefaultRealmByName
0000000191ed41d0 (__TEXT,__text) external _KLSetKerberosRealm
0000000191ed3f70 (__TEXT,__text) external _KLSetSystemDefaultCache
0000000191ed38c4 (__TEXT,__text) external _KLStoreNewInitialTicketCredentials
0000000191ed3e88 (__TEXT,__text) external _KLTicketExpirationTime
0000000191ed3da0 (__TEXT,__text) external _KLTicketStartTime
0000000191ed3b58 (__TEXT,__text) external _KLValidateInitialTickets
0000000191ed38d4 (__TEXT,__text) external _KLVerifyInitialTicketCredentials
0000000191ed38cc (__TEXT,__text) external _KLVerifyInitialTickets
0000000191ed8b50 (__TEXT,__text) external _KPCreatePreferencesFile
0000000191ed8b3c (__TEXT,__text) external _KPFreeListOfPreferencesFiles
0000000191ed8b34 (__TEXT,__text) external _KPGetListOfPreferencesFiles
0000000191ed8b2c (__TEXT,__text) external _KPInitializeWithDefaultKerberosLibraryPreferences
0000000191ed8b40 (__TEXT,__text) external _KPPreferencesFileIsReadable
0000000191ed8b48 (__TEXT,__text) external _KPPreferencesFileIsWritable
0000000191ed9038 (__TEXT,__text) external _KServerAddKeyCompat
0000000191ed9040 (__TEXT,__text) external _KServerGetKeyCompat
0000000191ed9030 (__TEXT,__text) external _KServerGetReplyTicketCompat
0000000191ed9048 (__TEXT,__text) external _KServerGetSessionTimeRemainingCompat
0000000191ed9020 (__TEXT,__text) external _KServerNewSessionCompat
0000000191ed9028 (__TEXT,__text) external _KServerVerifyTicketCompat
0000000191ed771c (__TEXT,__text) non-external _MYstrdup
                 (undefined) external __DefaultRuneLocale (from libSystem)
