00007ffb434db968 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffb434db8c0 (__DATA,__data) non-external _TIMEOUT
00007ffb434db8d0 (__DATA,__data) non-external _TIMEOUT
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb0555adc0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb0555ade0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___memmove_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strlcpy_chk (from libSystem)
00007ffb05557cd6 (__TEXT,__text) non-external __buf
00007ffb05564a39 (__TEXT,__text) non-external __buf.cold.1
00007ffb05564ae0 (__TEXT,__text) non-external __buf.cold.2
00007ffb05555bf4 (__TEXT,__text) external __newrpclib___rpc_createerr
00007ffb05564844 (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.1
00007ffb055648eb (__TEXT,__text) non-external __newrpclib___rpc_createerr.cold.2
00007ffb0555b682 (__TEXT,__text) external __newrpclib__authenticate
00007ffb05565544 (__TEXT,__text) non-external __newrpclib__authenticate.cold.1
00007ffb055655f2 (__TEXT,__text) non-external __newrpclib__authenticate.cold.2
00007ffb055656a0 (__TEXT,__text) non-external __newrpclib__authenticate.cold.3
00007ffb434dba90 (__DATA,__common) external __newrpclib__null_auth
00007ffb05556495 (__TEXT,__text) external __newrpclib__seterr_reply
00007ffb05555655 (__TEXT,__text) external __newrpclib_authnone_create
00007ffb05564311 (__TEXT,__text) non-external __newrpclib_authnone_create.cold.1
00007ffb055568b9 (__TEXT,__text) external __newrpclib_authunix_create
00007ffb055643b8 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.1
00007ffb05564453 (__TEXT,__text) non-external __newrpclib_authunix_create.cold.2
00007ffb055644ee (__TEXT,__text) non-external __newrpclib_authunix_create.cold.3
00007ffb0556459c (__TEXT,__text) non-external __newrpclib_authunix_create.cold.4
00007ffb05556c18 (__TEXT,__text) external __newrpclib_authunix_create_default
00007ffb055646e5 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.1
00007ffb05564793 (__TEXT,__text) non-external __newrpclib_authunix_create_default.cold.2
00007ffb05556689 (__TEXT,__text) external __newrpclib_callrpc
00007ffb0555ab00 (__TEXT,__text) external __newrpclib_clnt_broadcast
00007ffb0555703b (__TEXT,__text) external __newrpclib_clnt_create
00007ffb055547c0 (__TEXT,__text) external __newrpclib_clnt_create_timeout
00007ffb0555718c (__TEXT,__text) external __newrpclib_clnt_multicasts_buf_timeout
00007ffb055582fc (__TEXT,__text) external __newrpclib_clnt_pcreateerror
00007ffb05558071 (__TEXT,__text) external __newrpclib_clnt_perrno
00007ffb05557f84 (__TEXT,__text) external __newrpclib_clnt_perror
00007ffb055580b3 (__TEXT,__text) external __newrpclib_clnt_spcreateerror
00007ffb0555803f (__TEXT,__text) external __newrpclib_clnt_sperrno
00007ffb05557c9d (__TEXT,__text) external __newrpclib_clnt_sperror
00007ffb05558388 (__TEXT,__text) external __newrpclib_clntraw_create
00007ffb05564c2e (__TEXT,__text) non-external __newrpclib_clntraw_create.cold.1
00007ffb05559409 (__TEXT,__text) external __newrpclib_clnttcp_create
00007ffb0556537b (__TEXT,__text) non-external __newrpclib_clnttcp_create.cold.1
00007ffb055592e5 (__TEXT,__text) external __newrpclib_clnttcp_create_sa
00007ffb05565245 (__TEXT,__text) non-external __newrpclib_clnttcp_create_sa.cold.1
00007ffb05559376 (__TEXT,__text) external __newrpclib_clnttcp_create_timeout
00007ffb055652e0 (__TEXT,__text) non-external __newrpclib_clnttcp_create_timeout.cold.1
00007ffb05559978 (__TEXT,__text) external __newrpclib_clntudp_bufcreate
00007ffb055599d0 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_sa
00007ffb05554c50 (__TEXT,__text) external __newrpclib_clntudp_bufcreate_timeout
00007ffb055599ba (__TEXT,__text) external __newrpclib_clntudp_create
00007ffb05559a02 (__TEXT,__text) external __newrpclib_clntudp_create_sa
00007ffb05559b30 (__TEXT,__text) external __newrpclib_getrpcport
00007ffb055549d7 (__TEXT,__text) external __newrpclib_netid2socparms
00007ffb0555a890 (__TEXT,__text) external __newrpclib_pmap_callit
00007ffb05559bcc (__TEXT,__text) external __newrpclib_pmap_getmaps
00007ffb05559e13 (__TEXT,__text) external __newrpclib_pmap_getport
00007ffb05559e23 (__TEXT,__text) external __newrpclib_pmap_getport_sa
00007ffb0555ac9b (__TEXT,__text) external __newrpclib_pmap_indirect
00007ffb05559e33 (__TEXT,__text) external __newrpclib_pmap_rmtcall
00007ffb0556280d (__TEXT,__text) external __newrpclib_pmap_set
00007ffb05562919 (__TEXT,__text) external __newrpclib_pmap_unset
00007ffb0555a064 (__TEXT,__text) external __newrpclib_pmap_wakeup
00007ffb05562b0d (__TEXT,__text) external __newrpclib_pmapproc_callit_2
00007ffb05562acc (__TEXT,__text) external __newrpclib_pmapproc_dump_2
00007ffb05555cdd (__TEXT,__text) external __newrpclib_pmapproc_getport_2
00007ffb05562a12 (__TEXT,__text) external __newrpclib_pmapproc_null_2
00007ffb05562a42 (__TEXT,__text) external __newrpclib_pmapproc_set_2
00007ffb05562a87 (__TEXT,__text) external __newrpclib_pmapproc_unset_2
00007ffb0555c190 (__TEXT,__text) external __newrpclib_registerrpc
00007ffb05565915 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.1
00007ffb055659c3 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.2
00007ffb05565a68 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.3
00007ffb05565b03 (__TEXT,__text) non-external __newrpclib_registerrpc.cold.4
00007ffb434db950 (__DATA,__bss) non-external __newrpclib_registerrpc.transp
00007ffb0555b1a4 (__TEXT,__text) external __newrpclib_rpc_control
00007ffb055654b0 (__TEXT,__text) non-external __newrpclib_rpc_control.cold.1
00007ffb434dba88 (__DATA,__common) external __newrpclib_rpc_ipmode
00007ffb434db868 (__DATA,__data) external __newrpclib_rpc_v4mapped_ok
00007ffb0555a150 (__TEXT,__text) external __newrpclib_rpcb_callit
00007ffb05563c8e (__TEXT,__text) external __newrpclib_rpcb_getaddr
00007ffb05563cae (__TEXT,__text) external __newrpclib_rpcb_getaddr_for_host
00007ffb0555513b (__TEXT,__text) external __newrpclib_rpcb_getaddr_timeout
00007ffb05568f16 (__TEXT,__text) non-external __newrpclib_rpcb_getaddr_timeout.cold.1
00007ffb05563c9e (__TEXT,__text) external __newrpclib_rpcb_getversaddr
00007ffb05563be2 (__TEXT,__text) external __newrpclib_rpcb_getversaddr_timeout
00007ffb0555ab0a (__TEXT,__text) external __newrpclib_rpcb_indirect
00007ffb05563dca (__TEXT,__text) external __newrpclib_rpcb_set
00007ffb0556408e (__TEXT,__text) external __newrpclib_rpcb_unset
00007ffb05562ea0 (__TEXT,__text) external __newrpclib_rpcbproc_bcast_4
00007ffb05562c6b (__TEXT,__text) external __newrpclib_rpcbproc_callit_3
00007ffb05562c2a (__TEXT,__text) external __newrpclib_rpcbproc_dump_3
00007ffb05562e5f (__TEXT,__text) external __newrpclib_rpcbproc_dump_4
00007ffb05562be4 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_3
00007ffb05562e19 (__TEXT,__text) external __newrpclib_rpcbproc_getaddr_4
00007ffb05563057 (__TEXT,__text) external __newrpclib_rpcbproc_getaddrlist_4
00007ffb0556309d (__TEXT,__text) external __newrpclib_rpcbproc_getstat_4
00007ffb05562cb8 (__TEXT,__text) external __newrpclib_rpcbproc_gettime_3
00007ffb05562eed (__TEXT,__text) external __newrpclib_rpcbproc_gettime_4
00007ffb05562fc4 (__TEXT,__text) external __newrpclib_rpcbproc_getversaddr_4
00007ffb0556300a (__TEXT,__text) external __newrpclib_rpcbproc_indirect_4
00007ffb05562b5a (__TEXT,__text) external __newrpclib_rpcbproc_set_3
00007ffb05562d8f (__TEXT,__text) external __newrpclib_rpcbproc_set_4
00007ffb05562d49 (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_3
00007ffb05562f7e (__TEXT,__text) external __newrpclib_rpcbproc_taddr2uaddr_4
00007ffb05562cf8 (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_3
00007ffb05562f2d (__TEXT,__text) external __newrpclib_rpcbproc_uaddr2taddr_4
00007ffb05562b9f (__TEXT,__text) external __newrpclib_rpcbproc_unset_3
00007ffb05562dd4 (__TEXT,__text) external __newrpclib_rpcbproc_unset_4
00007ffb055620df (__TEXT,__text) external __newrpclib_sa2uaddr
00007ffb05556c04 (__TEXT,__text) external __newrpclib_set_rpc_maxgrouplist
00007ffb05555079 (__TEXT,__text) external __newrpclib_socparms2netid
00007ffb0555fabd (__TEXT,__text) external __newrpclib_svc_enable_localaddr
00007ffb0556856e (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.1
00007ffb05568608 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.2
00007ffb055686b6 (__TEXT,__text) non-external __newrpclib_svc_enable_localaddr.cold.3
00007ffb0555c0f5 (__TEXT,__text) external __newrpclib_svc_exit
00007ffb0555fbd3 (__TEXT,__text) external __newrpclib_svc_getcallee_sa
00007ffb0555fbc5 (__TEXT,__text) external __newrpclib_svc_getcaller_sa
00007ffb0555fbb8 (__TEXT,__text) external __newrpclib_svc_getnetid
00007ffb0555f6a7 (__TEXT,__text) external __newrpclib_svc_getsomerequests
00007ffb0555bd71 (__TEXT,__text) external __newrpclib_svc_pollnext
00007ffb0556585a (__TEXT,__text) non-external __newrpclib_svc_pollnext.cold.1
00007ffb0555eaa3 (__TEXT,__text) external __newrpclib_svc_register
00007ffb0555eea2 (__TEXT,__text) external __newrpclib_svc_reqsendreply
00007ffb0555b8a2 (__TEXT,__text) external __newrpclib_svc_run
00007ffb0555ee11 (__TEXT,__text) external __newrpclib_svc_sendreply
00007ffb0555ebc1 (__TEXT,__text) external __newrpclib_svc_unregister
00007ffb0555f2e7 (__TEXT,__text) external __newrpclib_svcerr_auth
00007ffb0555f08f (__TEXT,__text) external __newrpclib_svcerr_decode
00007ffb0555ef63 (__TEXT,__text) external __newrpclib_svcerr_noproc
00007ffb0555f426 (__TEXT,__text) external __newrpclib_svcerr_noprog
00007ffb0555f54f (__TEXT,__text) external __newrpclib_svcerr_progvers
00007ffb0555f35f (__TEXT,__text) external __newrpclib_svcerr_reqauth
00007ffb0555f10f (__TEXT,__text) external __newrpclib_svcerr_reqdecode
00007ffb0555efe3 (__TEXT,__text) external __newrpclib_svcerr_reqnoproc
00007ffb0555f4a3 (__TEXT,__text) external __newrpclib_svcerr_reqnoprog
00007ffb0555f5e1 (__TEXT,__text) external __newrpclib_svcerr_reqprogvers
00007ffb0555f23b (__TEXT,__text) external __newrpclib_svcerr_reqsystemerr
00007ffb0555f417 (__TEXT,__text) external __newrpclib_svcerr_reqweakauth
00007ffb0555f1bb (__TEXT,__text) external __newrpclib_svcerr_systemerr
00007ffb0555f408 (__TEXT,__text) external __newrpclib_svcerr_weakauth
00007ffb0555cbfe (__TEXT,__text) external __newrpclib_svcfd_create
00007ffb0555b805 (__TEXT,__text) external __newrpclib_svcraw_create
00007ffb0555c465 (__TEXT,__text) external __newrpclib_svctcp_create
00007ffb05565d70 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.1
00007ffb05565e1e (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.2
00007ffb05565eb9 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.3
00007ffb05565f54 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.4
00007ffb05566002 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.5
00007ffb055660b0 (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.6
00007ffb0556614b (__TEXT,__text) non-external __newrpclib_svctcp_create.cold.7
00007ffb0555d728 (__TEXT,__text) external __newrpclib_svcudp_bufcreate
00007ffb0556731d (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.1
00007ffb055673cb (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.2
00007ffb05567479 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.3
00007ffb05567527 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.4
00007ffb055675d5 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.5
00007ffb05567683 (__TEXT,__text) non-external __newrpclib_svcudp_bufcreate.cold.6
00007ffb0555da6d (__TEXT,__text) external __newrpclib_svcudp_create
00007ffb05561ded (__TEXT,__text) external __newrpclib_uaddr2sa
00007ffb0555fbe2 (__TEXT,__text) external __newrpclib_xdr_array
00007ffb0556874a (__TEXT,__text) non-external __newrpclib_xdr_array.cold.1
00007ffb05556fb9 (__TEXT,__text) external __newrpclib_xdr_authunix_parms
00007ffb055611a0 (__TEXT,__text) external __newrpclib_xdr_bool
00007ffb055557a9 (__TEXT,__text) external __newrpclib_xdr_bytes
00007ffb05568bd2 (__TEXT,__text) non-external __newrpclib_xdr_bytes.cold.1
00007ffb0555555e (__TEXT,__text) external __newrpclib_xdr_callhdr
00007ffb0555ae0a (__TEXT,__text) external __newrpclib_xdr_callmsg
00007ffb05561140 (__TEXT,__text) external __newrpclib_xdr_char
00007ffb0555b469 (__TEXT,__text) external __newrpclib_xdr_des_block
00007ffb0555fdb6 (__TEXT,__text) external __newrpclib_xdr_double
00007ffb05555631 (__TEXT,__text) external __newrpclib_xdr_enum
00007ffb0555fd5d (__TEXT,__text) external __newrpclib_xdr_float
00007ffb05560e2f (__TEXT,__text) external __newrpclib_xdr_free
00007ffb055615f4 (__TEXT,__text) external __newrpclib_xdr_getrecord
00007ffb055615cc (__TEXT,__text) external __newrpclib_xdr_hyper
00007ffb05560e5a (__TEXT,__text) external __newrpclib_xdr_int
00007ffb05561078 (__TEXT,__text) external __newrpclib_xdr_int16_t
00007ffb05560f4f (__TEXT,__text) external __newrpclib_xdr_int32_t
00007ffb0556142a (__TEXT,__text) external __newrpclib_xdr_int64_t
00007ffb05560f1c (__TEXT,__text) external __newrpclib_xdr_long
00007ffb055615e0 (__TEXT,__text) external __newrpclib_xdr_longlong_t
00007ffb05563ba2 (__TEXT,__text) external __newrpclib_xdr_netbuf
00007ffb05561303 (__TEXT,__text) external __newrpclib_xdr_netobj
00007ffb055558eb (__TEXT,__text) external __newrpclib_xdr_opaque
00007ffb434db970 (__DATA,__bss) non-external __newrpclib_xdr_opaque.crud
00007ffb05555770 (__TEXT,__text) external __newrpclib_xdr_opaque_auth
00007ffb0555628d (__TEXT,__text) external __newrpclib_xdr_pmap
00007ffb05562762 (__TEXT,__text) external __newrpclib_xdr_pmap_call_args
00007ffb055627cd (__TEXT,__text) external __newrpclib_xdr_pmap_call_result
00007ffb05562627 (__TEXT,__text) external __newrpclib_xdr_pmaplist
00007ffb05562607 (__TEXT,__text) external __newrpclib_xdr_pmaplist_ptr
00007ffb05560ad2 (__TEXT,__text) external __newrpclib_xdr_pointer
00007ffb05560a1d (__TEXT,__text) external __newrpclib_xdr_reference
00007ffb05568b24 (__TEXT,__text) non-external __newrpclib_xdr_reference.cold.1
00007ffb055562ec (__TEXT,__text) external __newrpclib_xdr_replymsg
00007ffb05559f22 (__TEXT,__text) external __newrpclib_xdr_rmtcall_args
00007ffb0555a000 (__TEXT,__text) external __newrpclib_xdr_rmtcallres
00007ffb055631a7 (__TEXT,__text) external __newrpclib_xdr_rp__list
00007ffb0556312a (__TEXT,__text) external __newrpclib_xdr_rpcb
00007ffb055633b2 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry
00007ffb05563434 (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list
00007ffb0556356f (__TEXT,__text) external __newrpclib_xdr_rpcb_entry_list_ptr
00007ffb05563302 (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallargs
00007ffb0556336d (__TEXT,__text) external __newrpclib_xdr_rpcb_rmtcallres
00007ffb05563ae2 (__TEXT,__text) external __newrpclib_xdr_rpcb_stat
00007ffb05563b7d (__TEXT,__text) external __newrpclib_xdr_rpcb_stat_byvers
00007ffb055632e2 (__TEXT,__text) external __newrpclib_xdr_rpcblist_ptr
00007ffb0556358f (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist
00007ffb05563aa2 (__TEXT,__text) external __newrpclib_xdr_rpcbs_addrlist_ptr
00007ffb05563a7d (__TEXT,__text) external __newrpclib_xdr_rpcbs_proc
00007ffb055637c8 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist
00007ffb05563ac2 (__TEXT,__text) external __newrpclib_xdr_rpcbs_rmtcalllist_ptr
00007ffb05560fb0 (__TEXT,__text) external __newrpclib_xdr_short
00007ffb05560b3b (__TEXT,__text) external __newrpclib_xdr_sizeof
00007ffb05561319 (__TEXT,__text) external __newrpclib_xdr_string
00007ffb05568d2e (__TEXT,__text) non-external __newrpclib_xdr_string.cold.1
00007ffb05561170 (__TEXT,__text) external __newrpclib_xdr_u_char
00007ffb055615d6 (__TEXT,__text) external __newrpclib_xdr_u_hyper
00007ffb05560ebb (__TEXT,__text) external __newrpclib_xdr_u_int
00007ffb055555d1 (__TEXT,__text) external __newrpclib_xdr_u_long
00007ffb055615ea (__TEXT,__text) external __newrpclib_xdr_u_longlong_t
00007ffb05561014 (__TEXT,__text) external __newrpclib_xdr_u_short
00007ffb055610dc (__TEXT,__text) external __newrpclib_xdr_uint16_t
00007ffb0555588a (__TEXT,__text) external __newrpclib_xdr_uint32_t
00007ffb055614fb (__TEXT,__text) external __newrpclib_xdr_uint64_t
00007ffb0555637f (__TEXT,__text) external __newrpclib_xdr_union
00007ffb0555fd0b (__TEXT,__text) external __newrpclib_xdr_vector
00007ffb0555667e (__TEXT,__text) external __newrpclib_xdr_void
00007ffb0556141b (__TEXT,__text) external __newrpclib_xdr_wrapstring
00007ffb05555531 (__TEXT,__text) external __newrpclib_xdrmem_create
00007ffb055602b5 (__TEXT,__text) external __newrpclib_xdrrec_create
00007ffb055687f8 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.1
00007ffb055688a6 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.2
00007ffb05568954 (__TEXT,__text) non-external __newrpclib_xdrrec_create.cold.3
00007ffb05560735 (__TEXT,__text) external __newrpclib_xdrrec_endofrecord
00007ffb055606d9 (__TEXT,__text) external __newrpclib_xdrrec_eof
00007ffb05560492 (__TEXT,__text) external __newrpclib_xdrrec_skiprecord
00007ffb05560ce0 (__TEXT,__text) external __newrpclib_xdrstdio_create
00007ffb0555e581 (__TEXT,__text) external __newrpclib_xprt_register
00007ffb0555e7ca (__TEXT,__text) external __newrpclib_xprt_unregister
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
00007ffb0555b7d5 (__TEXT,__text) non-external (was a private external) __svcauth_null
00007ffb0555b677 (__TEXT,__text) non-external (was a private external) __svcauth_short
00007ffb0555b4d9 (__TEXT,__text) non-external (was a private external) __svcauth_unix
                 (undefined) external _abort (from libSystem)
                 (undefined) external _accept (from libSystem)
00007ffb0555bcda (__TEXT,__text) non-external (was a private external) _add_working_xprt
00007ffb0556573d (__TEXT,__text) non-external _add_working_xprt.cold.1
00007ffb055657d1 (__TEXT,__text) non-external _add_working_xprt.cold.2
                 (undefined) external _asprintf (from libSystem)
00007ffb4060ca90 (__DATA_CONST,__const) non-external _auth_errlist
00007ffb434db3f8 (__DATA,__data) non-external _auth_unix_ops
00007ffb055568b3 (__TEXT,__text) non-external _authnone_destroy
