00007ff80e655821 (__TEXT,__const) non-external _KW_ANY
00007ff80e655785 (__TEXT,__const) non-external _KW_ATTLIST
00007ff80e6557d4 (__TEXT,__const) non-external _KW_CDATA
00007ff80e655768 (__TEXT,__const) non-external _KW_DOCTYPE
00007ff80e65578d (__TEXT,__const) non-external _KW_ELEMENT
00007ff80e65581b (__TEXT,__const) non-external _KW_EMPTY
00007ff80e6557ea (__TEXT,__const) non-external _KW_ENTITIES
00007ff80e65577e (__TEXT,__const) non-external _KW_ENTITY
00007ff80e655815 (__TEXT,__const) non-external _KW_FIXED
00007ff80e6557da (__TEXT,__const) non-external _KW_ID
00007ff80e6557dd (__TEXT,__const) non-external _KW_IDREF
00007ff80e6557e3 (__TEXT,__const) non-external _KW_IDREFS
00007ff80e6557a6 (__TEXT,__const) non-external _KW_IGNORE
00007ff80e655804 (__TEXT,__const) non-external _KW_IMPLIED
00007ff80e65579e (__TEXT,__const) non-external _KW_INCLUDE
00007ff80e655f30 (__TEXT,__const) non-external _KW_ISO_8859_1
00007ff80e6557ad (__TEXT,__const) non-external _KW_NDATA
00007ff80e6557f3 (__TEXT,__const) non-external _KW_NMTOKEN
00007ff80e6557fb (__TEXT,__const) non-external _KW_NMTOKENS
00007ff80e655795 (__TEXT,__const) non-external _KW_NOTATION
00007ff80e655825 (__TEXT,__const) non-external _KW_PCDATA
00007ff80e655777 (__TEXT,__const) non-external _KW_PUBLIC
00007ff80e65580c (__TEXT,__const) non-external _KW_REQUIRED
00007ff80e655770 (__TEXT,__const) non-external _KW_SYSTEM
00007ff80e655f3b (__TEXT,__const) non-external _KW_US_ASCII
00007ff80e655f4a (__TEXT,__const) non-external _KW_UTF_16
00007ff80e655f51 (__TEXT,__const) non-external _KW_UTF_16BE
00007ff80e655f5a (__TEXT,__const) non-external _KW_UTF_16LE
00007ff80e655f44 (__TEXT,__const) non-external _KW_UTF_8
00007ff80e655f71 (__TEXT,__const) non-external _KW_encoding
00007ff80e655f89 (__TEXT,__const) non-external _KW_no
00007ff80e655f7a (__TEXT,__const) non-external _KW_standalone
00007ff80e655f69 (__TEXT,__const) non-external _KW_version
00007ff80e655f85 (__TEXT,__const) non-external _KW_yes
00007ff80e63ef48 (__TEXT,__text) external _XML_DefaultCurrent
00007ff80e63f062 (__TEXT,__text) external _XML_ErrorString
00007ff80e63f083 (__TEXT,__text) external _XML_ExpatVersion
00007ff80e63f090 (__TEXT,__text) external _XML_ExpatVersionInfo
00007ff80e63d4c2 (__TEXT,__text) external _XML_ExternalEntityParserCreate
00007ff80e63eeee (__TEXT,__text) external _XML_FreeContentModel
00007ff80e63e3ab (__TEXT,__text) external _XML_GetBase
00007ff80e63e8aa (__TEXT,__text) external _XML_GetBuffer
00007ff80e63eddd (__TEXT,__text) external _XML_GetCurrentByteCount
00007ff80e63edb4 (__TEXT,__text) external _XML_GetCurrentByteIndex
00007ff80e63ee98 (__TEXT,__text) external _XML_GetCurrentColumnNumber
00007ff80e63ee3f (__TEXT,__text) external _XML_GetCurrentLineNumber
00007ff80e63ed9d (__TEXT,__text) external _XML_GetErrorCode
00007ff80e63f0a2 (__TEXT,__text) external _XML_GetFeatureList
00007ff8408f1cc0 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
00007ff80e63e3d7 (__TEXT,__text) external _XML_GetIdAttributeIndex
00007ff80e63ee06 (__TEXT,__text) external _XML_GetInputContext
00007ff80e63ed7c (__TEXT,__text) external _XML_GetParsingStatus
00007ff80e655124 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
00007ff80e63e3c0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
00007ff80e63ef33 (__TEXT,__text) external _XML_MemFree
00007ff80e63ef03 (__TEXT,__text) external _XML_MemMalloc
00007ff80e63ef1a (__TEXT,__text) external _XML_MemRealloc
00007ff80e63e672 (__TEXT,__text) external _XML_Parse
00007ff80e63eadc (__TEXT,__text) external _XML_ParseBuffer
00007ff80e63cafc (__TEXT,__text) external _XML_ParserCreate
00007ff80e63cb18 (__TEXT,__text) external _XML_ParserCreateNS
00007ff80e63cb0c (__TEXT,__text) external _XML_ParserCreate_MM
00007ff80e63debb (__TEXT,__text) external _XML_ParserFree
00007ff80e63ce32 (__TEXT,__text) external _XML_ParserReset
00007ff80e63eca8 (__TEXT,__text) external _XML_ResumeParser
00007ff80e63e5e0 (__TEXT,__text) external _XML_SetAttlistDeclHandler
00007ff80e63e304 (__TEXT,__text) external _XML_SetBase
00007ff80e63f0e9 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
00007ff80e63f0af (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
00007ff80e63e452 (__TEXT,__text) external _XML_SetCdataSectionHandler
00007ff80e63e41f (__TEXT,__text) external _XML_SetCharacterDataHandler
00007ff80e63e440 (__TEXT,__text) external _XML_SetCommentHandler
00007ff80e63e48f (__TEXT,__text) external _XML_SetDefaultHandler
00007ff80e63e4a8 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
00007ff80e63e4c1 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
00007ff80e63e5ce (__TEXT,__text) external _XML_SetElementDeclHandler
00007ff80e63e3ee (__TEXT,__text) external _XML_SetElementHandler
00007ff80e63d411 (__TEXT,__text) external _XML_SetEncoding
00007ff80e63e47d (__TEXT,__text) external _XML_SetEndCdataSectionHandler
00007ff80e63e4ec (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
00007ff80e63e410 (__TEXT,__text) external _XML_SetEndElementHandler
00007ff80e63e54d (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
00007ff80e63e5f2 (__TEXT,__text) external _XML_SetEntityDeclHandler
00007ff80e63e571 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
00007ff80e63e583 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
00007ff80e63e63c (__TEXT,__text) external _XML_SetHashSalt
00007ff80e63e522 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
00007ff80e63e55f (__TEXT,__text) external _XML_SetNotStandaloneHandler
00007ff80e63e510 (__TEXT,__text) external _XML_SetNotationDeclHandler
00007ff80e63e616 (__TEXT,__text) external _XML_SetParamEntityParsing
00007ff80e63e42e (__TEXT,__text) external _XML_SetProcessingInstructionHandler
00007ff80e63e2c7 (__TEXT,__text) external _XML_SetReturnNSTriplet
00007ff80e63e5a3 (__TEXT,__text) external _XML_SetSkippedEntityHandler
00007ff80e63e46b (__TEXT,__text) external _XML_SetStartCdataSectionHandler
00007ff80e63e4da (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
00007ff80e63e401 (__TEXT,__text) external _XML_SetStartElementHandler
00007ff80e63e53b (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
00007ff80e63e5b5 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
00007ff80e63e4fe (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
00007ff80e63e2e9 (__TEXT,__text) external _XML_SetUserData
00007ff80e63e604 (__TEXT,__text) external _XML_SetXmlDeclHandler
00007ff80e63ec39 (__TEXT,__text) external _XML_StopParser
00007ff80e63e299 (__TEXT,__text) external _XML_UseForeignDTD
00007ff80e63e28a (__TEXT,__text) external _XML_UseParserAsHandlerArg
00007ff80e648caa (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
00007ff80e6491f2 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
00007ff80e648c9d (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
00007ff80e6491e5 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
00007ff80e648cb7 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
00007ff80e6491ff (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
00007ff80e648731 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
00007ff80e6493f0 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
00007ff80e648db5 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
00007ff80e649298 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
00007ff80e646df4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
00007ff80e646ed4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
00007ff80e648726 (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
00007ff80e6486da (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
00007ff80e64862a (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
00007ff80e64859c (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80e6413f0 (__TEXT,__text) non-external _accountingDiffTolerated
00007ff80e65516a (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
00007ff80e643013 (__TEXT,__text) non-external _accountingGetCurrentAmplification
00007ff80e65518d (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
00007ff80e643090 (__TEXT,__text) non-external _accountingReportStats
00007ff80e645a00 (__TEXT,__text) non-external _addBinding
00007ff80e656c60 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
00007ff80e656c90 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
00007ff80e645eac (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00007ff8408f2c68 (__DATA_CONST,__const) non-external _ascii_encoding
00007ff8408f35b8 (__DATA_CONST,__const) non-external _ascii_encoding_ns
00007ff80e65111e (__TEXT,__text) non-external _ascii_toUtf8
00007ff80e6473d9 (__TEXT,__text) non-external _attlist0
00007ff80e647ad6 (__TEXT,__text) non-external _attlist1
