000000018012f860 (__TEXT,__text) non-external K256
0000000180131970 (__TEXT,__text) non-external K_XMM_AR
00000001801319b0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA1_compress
000000018012f960 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA256_compress
000000018012fc70 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress
00000001801310f0 (__TEXT,__text) non-external (was a private external) _AccelerateCrypto_SHA512_compress_hwassist
000000018012d0f0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018012d1e0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018013be64 (__TEXT,__const) non-external (was a private external) _SANDBOX_CHECK_NO_REPORT
000000018013be10 (__TEXT,__const) non-external _UUID_NULL
000000018013be20 (__TEXT,__const) non-external __0x
0000000180104c68 (__TEXT,__text) non-external (was a private external) __Block_object_assign
00000001800b8df8 (__TEXT,__text) non-external (was a private external) __Block_object_dispose
000000018014a26c (__TEXT,__cstring) non-external __H
00000001d70b18e0 (__DATA,__common) non-external (was a private external) __NSConcreteGlobalBlock
00000001d70b17e0 (__DATA,__common) non-external (was a private external) __NSConcreteStackBlock
00000001800e8868 (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
00000001800ee078 (__TEXT,__text) non-external (was a private external) __Z10murmurHashPKviy
00000001800cf3bc (__TEXT,__text) non-external (was a private external) __Z22getForeignFullIdentityPKc
00000001800c0b4c (__TEXT,__text) non-external __ZL11hexToUInt64PKcPS0_
00000001d70afa08 (__DATA,__data) non-external __ZL12sProcessInfo
00000001800bf01c (__TEXT,__text) non-external __ZL15OSMemoryBarrierv
00000001daab02c0 (__DATA_CONST,__const) non-external __ZL15cryptexPrefixes
00000001800cc080 (__TEXT,__text) non-external __ZL16hexStringToBytesPKcPhjRj
00000001800bf008 (__TEXT,__text) non-external __ZL32OSAtomicCompareAndSwapPtrBarrierPvS_PVS_
00000001801243e0 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
0000000180124494 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
000000018012443c (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
0000000180124410 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00000001800b91c8 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001800b8dc4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
000000018010f364 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEU13block_pointerFvRKNS_5ClassERbE
000000018010f17c (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_11DataSectionEU13block_pointerFvRNS_5ClassEbRbE
000000018013a044 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor12forEachClassEbRKNS0_11DataSectionEU13block_pointerFvRNS_5ClassEbRbE.cold.1
000000018010f300 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor12forEachClassEbU13block_pointerFvRNS_5ClassEbRbE
000000018010f46c (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE
000000018013a070 (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachCategoryEU13block_pointerFvRKNS_8CategoryERbE.cold.1
000000018010f560 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE
000000018013a09c (__TEXT,__text) non-external __ZN12objc_visitor7Visitor15forEachProtocolEU13block_pointerFvRKNS_8ProtocolERbE.cold.1
000000018010f3e8 (__TEXT,__text) non-external (was a private external) __ZN12objc_visitor7Visitor24forEachClassAndMetaClassEU13block_pointerFvRKNS_5ClassERbE
