00000001000fd9b0 (__TEXT,__text) external _ConvertUTF16toUTF8
                 (undefined) external __DefaultRuneLocale (from libSystem)
0000000100012ff8 (__TEXT,__text) non-external __GLOBAL__sub_I_BitcodeWriter.cpp
00000001000fc568 (__TEXT,__text) non-external __GLOBAL__sub_I_CommandLine.cpp
000000010004e914 (__TEXT,__text) non-external __GLOBAL__sub_I_DependenceAnalysis.cpp
0000000100085c28 (__TEXT,__text) non-external __GLOBAL__sub_I_Dominators.cpp
00000001000ce2c0 (__TEXT,__text) non-external __GLOBAL__sub_I_LegacyPassManager.cpp
000000010004e9c4 (__TEXT,__text) non-external __GLOBAL__sub_I_LoopInfo.cpp
0000000100110f44 (__TEXT,__text) non-external __GLOBAL__sub_I_Process.cpp
000000010004ea70 (__TEXT,__text) non-external __GLOBAL__sub_I_ScalarEvolution.cpp
0000000100111f10 (__TEXT,__text) non-external __GLOBAL__sub_I_Signals.cpp
000000010004dbb0 (__TEXT,__text) non-external __GLOBAL__sub_I_SimplifyCFG.cpp
000000010010bf20 (__TEXT,__text) non-external __GLOBAL__sub_I_Timer.cpp
00000001000e74f8 (__TEXT,__text) non-external __GLOBAL__sub_I_Verifier.cpp
00000001000055cc (__TEXT,__text) non-external __GLOBAL__sub_I_llvm_link.cpp
0000000100150060 (__DATA,__bss) non-external __MergedGlobals
0000000100150368 (__DATA,__bss) non-external __MergedGlobals
0000000100150378 (__DATA,__bss) non-external __MergedGlobals
0000000100150578 (__DATA,__bss) non-external __MergedGlobals
00000001001505e8 (__DATA,__bss) non-external __MergedGlobals
00000001001506b0 (__DATA,__bss) non-external __MergedGlobals
0000000100150720 (__DATA,__bss) non-external __MergedGlobals
0000000100150760 (__DATA,__bss) non-external __MergedGlobals
0000000100150eb8 (__DATA,__bss) non-external __MergedGlobals
0000000100151220 (__DATA,__bss) non-external __MergedGlobals
0000000100151238 (__DATA,__bss) non-external __MergedGlobals
0000000100151288 (__DATA,__bss) non-external __MergedGlobals
00000001001513d0 (__DATA,__bss) non-external __MergedGlobals
0000000100151490 (__DATA,__bss) non-external __MergedGlobals
0000000100151cb8 (__DATA,__bss) non-external __MergedGlobals
0000000100151eb0 (__DATA,__bss) non-external __MergedGlobals
0000000100151ed0 (__DATA,__bss) non-external __MergedGlobals
0000000100151260 (__DATA,__bss) non-external __ZGVZN4llvm22EnablePrettyStackTraceEvE17HandlerRegistered
0000000100150008 (__DATA,__data) non-external (was a private external) __ZGVZN4llvm7hashing6detail18get_execution_seedEvE4seed
00000001000684ec (__TEXT,__text) non-external __ZL10IdxComparePN4llvm8ConstantES1_PNS_4TypeE
0000000100100438 (__TEXT,__text) non-external __ZL10PrintStackPKN4llvm21PrettyStackTraceEntryERNS_11raw_ostreamE
0000000100151230 (__DATA,__bss) non-external __ZL10StaticList
000000010013fd50 (__TEXT,__const) non-external __ZL10colorcodes
0000000100150510 (__DATA,__bss) non-external __ZL11Delinearize
000000010006474c (__TEXT,__text) non-external __ZL11FoldBitCastPN4llvm8ConstantEPNS_4TypeE
0000000100150010 (__DATA,__data) non-external __ZL11ProgramName
00000001000116cc (__TEXT,__text) non-external __ZL11WriteMDNodePKN4llvm6MDNodeERKNS_15ValueEnumeratorERNS_15BitstreamWriterERNS_15SmallVectorImplIyEE
00000001000060fc (__TEXT,__text) non-external __ZL11WriteModulePKN4llvm6ModuleERNS_15BitstreamWriterE
000000010010d33c (__TEXT,__text) non-external __ZL11parseVendorN4llvm9StringRefE
0000000100151268 (__DATA,__bss) non-external __ZL12ActiveTimers
0000000100100270 (__TEXT,__text) non-external __ZL12CrashHandlerPv
0000000100011948 (__TEXT,__text) non-external __ZL12WriteUseListPKN4llvm5ValueERKNS_15ValueEnumeratorERNS_15BitstreamWriterE
00000001000f7d88 (__TEXT,__text) non-external __ZL12printHelpStrN4llvm9StringRefEmm
00000001000bd9a0 (__TEXT,__text) non-external __ZL13DecodeIITTypeRjN4llvm8ArrayRefIhEERNS0_15SmallVectorImplINS0_9Intrinsic13IITDescriptorEEE
00000001000f73ac (__TEXT,__text) non-external __ZL13GetOptionInfoRN4llvm15SmallVectorImplIPNS_2cl6OptionEEES5_RNS_9StringMapIS3_NS_15MallocAllocatorEEE
0000000100150748 (__DATA,__bss) non-external __ZL13GlobalContext
000000010004f794 (__TEXT,__text) non-external __ZL13PrintLLVMNameRN4llvm11raw_ostreamENS_9StringRefE10PrefixType
00000001000f7b10 (__TEXT,__text) non-external __ZL13ProvideOptionPN4llvm2cl6OptionENS_9StringRefES3_iPKPKcRi
000000010003fb14 (__TEXT,__text) non-external __ZL13ReadWideAPIntN4llvm8ArrayRefIyEEj
0000000100111b10 (__TEXT,__text) non-external __ZL13SignalHandleri
0000000100023b18 (__TEXT,__text) non-external __ZL13UnEscapeLexedRNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE
000000010000a544 (__TEXT,__text) non-external __ZL13WriteFunctionRKN4llvm8FunctionERNS_15ValueEnumeratorERNS_15BitstreamWriterE
000000010002c648 (__TEXT,__text) non-external __ZL13getTypeStringPN4llvm4TypeE
0000000100151480 (__DATA,__bss) non-external __ZL14DummyTimeValue
00000001000fbe50 (__TEXT,__text) non-external __ZL14OptNameComparePKvS0_
