00000001ec66a218 (__DATA,__bss) non-external _AGCPrinter
00000001a8769254 (__TEXT,__text) external _AIRNTClone
00000001a876916c (__TEXT,__text) external _AIRNTDispose
00000001a8769740 (__TEXT,__text) external _AIRNTDisposeCompilationContext
00000001a876a1c4 (__TEXT,__text) external _AIRNTEmitAssembly
00000001a876d3e4 (__TEXT,__text) external _AIRNTEmitBuiltinExecutableImage
00000001a876a304 (__TEXT,__text) external _AIRNTEmitDylibImage
00000001a876cadc (__TEXT,__text) external _AIRNTEmitExecutableImage
00000001a876a264 (__TEXT,__text) external _AIRNTEmitObject
00000001a876f0bc (__TEXT,__text) external _AIRNTEmitPipelineImage
00000001a877242c (__TEXT,__text) external _AIRNTEmitPipelineImages
00000001a87697cc (__TEXT,__text) external _AIRNTGetDefaultArch
00000001a876855c (__TEXT,__text) external _AIRNTGetLLVMVersion
00000001a8774e44 (__TEXT,__text) external _AIRNTGetLegalizationPasses
00000001a8769fb8 (__TEXT,__text) external _AIRNTGetPreferredAIRArch
00000001a8769814 (__TEXT,__text) external _AIRNTGetSupportedArchs
00000001a8769fe4 (__TEXT,__text) external _AIRNTGetSupportedBitcodeVersion
00000001a8769a84 (__TEXT,__text) external _AIRNTGetSupportedImpls
00000001a87697c0 (__TEXT,__text) external _AIRNTGetVendorName
00000001a87697ac (__TEXT,__text) external _AIRNTGetVersion
00000001a8768564 (__TEXT,__text) external _AIRNTInit
00000001a87692f8 (__TEXT,__text) external _AIRNTInitCompilationContext
00000001a8769fec (__TEXT,__text) external _AIRNTParseCommandLineOptions
00000001a8769b7c (__TEXT,__text) external _AIRNTSupportsArch
00000001a876a1b4 (__TEXT,__text) external _AIRNTSupportsEmitBuiltinExecutableImage
00000001a876a1ac (__TEXT,__text) external _AIRNTSupportsEmitExecutableImage
00000001a8769cd8 (__TEXT,__text) external _AIRNTSupportsTarget
00000001a876a1bc (__TEXT,__text) external _AIRNTSupportsThreads
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFBundleCopyResourceURL (from CoreFoundation)
                 (undefined) external _CFBundleGetBundleWithIdentifier (from CoreFoundation)
                 (undefined) external _CFPreferencesGetAppIntegerValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
                 (undefined) external _CFURLCopyFileSystemPath (from CoreFoundation)
00000001a85c7d2c (__TEXT,__text) external _GLCompilerBuildRequest
00000001a85c7d20 (__TEXT,__text) external _GLCompilerCreate
00000001a85c7d28 (__TEXT,__text) external _GLCompilerDelete
00000001a85c7d34 (__TEXT,__text) external _GLCompilerLogBuildRequest
00000001a85c7d3c (__TEXT,__text) external _GLCompilerReleaseReply
                 (undefined) external _LLVMAGXRuntimeMajorVersion (from libLLVM)
                 (undefined) external _MGGetBoolAnswer (from libMobileGestalt)
00000001a85cd34c (__TEXT,__text) external _MTLCompilerBuildRequest
00000001a85cac84 (__TEXT,__text) external _MTLCompilerBuildRequestWithOptions
00000001a85cd2f0 (__TEXT,__text) external _MTLCompilerBuildRequestWithSerializedBitcode
00000001a85c7d40 (__TEXT,__text) external _MTLCompilerCreate
00000001a85cab94 (__TEXT,__text) external _MTLCompilerDelete
00000001a85cd3d0 (__TEXT,__text) external _MTLCompilerReleaseReply
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
00000001a86792e8 (__TEXT,__text) non-external __Z10parseMDIntPKcPKN4llvm6MDNodeERjS5_
00000001a85c927c (__TEXT,__text) non-external __Z11initPrinterRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEb13AGCTargetArch
00000001a8679f28 (__TEXT,__text) non-external __Z11parseMDTypeIN4llvm6MDNodeEEbPKcPKS1_RjRPT_
00000001a86793d0 (__TEXT,__text) non-external __Z12parseMDUint3PKN4llvm6MDNodeEPKcRjRNSt3__15arrayIjLm3EEE
00000001a862e1a4 (__TEXT,__text) non-external __Z12pixelTypeMapv
00000001a85d2bf0 (__TEXT,__text) non-external __Z12printHexDumpRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKhmjPKcb
00000001a85c9cf0 (__TEXT,__text) non-external __Z12printMessageRPNSt3__113basic_ostreamIcNS_11char_traitsIcEEEEPKcz
00000001a862d828 (__TEXT,__text) non-external __Z13bufferTypeMapv
00000001a8679578 (__TEXT,__text) non-external __Z13parseMDAccessPKN4llvm6MDNodeERjR14ResourceAccess
