00007ffa1e8fde3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e8fe11b (__TEXT,__text) non-external _DiToSHA1
00007ffa1e8e8040 (__TEXT,__text) external _DriverExecutableMain
00007ffa4193ec78 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa4193ef38 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa4193ee40 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa4193f030 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa4193f190 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1e8e4f23 (__TEXT,__text) external _IODelay
00007ffa4193f340 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa4193f4f0 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1e8e856e (__TEXT,__text) external _IODriverKitTest
00007ffa1e90c783 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e90c7ae (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e90c7d1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e90c7fc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e90c81f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e90c842 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e90c865 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e90c888 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa4193f6a0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1e8e4ed2 (__TEXT,__text) external _IOFree
00007ffa1e8e4f09 (__TEXT,__text) external _IOFreeData
00007ffa1e8e8553 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa4193fef0 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa4193f800 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1e8e4f36 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1e8e7464 (__TEXT,__text) external _IOLockAlloc
00007ffa1e8e74b3 (__TEXT,__text) external _IOLockAssert
00007ffa1e90c1d7 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1e8e747f (__TEXT,__text) external _IOLockFree
00007ffa1e8e7495 (__TEXT,__text) external _IOLockLock
00007ffa1e8e749f (__TEXT,__text) external _IOLockTryLock
00007ffa1e8e74a9 (__TEXT,__text) external _IOLockUnlock
00007ffa1e8e4d3f (__TEXT,__text) external _IOLog
00007ffa1e8e4bc8 (__TEXT,__text) external _IOLogBuffer
00007ffa1e8e4de7 (__TEXT,__text) external _IOLogv
00007ffa1e8e4ea5 (__TEXT,__text) external _IOMalloc
00007ffa1e8e4edc (__TEXT,__text) external _IOMallocData
00007ffa1e8e4ec0 (__TEXT,__text) external _IOMallocZero
00007ffa1e8e4ef7 (__TEXT,__text) external _IOMallocZeroData
00007ffa4193f9b0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa4193fb60 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1e8e4fb6 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1e8e5465 (__TEXT,__text) external _IOParseBootArgString
00007ffa1e8e6779 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e90bf76 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1e90bfab (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1e8e76a1 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e90c2ef (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1e8e76d6 (__TEXT,__text) external _IORWLockFree
00007ffa1e8e76fd (__TEXT,__text) external _IORWLockRead
00007ffa1e90c312 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1e8e7725 (__TEXT,__text) external _IORWLockUnlock
00007ffa1e90c358 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1e8e7711 (__TEXT,__text) external _IORWLockWrite
00007ffa1e90c335 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1e8e752b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1e8e7557 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1e8e7613 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e90c286 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1e8e756d (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e90c1fa (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e90c21d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1e8e7643 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e90c2a9 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e90c2cc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1e8e75c1 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e90c240 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffa1e90c263 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffa1e8e74cf (__TEXT,__text) external _IORecursiveLockAlloc
00007ffa1e8e74eb (__TEXT,__text) external _IORecursiveLockFree
00007ffa1e8e7517 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffa1e8e7501 (__TEXT,__text) external _IORecursiveLockLock
00007ffa1e8e7521 (__TEXT,__text) external _IORecursiveLockTryLock
00007ffa1e8e750d (__TEXT,__text) external _IORecursiveLockUnlock
00007ffa4193ff90 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffa4193fd10 (__DATA_CONST,__const) external _IOReporter_Class
00007ffa41940398 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffa419404f8 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffa419401e8 (__DATA_CONST,__const) external _IOService_Class
00007ffa4193fdb0 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffa1e8e4f13 (__TEXT,__text) external _IOSleep
00007ffa4193fe50 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffa41942168 (__DATA_CONST,__const) external _IOThread_Class
00007ffa41940658 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffa41940808 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffa1e8e8086 (__TEXT,__text) external _IOUserServerMain
00007ffa1e90c625 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffa1e90c760 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffa1e90c648 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffa1e90c66b (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffa1e90c68e (__TEXT,__text) non-external _IOUserServerMain.cold.4
