00000001e9d1b18c (__TEXT,__text) non-external +[CPIndex log]
00000001e9d1b2cc (__TEXT,__text) non-external +[CPIndex signpostLog]
00000001e9d1e13c (__TEXT,__text) non-external +[CPIndexFactory defaultIndex]
00000001e9d1e1cc (__TEXT,__text) non-external +[CPIndexFactory indexWithName:protectionClass:]
00000001e9d1e290 (__TEXT,__text) non-external +[CPSearch log]
00000001e9d1f108 (__TEXT,__text) non-external +[CPSearchFactory searchWithCSQueryString:]
00000001e9d1f1ac (__TEXT,__text) non-external +[CPSearchFactory searchWithCSQueryString:searchContext:]
00000001e9d1efa4 (__TEXT,__text) non-external +[CPSearchFactory searchWithQueryString:]
00000001e9d1f048 (__TEXT,__text) non-external +[CPSearchFactory searchWithQueryString:searchContext:]
00000001e9d24f4c (__TEXT,__text) non-external +[CPSearchQueryShim log]
00000001e9d21798 (__TEXT,__text) non-external +[CPSearchableIndexShim _summaryLoggingStringForSearchableItems:]
00000001e9d1f804 (__TEXT,__text) non-external +[CPSearchableIndexShim defaultSearchableIndex]
00000001e9d1f664 (__TEXT,__text) non-external +[CPSearchableIndexShim dualDonationEnabled]
00000001e9d1fdd4 (__TEXT,__text) non-external +[CPSearchableIndexShim fetchFile:attributesWithCompletionHandler:]
00000001e9d1f26c (__TEXT,__text) non-external +[CPSearchableIndexShim log]
00000001e9d1f6bc (__TEXT,__text) non-external +[CPSearchableIndexShim setDualDonationEnabled:]
00000001e9d1f3a4 (__TEXT,__text) non-external +[CPSearchableIndexShim signpostLog]
00000001e9d1f45c (__TEXT,__text) non-external +[CPSearchableIndexShim userDefaults]
00000001e9d2651c (__TEXT,__text) non-external +[CPTopHitSearchQueryShim log]
00000001e9d26d2c (__TEXT,__text) non-external +[CPXPCConnection log]
00000001e9d274d0 (__TEXT,__text) non-external +[CPXPCConnectionFactory setSharedConnection:]
00000001e9d27444 (__TEXT,__text) non-external +[CPXPCConnectionFactory sharedConnection]
00000001e9d28d64 (__TEXT,__text) non-external +[PMAttribute personValuesType]
00000001e9d28c88 (__TEXT,__text) non-external +[PMAttribute stringValuesType]
00000001e9d2ce08 (__TEXT,__text) non-external +[PMDeviceLockMonitor log]
00000001e9d2cf84 (__TEXT,__text) non-external +[PMDeviceLockMonitor sharedInstance]
00000001e9d2d1dc (__TEXT,__text) non-external +[PMIndexableItem attributesType]
