000000021eb5aa00 (__TEXT,__text) non-external _Done_iODBC
000000021eb799f0 (__TEXT,__const) non-external _FunctionNumbers
000000021eb7880c (__TEXT,__text) non-external _GetPrivateProfileString
000000021eb5a87c (__TEXT,__text) non-external _Init_iODBC
000000022f2227f4 (__DATA,__common) non-external _ODBCSharedTraceFlag
000000021eb58f6c (__TEXT,__text) external _SQLAllocConnect
000000021eb58e7c (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000021eb5a7ec (__TEXT,__text) external _SQLAllocEnv
000000021eb5a648 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000021eb647b4 (__TEXT,__text) external _SQLAllocHandle
000000021eb648cc (__TEXT,__text) non-external _SQLAllocHandleStd
000000021eb64514 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000021eb5d48c (__TEXT,__text) external _SQLAllocStmt
000000021eb5cfe4 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000021eb62454 (__TEXT,__text) external _SQLBindCol
000000021eb6a4f0 (__TEXT,__text) external _SQLBindParam
000000021eb618fc (__TEXT,__text) external _SQLBindParameter
000000021eb55c48 (__TEXT,__text) external _SQLBrowseConnect
000000021eb55d90 (__TEXT,__text) external _SQLBrowseConnectA
000000021eb55ed8 (__TEXT,__text) external _SQLBrowseConnectW
000000021eb55710 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000021eb6a004 (__TEXT,__text) external _SQLBulkOperations
000000021eb5e3b4 (__TEXT,__text) external _SQLCancel
000000021eb6a534 (__TEXT,__text) external _SQLCloseCursor
000000021eb69a48 (__TEXT,__text) external _SQLColAttribute
000000021eb69bf0 (__TEXT,__text) external _SQLColAttributeA
000000021eb69d98 (__TEXT,__text) external _SQLColAttributeW
000000021eb69370 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000021eb6401c (__TEXT,__text) external _SQLColAttributes
000000021eb641c4 (__TEXT,__text) external _SQLColAttributesA
000000021eb6436c (__TEXT,__text) external _SQLColAttributesW
000000021eb63b80 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000021eb4eb94 (__TEXT,__text) external _SQLColumnPrivileges
000000021eb4ed78 (__TEXT,__text) external _SQLColumnPrivilegesA
000000021eb4ef5c (__TEXT,__text) external _SQLColumnPrivilegesW
000000021eb4e904 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000021eb4f3d0 (__TEXT,__text) external _SQLColumns
000000021eb4f5b4 (__TEXT,__text) external _SQLColumnsA
000000021eb4f798 (__TEXT,__text) external _SQLColumnsW
000000021eb4f140 (__TEXT,__text) non-external _SQLColumns_Internal
000000021eb53054 (__TEXT,__text) external _SQLConnect
000000021eb537f4 (__TEXT,__text) external _SQLConnectA
000000021eb53954 (__TEXT,__text) external _SQLConnectW
000000021eb531b4 (__TEXT,__text) non-external _SQLConnect_Internal
000000021eb7947c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000021eb691f4 (__TEXT,__text) external _SQLCopyDesc
