                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018f360e58 (__TEXT,__text) non-external _alone_decode
000000018f361114 (__TEXT,__text) non-external _alone_decoder_end
000000018f361154 (__TEXT,__text) non-external _alone_decoder_memconfig
000000018f35f838 (__TEXT,__text) non-external _alone_encode
000000018f35f96c (__TEXT,__text) non-external _alone_encoder_end
000000018f35f6bc (__TEXT,__text) non-external _alone_encoder_init
000000018f36ad60 (__TEXT,__text) non-external _arm64_code
000000018f36daf8 (__TEXT,__text) non-external _arm_code
000000018f36dbd8 (__TEXT,__text) non-external _armthumb_code
000000018f361380 (__TEXT,__text) non-external _auto_decode
000000018f361504 (__TEXT,__text) non-external _auto_decoder_end
000000018f361544 (__TEXT,__text) non-external _auto_decoder_get_check
000000018f361278 (__TEXT,__text) non-external _auto_decoder_init
000000018f36155c (__TEXT,__text) non-external _auto_decoder_memconfig
000000018f373628 (__TEXT,__const) non-external _bcj_optmap
000000018f35fa54 (__TEXT,__text) non-external _block_buffer_encode
000000018f3618ac (__TEXT,__text) non-external _block_decode
000000018f361b20 (__TEXT,__text) non-external _block_decoder_end
000000018f35a314 (__TEXT,__text) non-external _block_encode
000000018f35fcf8 (__TEXT,__text) non-external _block_encode_normal
000000018f35fe60 (__TEXT,__text) non-external _block_encode_uncompressed
000000018f35e5fc (__TEXT,__text) non-external _block_encoder_end
000000018f358454 (__TEXT,__text) non-external _block_encoder_init
000000018f360008 (__TEXT,__text) non-external _block_encoder_update
000000018f35d4a8 (__TEXT,__text) non-external _bt_find_func
000000018f35b3f4 (__TEXT,__text) non-external _bt_skip_func
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _clock_gettime (from libSystem)
000000018f36d440 (__TEXT,__text) non-external _copy_or_code
000000018f36670c (__TEXT,__text) non-external _decode_buffer
000000018f361fd4 (__TEXT,__text) non-external _decoder_find
00000001e6a9fd68 (__AUTH_CONST,__const) non-external _decoders
000000018f36ccdc (__TEXT,__text) non-external _delta_coder_end
000000018f36cf00 (__TEXT,__text) non-external _delta_decode
000000018f36cd6c (__TEXT,__text) non-external _delta_encode
000000018f36ce9c (__TEXT,__text) non-external _delta_encoder_update
000000018f373640 (__TEXT,__const) non-external _delta_optmap
000000018f3589f8 (__TEXT,__text) non-external _encoder_find
00000001e6a9fb00 (__AUTH_CONST,__const) non-external _encoders
000000018f36f3f0 (__TEXT,__const) non-external _features
000000018f36742c (__TEXT,__text) non-external _file_info_decode
000000018f367a04 (__TEXT,__text) non-external _file_info_decoder_end
000000018f367a60 (__TEXT,__text) non-external _file_info_decoder_memconfig
00000001e6a9fec8 (__AUTH_CONST,__const) non-external _filter_name_map
                 (undefined) external _free (from libSystem)
000000018f35d5f4 (__TEXT,__text) non-external _get_literal_price
000000018f36e0ec (__TEXT,__text) non-external _get_options
000000018f36e96c (__TEXT,__text) non-external _get_progress
000000018f36c778 (__TEXT,__text) non-external _get_thread
000000018f362978 (__TEXT,__text) non-external _hash_append
000000018f364764 (__TEXT,__text) non-external _hc_find_func
000000018f36d918 (__TEXT,__text) non-external _ia64_code
000000018f3757c8 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
000000018f35f224 (__TEXT,__text) non-external _index_cat_helper
000000018f3622d8 (__TEXT,__text) non-external _index_decode
000000018f3625bc (__TEXT,__text) non-external _index_decoder_end
000000018f362600 (__TEXT,__text) non-external _index_decoder_memconfig
000000018f35de3c (__TEXT,__text) non-external _index_encode
000000018f35e704 (__TEXT,__text) non-external _index_encoder_end
000000018f35e780 (__TEXT,__text) non-external _index_stream_end
000000018f3580d0 (__TEXT,__text) non-external _index_tree_append
000000018f35e708 (__TEXT,__text) non-external _index_tree_node_end
000000018f3591ac (__TEXT,__text) non-external _is_options_valid
000000018f35e260 (__TEXT,__text) non-external _iter_set_info
000000018f35d910 (__TEXT,__text) non-external _length
000000018f359204 (__TEXT,__text) non-external _length_encoder_reset
