00000001d93a3578 (__DATA,__common) external _BC
00000001d93a3424 (__DATA,__common) external _COLORS
00000001a6fff190 (__TEXT,__text) external _COLOR_PAIR
00000001d93a3420 (__DATA,__common) external _COLOR_PAIRS
00000001d93a3564 (__DATA,__common) external _COLS
00000001d93a2fa0 (__DATA,__data) external _ESCDELAY
00000001d93a3560 (__DATA,__common) external _LINES
00000001a7000334 (__TEXT,__text) external _PAIR_NUMBER
00000001d93a3584 (__DATA,__common) external _PC
00000001d93a3450 (__DATA,__common) external _SP
00000001d93a3568 (__DATA,__common) external _TABSIZE
00000001d93a3570 (__DATA,__common) external _UP
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___sprintf_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00000001a6fddedc (__TEXT,__text) external __nc_access
00000001a6fe058c (__TEXT,__text) external __nc_add_to_try
00000001a6fe0d38 (__TEXT,__text) external __nc_align_termtype
00000001a6fe04ec (__TEXT,__text) external __nc_basename
00000001a6fe03cc (__TEXT,__text) external __nc_baudrate
00000001a6fe77c4 (__TEXT,__text) external __nc_build_wch
00000001a6ff8250 (__TEXT,__text) external __nc_capcmp
00000001a6fe1c54 (__TEXT,__text) external __nc_captoinfo
00000001dbb2ad98 (__AUTH,__data) external __nc_check_termtype
00000001dbb2ad90 (__AUTH,__data) external __nc_check_termtype2
00000001d93a31d8 (__DATA,__common) external __nc_comment_end
00000001d93a31d0 (__DATA,__common) external __nc_comment_start
00000001a6fe07d4 (__TEXT,__text) external __nc_copy_entry
00000001a6fe1524 (__TEXT,__text) external __nc_copy_termtype
00000001d93a31b8 (__DATA,__common) external __nc_curr_col
00000001d93a31c8 (__DATA,__common) external __nc_curr_file_pos
00000001d93a31b4 (__DATA,__common) external __nc_curr_line
00000001d93a31e8 (__DATA,__common) external __nc_curr_token
00000001a6fe5e00 (__TEXT,__text) external __nc_delink_entry
00000001d93a3200 (__DATA,__common) external __nc_disable_period
00000001a6fea2d0 (__TEXT,__text) external __nc_do_color
00000001a6fde788 (__TEXT,__text) external __nc_doalloc
00000001a6fe42f4 (__TEXT,__text) external __nc_entry_match
00000001a6fe3544 (__TEXT,__text) external __nc_err_abort
00000001a6ff9280 (__TEXT,__text) external __nc_expand_try
00000001a7001788 (__TEXT,__text) external __nc_expanded
00000001a6fe5ea8 (__TEXT,__text) external __nc_fallback
00000001a6fe3a5c (__TEXT,__text) external __nc_find_entry
00000001a6fe3b4c (__TEXT,__text) external __nc_find_type_entry
00000001a6fe5cc8 (__TEXT,__text) external __nc_first_db
00000001a6ff6900 (__TEXT,__text) external __nc_first_name
00000001a6ff478c (__TEXT,__text) external __nc_flush
00000001a6feaaf4 (__TEXT,__text) external __nc_free_and_exit
00000001a6fe5e74 (__TEXT,__text) external __nc_free_entries
00000001a6fe5dcc (__TEXT,__text) external __nc_free_entry
00000001a6fe5eb0 (__TEXT,__text) external __nc_free_termtype
00000001a6feaaf0 (__TEXT,__text) external __nc_freeall
00000001a6fef390 (__TEXT,__text) external __nc_freewin
00000001a6fe3234 (__TEXT,__text) external __nc_get_alias_table
00000001a6fe3218 (__TEXT,__text) external __nc_get_hash_table
00000001a6ff2aa0 (__TEXT,__text) external __nc_get_locale
00000001a6fde8d4 (__TEXT,__text) external __nc_get_screensize
00000001a6fe3340 (__TEXT,__text) external __nc_get_source
00000001a6fe3138 (__TEXT,__text) external __nc_get_table
00000001a6fe4af0 (__TEXT,__text) external __nc_get_token
00000001a6ff4e8c (__TEXT,__text) external __nc_get_tty_mode
00000001a6fe33d0 (__TEXT,__text) external __nc_get_type
00000001a6fdeab4 (__TEXT,__text) external __nc_getenv_num
00000001d93a2b90 (__DATA,__data) external __nc_globals
00000001a6ff29d4 (__TEXT,__text) external __nc_handle_sigwinch
00000001a6fed258 (__TEXT,__text) external __nc_has_mouse
00000001a6fe617c (__TEXT,__text) external __nc_hash_map
00000001d93a3208 (__DATA,__common) external __nc_head
00000001a6fddd24 (__TEXT,__text) external __nc_home_terminfo
00000001a6fe28f0 (__TEXT,__text) external __nc_infotocap
00000001a6fe7234 (__TEXT,__text) external __nc_init_acs
00000001a6fe06cc (__TEXT,__text) external __nc_init_entry
00000001a6fe6ea8 (__TEXT,__text) external __nc_init_keytry
00000001a6ff6248 (__TEXT,__text) external __nc_init_wacs
00000001a6fec580 (__TEXT,__text) external __nc_insert_ch
00000001a6fe0524 (__TEXT,__text) external __nc_is_abs_path
00000001a6fe3104 (__TEXT,__text) external __nc_is_charable
00000001a6fddda0 (__TEXT,__text) external __nc_is_dir_path
00000001a6fe0538 (__TEXT,__text) external __nc_is_file_path
00000001a6fe5b90 (__TEXT,__text) external __nc_keep_tic_dir
00000001a6ffec80 (__TEXT,__text) external __nc_keyname
00000001a6fefac8 (__TEXT,__text) external __nc_keypad
00000001a6fde7e4 (__TEXT,__text) external __nc_last_db
00000001a6fe5ea4 (__TEXT,__text) external __nc_leaks_tinfo
00000001a6ff2adc (__TEXT,__text) external __nc_locale_breaks_acs
00000001a6fe6b74 (__TEXT,__text) external __nc_make_oldhash
