                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80ca384cf (__TEXT,__text) external ___cmph_dump
00007ff80ca3852b (__TEXT,__text) external ___cmph_load
00007ff80ca384c5 (__TEXT,__text) external ___config_destroy
00007ff80ca3848c (__TEXT,__text) external ___config_new
00007ff80ca3b254 (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80ca2e84b (__TEXT,__text) external _bdz_config_destroy
00007ff80ca2e814 (__TEXT,__text) external _bdz_config_new
00007ff80ca2e859 (__TEXT,__text) external _bdz_config_set_b
00007ff80ca2e874 (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80ca2f7fa (__TEXT,__text) external _bdz_destroy
00007ff80ca2f3fa (__TEXT,__text) external _bdz_dump
00007ff80ca2fac4 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80ca2f53f (__TEXT,__text) external _bdz_load
00007ff80ca3cda0 (__TEXT,__const) external _bdz_lookup_table
00007ff80ca2e888 (__TEXT,__text) external _bdz_new
00007ff80ca2f837 (__TEXT,__text) external _bdz_pack
00007ff80ca2f8dc (__TEXT,__text) external _bdz_packed_size
00007ff80ca2fb72 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80ca2fb4a (__TEXT,__text) external _bdz_ph_config_new
00007ff80ca3c14d (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80ca2fb80 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80ca308f3 (__TEXT,__text) external _bdz_ph_destroy
00007ff80ca305f4 (__TEXT,__text) external _bdz_ph_dump
00007ff80ca30b15 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80ca306e0 (__TEXT,__text) external _bdz_ph_load
00007ff80ca2fb93 (__TEXT,__text) external _bdz_ph_new
00007ff80ca30927 (__TEXT,__text) external _bdz_ph_pack
