                 (undefined) external _CFDataCreate (from CoreFoundation)
                 (undefined) external _CFDataCreateWithBytesNoCopy (from CoreFoundation)
                 (undefined) external _CFDataGetMutableBytePtr (from CoreFoundation)
                 (undefined) external _CFDictionaryCreate (from CoreFoundation)
                 (undefined) external _CFErrorCreateWithUserInfoKeysAndValues (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCString (from CoreFoundation)
00007ffb18c135b1 (__TEXT,__text) external _DRBufferAsResource
00007ffb18c137be (__TEXT,__text) external _DRBufferCopyDescriptor
00007ffb18c136eb (__TEXT,__text) external _DRBufferCreateUnmanaged
00007ffb18c13648 (__TEXT,__text) external _DRBufferDescriptorCreate
00007ffb18c13697 (__TEXT,__text) external _DRBufferDescriptorGetCapacity
00007ffb18c136c1 (__TEXT,__text) external _DRBufferDescriptorGetSizeMultiple
00007ffb18c136ac (__TEXT,__text) external _DRBufferDescriptorSetCapacity
00007ffb18c136d6 (__TEXT,__text) external _DRBufferDescriptorSetSizeMultiple
00007ffb18c13822 (__TEXT,__text) external _DRBufferGetBytesUsed
00007ffb18c1384c (__TEXT,__text) external _DRBufferRead
00007ffb18c1388b (__TEXT,__text) external _DRBufferReadUsing
00007ffb18c13861 (__TEXT,__text) external _DRBufferReplace
00007ffb18c138d2 (__TEXT,__text) external _DRBufferReplaceUsing
00007ffb18c13837 (__TEXT,__text) external _DRBufferSetBytesUsed
00007ffb18c13876 (__TEXT,__text) external _DRBufferUpdate
00007ffb18c13aa8 (__TEXT,__text) external _DRClientConnectionConfigCreate
00007ffb18c13b03 (__TEXT,__text) external _DRClientConnectionConfigSetServiceQueue
00007ffb18c13aee (__TEXT,__text) external _DRClientConnectionConfigSetUserData
00007ffb18c13c34 (__TEXT,__text) external _DRClientConnectionGetCommitQueue
00007ffb18c13c4f (__TEXT,__text) external _DRClientConnectionReceive
00007ffb18c13c6c (__TEXT,__text) external _DRClientConnectionTearDown
00007ffb18c13ea2 (__TEXT,__text) external _DRCommitQueueApplyAll
00007ffb18c13df0 (__TEXT,__text) external _DRCommitQueueApplyThrough
00007ffb18c13f20 (__TEXT,__text) external _DRCommitQueueEntryGetCommitId
00007ffb18c13f29 (__TEXT,__text) external _DRCommitQueueEntryGetUserPayload
00007ffb18c13d4c (__TEXT,__text) external _DRCommitQueueEnumerate
00007ffb18c13eb6 (__TEXT,__text) external _DRCommitQueueGetLastAppliedCommitId
00007ffb18c13ecb (__TEXT,__text) external _DRCommitQueueGetLatestAvailableCommitId
00007ffb18c13ee0 (__TEXT,__text) external _DRCommitQueueTakeFrom
00007ffb18c13f00 (__TEXT,__text) external _DRCommitQueueTakeThrough
00007ffb18c12cde (__TEXT,__text) external _DRContextCommit
00007ffb18c12e20 (__TEXT,__text) external _DRContextCommitAddFence
00007ffb18c12872 (__TEXT,__text) external _DRContextConfigCreate
00007ffb18c1290d (__TEXT,__text) external _DRContextConfigGetMode
00007ffb18c12961 (__TEXT,__text) external _DRContextConfigSetDevice
00007ffb18c128df (__TEXT,__text) external _DRContextConfigSetDispatchQueue
00007ffb18c12937 (__TEXT,__text) external _DRContextConfigSetMaxPendingFrames
00007ffb18c128f8 (__TEXT,__text) external _DRContextConfigSetMode
00007ffb18c12922 (__TEXT,__text) external _DRContextConfigSetReuseStrategy
00007ffb18c1294c (__TEXT,__text) external _DRContextConfigSetUnusedResourceMaxAge
00007ffb18c129da (__TEXT,__text) external _DRContextCreate
