
/System/Library/PrivateFrameworks/SharedWebCredentials.framework/Support/swcutil (for architecture x86_64):
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CC_SHA256 (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURLInDirectory (from CoreFoundation)
                 (undefined) external _CFBundleCopyResourceURLsOfTypeInDirectory (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _NSCocoaErrorDomain (from Foundation)
                 (undefined) external _NSDebugDescriptionErrorKey (from Foundation)
                 (undefined) external _NSOSStatusErrorDomain (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSStringFromClass (from Foundation)
                 (undefined) external _NSURLAuthenticationMethodServerTrust (from CFNetwork)
                 (undefined) external _NSURLErrorDomain (from Foundation)
                 (undefined) external _NSUnderlyingErrorKey (from Foundation)
                 (undefined) external _OBJC_CLASS_$_LSAppLink (from CoreServices)
                 (undefined) external _OBJC_CLASS_$_LSApplicationWorkspace (from CoreServices)
                 (undefined) external _OBJC_CLASS_$_LSBundleRecord (from CoreServices)
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from CFNetwork)
                 (undefined) external _OBJC_CLASS_$_NSISO8601DateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedArchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSKeyedUnarchiver (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMapTable (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from CFNetwork)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSOperationQueue (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSOrderedSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSPropertyListSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLCredential (from CFNetwork)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from CFNetwork)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from CFNetwork)
                 (undefined) external _OBJC_CLASS_$__LSOpenConfiguration (from CoreServices)
                 (undefined) external _OBJC_CLASS_$__SWCApplicationIdentifier (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCDomain (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCGeneration (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCPatternList (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCPatternMatchingEngine (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCPrefs (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCServiceDetails (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCServiceSettings (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCServiceSpecifier (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCSubstitutionVariableList (from SharedWebCredentials)
                 (undefined) external _OBJC_CLASS_$__SWCTrackingDomainInfo (from SharedWebCredentials)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _SecCMSVerifyCopyDataAndAttributes (from Security)
                 (undefined) external _SecCertificateCopyCommonName (from Security)
                 (undefined) external _SecTrustCopyFailureDescription (from Security)
                 (undefined) external _SecTrustCopyResult (from Security)
                 (undefined) external _SecTrustEvaluateWithError (from Security)
                 (undefined) external _SecTrustGetCertificateAtIndex (from Security)
                 (undefined) external _SecTrustGetCertificateCount (from Security)
                 (undefined) external _SecTrustGetKeychainsAllowed (from Security)
                 (undefined) external _SecTrustGetTrustResult (from Security)
                 (undefined) external _SecTrustSetKeychainsAllowed (from Security)
                 (undefined) external _SecTrustStoreContains (from Security)
                 (undefined) external _SecTrustStoreForDomain (from Security)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __CFGetEUID (from CoreFoundation)
                 (undefined) external __CFURLRequestSetAllowedProtocolTypes (from CFNetwork)
                 (undefined) external __LSPersistentIdentifierGetDebugDescription (from CoreServices)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external __NSIsNSArray (from CoreFoundation)
                 (undefined) external __NSIsNSDictionary (from CoreFoundation)
                 (undefined) external __NSIsNSNumber (from CoreFoundation)
                 (undefined) external __NSIsNSString (from CoreFoundation)
                 (undefined) external __SWCDiagnosticStorage (from SharedWebCredentials)
                 (undefined) external __SWCEnabledConfigurationGetFromDetails (from SharedWebCredentials)
                 (undefined) external __SWCErrorDomain (from SharedWebCredentials)
                 (undefined) external __SWCFieldsEncodeWithCoder (from SharedWebCredentials)
                 (undefined) external __SWCFieldsLogDebugDescription (from SharedWebCredentials)
                 (undefined) external __SWCFieldsMakeWithCoder (from SharedWebCredentials)
                 (undefined) external __SWCFileIsTTY (from SharedWebCredentials)
                 (undefined) external __SWCGetServerConnection (from SharedWebCredentials)
                 (undefined) external __SWCLogHeader (from SharedWebCredentials)
                 (undefined) external __SWCLogObject (from SharedWebCredentials)
                 (undefined) external __SWCLogSeparator (from SharedWebCredentials)
                 (undefined) external __SWCLogSubsystem (from SharedWebCredentials)
                 (undefined) external __SWCLogValueForKey (from SharedWebCredentials)
                 (undefined) external __SWCServiceApprovalStateGetDebugDescription (from SharedWebCredentials)
                 (undefined) external __SWCServiceTypeAppLinks (from SharedWebCredentials)
                 (undefined) external __SWCServiceTypeCanonicalize (from SharedWebCredentials)
                 (undefined) external __SWCServiceTypeMaximumDetailsCount (from SharedWebCredentials)
                 (undefined) external __Unwind_Resume (from libSystem)
                 (undefined) external __ZNSt3__112__next_primeEm (from libc++)
                 (undefined) external __ZNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEaSERKS5_ (from libc++)
                 (undefined) external __ZTVN10__cxxabiv117__class_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv119__pointer_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv120__function_type_infoE (from libc++)
                 (undefined) external __ZTVN10__cxxabiv120__si_class_type_infoE (from libc++)
                 (undefined) external __ZdlPv (from libc++)
                 (undefined) external __ZdlPvSt19__type_descriptor_t (from libc++)
                 (undefined) external __Znwm (from libc++)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___gxx_personality_v0 (from libc++)
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external __dispatch_source_type_timer (from libSystem)
0000000100000000 (__TEXT,__text) [referenced dynamically] external __mh_execute_header
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_debug_impl (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_fault_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random_buf (from libSystem)
                 (undefined) external _arc4random_uniform (from libSystem)
                 (undefined) external _class_getName (from libobjc)
                 (undefined) external _dispatch_assert_queue$V2 (from libSystem)
