00007ff80eba74a7 (__TEXT,__text) non-external _Annihilate
00007ff80ebee89a (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80ebee90e (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80ebee8d4 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80ebefd58 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80ebf05a9 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80ebee948 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80eba72a0 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80ebcbc57 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80eb9878c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80eba8ac9 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80eb9898f (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80ebed264 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80ebedc04 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80eb98bfb (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80ebb0c9c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80ebc0d2d (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80ebc1a2a (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80ebc0030 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80ebc0435 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80ebc1132 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80ebbf738 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80eba1120 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80eba2896 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80eba3e98 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80eba549a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80eba1294 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80ebe4258 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80ebe55e2 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80ebe5e73 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80ebe6704 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80ebe6f95 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80ebe7826 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80ebe80b7 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00007ff80ebe8948 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00007ff80ebe9251 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00007ff80ebe44c0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00007ff80ebe4d51 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00007ff80ebba6fc (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00007ff80ebd3cd0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00007ff80ebc6bf1 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00007ff80ebb9c9a (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00007ff80ebc6ac8 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00007ff80ebaf37c (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00007ff80ebaf44d (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00007ff80ebaf52c (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00007ff80ebaf418 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00007ff80ebb36a5 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00007ff80ebb369c (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00007ff80ebb357c (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00007ff80ebb5e66 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00007ff80ebb365e (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00007ff80ebb3645 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00007ff80ebaf330 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00007ff80ebb5e2b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00007ff80ebb5d9b (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00007ff80ebb5c3c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00007ff80ebb5d22 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00007ff80ebb35b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00007ff80eb9ec95 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00007ff80ebaf0bf (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00007ff80ebaf0cc (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00007ff80eba9cef (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00007ff80eb99e13 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00007ff80eb9ba98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00007ff80eb99b98 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00007ff80eb99ce5 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00007ff80eb9ec0c (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00007ff80eb9ca46 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00007ff80eb99de9 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00007ff80eb99af0 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00007ff80eb9ec1f (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00007ff80eb9ec95 (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00007ff80ebb1f04 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00007ff80ebb8c73 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00007ff80ebe1dac (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
00007ff80eba73b3 (__TEXT,__text) non-external (was a private external) _BrotliFree
00007ff80eba8ab6 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00007ff80ebca587 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00007ff80ebc0977 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00007ff80ebc1674 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00007ff80ebbfc7a (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00007ff80ebc06bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00007ff80ebc13b9 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00007ff80ebbf9bf (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00007ff80ebc0b8d (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00007ff80ebc188a (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00007ff80ebbfe90 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00007ff80ebc0a06 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00007ff80ebc1703 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00007ff80ebbfd09 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00007ff80ebaf191 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00007ff80eba9cdb (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00007ff80ebed139 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
00007ff80ebca523 (__TEXT,__text) non-external (was a private external) _BrotliInitEncoderDictionary
00007ff80eba725e (__TEXT,__text) non-external (was a private external) _BrotliInitMemoryManager
00007ff80ebc4c19 (__TEXT,__text) non-external (was a private external) _BrotliInitZopfliNodes
00007ff80ebe3b58 (__TEXT,__text) non-external (was a private external) _BrotliIsMostlyUTF8
00007ff80ebee256 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHistograms
00007ff80ebb9f18 (__TEXT,__text) non-external (was a private external) _BrotliOptimizeHuffmanCountsForRle
00007ff80ebd0508 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostCommand
00007ff80ebd0a54 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostDistance
00007ff80ebcffe8 (__TEXT,__text) non-external (was a private external) _BrotliPopulationCostLiteral
00007ff80ec14eb0 (__TEXT,__const) non-external _BrotliReverseBits.kLut
00007ff80ebaf1f5 (__TEXT,__text) non-external (was a private external) _BrotliSafeReadBits32Slow
00007ff80ebb9bff (__TEXT,__text) non-external (was a private external) _BrotliSetDepth
00007ff80eba8ac3 (__TEXT,__text) non-external (was a private external) _BrotliSetDictionaryData
00007ff80eba9d2a (__TEXT,__text) non-external (was a private external) _BrotliSplitBlock
00007ff80ebcb99c (__TEXT,__text) non-external (was a private external) _BrotliStoreHuffmanTree
00007ff80ec49408 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeBitLengths
00007ff80ec49402 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kHuffmanBitLengthHuffmanCodeSymbols
00007ff80ec493f0 (__TEXT,__const) non-external _BrotliStoreHuffmanTreeOfHuffmanTreeToBitMask.kStorageOrder
00007ff80ebcc3ac (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlock
00007ff80ebcec56 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockFast
00007ff80eba6b1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80eba6b1d (__TEXT,__text) non-external _BrotliStoreMetaBlockHeader
00007ff80ebce2a0 (__TEXT,__text) non-external (was a private external) _BrotliStoreMetaBlockTrivial
00007ff80ebcf061 (__TEXT,__text) non-external (was a private external) _BrotliStoreUncompressedMetaBlock
00007ff80ebca594 (__TEXT,__text) non-external (was a private external) _BrotliTransformDictionaryWord
00007ff80ebaf1a5 (__TEXT,__text) non-external (was a private external) _BrotliWarmupBitReader
00007ff80eba73f8 (__TEXT,__text) non-external (was a private external) _BrotliWipeOutMemoryManager
00007ff80ebba2fb (__TEXT,__text) non-external (was a private external) _BrotliWriteHuffmanTree
00007ff80ebc4f62 (__TEXT,__text) non-external (was a private external) _BrotliZopfliComputeShortestPath
00007ff80ebc4c3c (__TEXT,__text) non-external (was a private external) _BrotliZopfliCreateCommands
00007ff80ebcd018 (__TEXT,__text) non-external _BuildAndStoreBlockSwitchEntropyCodes
00007ff80eba702c (__TEXT,__text) non-external _BuildAndStoreCommandPrefixCode
00007ff80ebce5dd (__TEXT,__text) non-external _BuildAndStoreHuffmanTree
00007ff80eba6bd3 (__TEXT,__text) non-external _BuildAndStoreLiteralPrefixCode
00007ff80ebce515 (__TEXT,__text) non-external _BuildHistograms
00007ff80ebf4d80 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapContinuation
00007ff80ebf4e80 (__TEXT,__const) non-external _ChooseContextMap.kStaticContextMapSimpleUTF8
00007ff80eb9eca0 (__TEXT,__text) non-external _ChooseDistanceParams
00007ff80eba72ef (__TEXT,__text) non-external _CollectGarbagePointers
00007ff80ebeda0a (__TEXT,__text) non-external _ComputeDistanceCost
00007ff80ebc6a49 (__TEXT,__text) non-external _ComputeShortestPathFromNodes
00007ff80ebef199 (__TEXT,__text) non-external _ContextBlockSplitterFinishBlock
00007ff80ebb190c (__TEXT,__text) non-external _CopyUncompressedBlockToOutput
00007ff80ebd3e94 (__TEXT,__text) non-external _CreateBackwardReferencesNH2
00007ff80ebd4dae (__TEXT,__text) non-external _CreateBackwardReferencesNH3
00007ff80ebde317 (__TEXT,__text) non-external _CreateBackwardReferencesNH35
00007ff80ebd5a89 (__TEXT,__text) non-external _CreateBackwardReferencesNH4
00007ff80ebd96f4 (__TEXT,__text) non-external _CreateBackwardReferencesNH40
00007ff80ebdab42 (__TEXT,__text) non-external _CreateBackwardReferencesNH41
00007ff80ebdc02a (__TEXT,__text) non-external _CreateBackwardReferencesNH42
00007ff80ebd6be6 (__TEXT,__text) non-external _CreateBackwardReferencesNH5
00007ff80ebdd5e8 (__TEXT,__text) non-external _CreateBackwardReferencesNH54
00007ff80ebdf306 (__TEXT,__text) non-external _CreateBackwardReferencesNH55
00007ff80ebd8171 (__TEXT,__text) non-external _CreateBackwardReferencesNH6
00007ff80ebe03b2 (__TEXT,__text) non-external _CreateBackwardReferencesNH65
00007ff80eb9fe71 (__TEXT,__text) non-external _DecideOverLiteralContextModeling
00007ff80ebf4c70 (__TEXT,__const) non-external _DecideOverLiteralContextModeling.lut
00007ff80ebb3cc5 (__TEXT,__text) non-external _DecodeCommandBlockSwitch
00007ff80ebb1a81 (__TEXT,__text) non-external _DecodeContextMap
00007ff80ebb4815 (__TEXT,__text) non-external _DecodeDistanceBlockSwitch
00007ff80ebb4276 (__TEXT,__text) non-external _DecodeLiteralBlockSwitch
00007ff80ebb0731 (__TEXT,__text) non-external _DecodeMetaBlockLength
00007ff80ebb0cfe (__TEXT,__text) non-external _DecodeVarLenUint8
00007ff80eba6a9c (__TEXT,__text) non-external _EmitUncompressedMetaBlock
00007ff80ebcd547 (__TEXT,__text) non-external _EncodeContextMap
00007ff80eb9cb75 (__TEXT,__text) non-external _EncodeData
00007ff80ebc686c (__TEXT,__text) non-external _EvaluateNode
00007ff80eb9f735 (__TEXT,__text) non-external _ExtendLastCommand
00007ff80ec14f80 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80ec528f0 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80ec6b400 (__TEXT,__const) non-external _FSE_mask_lsb64.mtable
00007ff80eb9f577 (__TEXT,__text) non-external _GetBrotliStorage
00007ff80eb9f5eb (__TEXT,__text) non-external _GetHashTable
00007ff80ebee524 (__TEXT,__text) non-external _InitBlockSplitterCommand
00007ff80ebee6df (__TEXT,__text) non-external _InitBlockSplitterDistance
00007ff80ebee369 (__TEXT,__text) non-external _InitBlockSplitterLiteral
00007ff80ebf4b70 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandBits
00007ff80ec6b8a0 (__TEXT,__cstring) non-external _InitCommandPrefixCodes.kDefaultCommandCode
00007ff80ebf4af0 (__TEXT,__const) non-external _InitCommandPrefixCodes.kDefaultCommandDepths
00007ff80ebc5e12 (__TEXT,__text) non-external _InitZopfliCostModel
00007ff80eb9ef63 (__TEXT,__text) non-external _InitializeH6
00007ff80eb9ca64 (__TEXT,__text) non-external _InjectFlushOrPushOutput
00007ff80ebb376f (__TEXT,__text) non-external _InverseMoveToFrontTransform
00007ff80ebbb9aa (__TEXT,__text) non-external _LZFSEIBootBufferCopy
00007ff80ebbb95c (__TEXT,__text) non-external _LZFSEIBootBufferPush
00007ff80ebbb881 (__TEXT,__text) non-external _LZFSEIBootBufferPushN
00007ff80ebf0dfa (__TEXT,__text) non-external _MapStaticContexts
00007ff80eb9f28d (__TEXT,__text) non-external _PrepareH35
00007ff80eb9efca (__TEXT,__text) non-external _PrepareH4
00007ff80eb9f0ee (__TEXT,__text) non-external _PrepareH40
00007ff80eb9f0ee (__TEXT,__text) non-external _PrepareH41
00007ff80eb9f186 (__TEXT,__text) non-external _PrepareH42
00007ff80eb9f031 (__TEXT,__text) non-external _PrepareH5
00007ff80eb9f226 (__TEXT,__text) non-external _PrepareH54
00007ff80eb9f38f (__TEXT,__text) non-external _PrepareH55
00007ff80eb9f085 (__TEXT,__text) non-external _PrepareH6
00007ff80eb9f441 (__TEXT,__text) non-external _PrepareH65
00007ff80ebb1fa9 (__TEXT,__text) non-external _ProcessCommands
00007ff80ebb0eb9 (__TEXT,__text) non-external _ReadHuffmanCode
00007ff80ebb3963 (__TEXT,__text) non-external _SafeDecodeCommandBlockSwitch
00007ff80ebb44a4 (__TEXT,__text) non-external _SafeDecodeDistanceBlockSwitch
00007ff80ebb3ea7 (__TEXT,__text) non-external _SafeDecodeLiteralBlockSwitch
00007ff80ebb36cf (__TEXT,__text) non-external _SafeDecodeSymbol
00007ff80ebb2a10 (__TEXT,__text) non-external _SafeProcessCommands
00007ff80ebb05e8 (__TEXT,__text) non-external _SaveErrorCode
00007ff80ebc802e (__TEXT,__text) non-external _SetCost
00007ff80ebca7b5 (__TEXT,__text) non-external _Shift
00007ff80eb9ece6 (__TEXT,__text) non-external _ShouldCompress
00007ff80ebe9b5a (__TEXT,__text) non-external _ShouldCompress
00007ff80eba6e11 (__TEXT,__text) non-external _ShouldMergeBlock
00007ff80ebf4c80 (__TEXT,__const) non-external _ShouldUseComplexStaticContextMap.kStaticContextMapComplexUTF8
00007ff80eba7433 (__TEXT,__text) non-external _SortPointers
00007ff80ebf5250 (__TEXT,__const) non-external _SortPointers.gaps
00007ff80ebe9db1 (__TEXT,__text) non-external _StoreCommands
00007ff80ec4a170 (__TEXT,__const) non-external _StoreCommands.kInsertOffset
00007ff80ec49f70 (__TEXT,__const) non-external _StoreCommands.kNumExtraBits
00007ff80ebcced1 (__TEXT,__text) non-external _StoreCompressedMetaBlockHeader
00007ff80ebce974 (__TEXT,__text) non-external _StoreDataWithHuffmanCodes
00007ff80ebcdf1d (__TEXT,__text) non-external _StoreSymbol
00007ff80ebce0d5 (__TEXT,__text) non-external _StoreSymbolWithContext
00007ff80ebcd2fc (__TEXT,__text) non-external _StoreTrivialContextMap
00007ff80ebcf1de (__TEXT,__text) non-external _StoreVarLenUint8
00007ff80eba6fa9 (__TEXT,__text) non-external _UpdateBits
00007ff80eb9f6c5 (__TEXT,__text) non-external _UpdateLastProcessedPos
00007ff80ebc5fce (__TEXT,__text) non-external _UpdateNodes
