00000001bab67658 (__TEXT,__text) non-external -[OS_axr_data copy]
00000001bab6741c (__TEXT,__text) non-external -[OS_axr_data dealloc]
00000001bab674c4 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00000001babed570 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00000001babed5e4 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00000001babed658 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00000001bab67484 (__TEXT,__text) non-external -[OS_axr_data description]
00000001bab67678 (__TEXT,__text) non-external -[OS_axr_data hash]
00000001bab6765c (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00000001babdcea0 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00000001babdce60 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00000001babdcbe0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00000001babdce54 (__TEXT,__text) non-external -[OS_axr_decoder description]
00000001babd75a0 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00000001babd758c (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00000001babd7594 (__TEXT,__text) non-external -[OS_axr_encoder description]
00000001babd5cc8 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00000001babd5be8 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00000001babd5cbc (__TEXT,__text) non-external -[OS_axr_part description]
00000001bac0fa6c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001bac0fa9c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001bac0fb78 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001bac0fb20 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001bac0fb88 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac0fb98 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac0fbc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001bac0faac (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001bac0fabc (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001bac0fa8c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001bac0fae4 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
