000000018bb16348 (__TEXT,__const) non-external _KW_ANY
000000018bb162cd (__TEXT,__const) non-external _KW_ATTLIST
000000018bb162fb (__TEXT,__const) non-external _KW_CDATA
000000018bb162b0 (__TEXT,__const) non-external _KW_DOCTYPE
000000018bb162d5 (__TEXT,__const) non-external _KW_ELEMENT
000000018bb16342 (__TEXT,__const) non-external _KW_EMPTY
000000018bb16311 (__TEXT,__const) non-external _KW_ENTITIES
000000018bb162c6 (__TEXT,__const) non-external _KW_ENTITY
000000018bb1633c (__TEXT,__const) non-external _KW_FIXED
000000018bb16301 (__TEXT,__const) non-external _KW_ID
000000018bb16304 (__TEXT,__const) non-external _KW_IDREF
000000018bb1630a (__TEXT,__const) non-external _KW_IDREFS
000000018bb162ee (__TEXT,__const) non-external _KW_IGNORE
000000018bb1632b (__TEXT,__const) non-external _KW_IMPLIED
000000018bb162e6 (__TEXT,__const) non-external _KW_INCLUDE
000000018bb16a58 (__TEXT,__const) non-external _KW_ISO_8859_1
000000018bb162f5 (__TEXT,__const) non-external _KW_NDATA
000000018bb1631a (__TEXT,__const) non-external _KW_NMTOKEN
000000018bb16322 (__TEXT,__const) non-external _KW_NMTOKENS
000000018bb162dd (__TEXT,__const) non-external _KW_NOTATION
000000018bb1634c (__TEXT,__const) non-external _KW_PCDATA
000000018bb162bf (__TEXT,__const) non-external _KW_PUBLIC
000000018bb16333 (__TEXT,__const) non-external _KW_REQUIRED
000000018bb162b8 (__TEXT,__const) non-external _KW_SYSTEM
000000018bb16a63 (__TEXT,__const) non-external _KW_US_ASCII
000000018bb16a72 (__TEXT,__const) non-external _KW_UTF_16
000000018bb16a79 (__TEXT,__const) non-external _KW_UTF_16BE
000000018bb16a82 (__TEXT,__const) non-external _KW_UTF_16LE
000000018bb16a6c (__TEXT,__const) non-external _KW_UTF_8
000000018bb16a99 (__TEXT,__const) non-external _KW_encoding
000000018bb16ab1 (__TEXT,__const) non-external _KW_no
000000018bb16aa2 (__TEXT,__const) non-external _KW_standalone
000000018bb16a91 (__TEXT,__const) non-external _KW_version
000000018bb16aad (__TEXT,__const) non-external _KW_yes
000000018baff1b8 (__TEXT,__text) external _XML_DefaultCurrent
000000018baff2e8 (__TEXT,__text) external _XML_ErrorString
000000018baff30c (__TEXT,__text) external _XML_ExpatVersion
000000018baff318 (__TEXT,__text) external _XML_ExpatVersionInfo
000000018bafd99c (__TEXT,__text) external _XML_ExternalEntityParserCreate
000000018baff164 (__TEXT,__text) external _XML_FreeContentModel
000000018bafe694 (__TEXT,__text) external _XML_GetBase
000000018bafead4 (__TEXT,__text) external _XML_GetBuffer
000000018baff048 (__TEXT,__text) external _XML_GetCurrentByteCount
000000018baff024 (__TEXT,__text) external _XML_GetCurrentByteIndex
000000018baff10c (__TEXT,__text) external _XML_GetCurrentColumnNumber
000000018baff0b0 (__TEXT,__text) external _XML_GetCurrentLineNumber
000000018baff010 (__TEXT,__text) external _XML_GetErrorCode
000000018baff328 (__TEXT,__text) external _XML_GetFeatureList
00000001d1fa9708 (__DATA_CONST,__const) non-external _XML_GetFeatureList.features
000000018bafe6b4 (__TEXT,__text) external _XML_GetIdAttributeIndex
000000018baff070 (__TEXT,__text) external _XML_GetInputContext
000000018bafefe8 (__TEXT,__text) external _XML_GetParsingStatus
000000018bb15430 (__TEXT,__text) non-external _XML_GetParsingStatus.cold.1
000000018bafe6a0 (__TEXT,__text) external _XML_GetSpecifiedAttributeCount
000000018baff1a4 (__TEXT,__text) external _XML_MemFree
000000018baff178 (__TEXT,__text) external _XML_MemMalloc
000000018baff18c (__TEXT,__text) external _XML_MemRealloc
000000018bafe890 (__TEXT,__text) external _XML_Parse
000000018bafed24 (__TEXT,__text) external _XML_ParseBuffer
000000018bafd13c (__TEXT,__text) external _XML_ParserCreate
000000018bafd154 (__TEXT,__text) external _XML_ParserCreateNS
000000018bafd14c (__TEXT,__text) external _XML_ParserCreate_MM
000000018bafe148 (__TEXT,__text) external _XML_ParserFree
000000018bafd3e8 (__TEXT,__text) external _XML_ParserReset
000000018bafeef8 (__TEXT,__text) external _XML_ResumeParser
000000018bafe810 (__TEXT,__text) external _XML_SetAttlistDeclHandler
000000018bafe5e4 (__TEXT,__text) external _XML_SetBase
000000018baff364 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionActivationThreshold
000000018baff334 (__TEXT,__text) external _XML_SetBillionLaughsAttackProtectionMaximumAmplification
000000018bafe710 (__TEXT,__text) external _XML_SetCdataSectionHandler
000000018bafe6ec (__TEXT,__text) external _XML_SetCharacterDataHandler
000000018bafe704 (__TEXT,__text) external _XML_SetCommentHandler
000000018bafe734 (__TEXT,__text) external _XML_SetDefaultHandler
000000018bafe744 (__TEXT,__text) external _XML_SetDefaultHandlerExpand
000000018bafe758 (__TEXT,__text) external _XML_SetDoctypeDeclHandler
000000018bafe804 (__TEXT,__text) external _XML_SetElementDeclHandler
000000018bafe6c8 (__TEXT,__text) external _XML_SetElementHandler
000000018bafd8c8 (__TEXT,__text) external _XML_SetEncoding
000000018bafe728 (__TEXT,__text) external _XML_SetEndCdataSectionHandler
000000018bafe770 (__TEXT,__text) external _XML_SetEndDoctypeDeclHandler
000000018bafe6e0 (__TEXT,__text) external _XML_SetEndElementHandler
000000018bafe7ac (__TEXT,__text) external _XML_SetEndNamespaceDeclHandler
000000018bafe81c (__TEXT,__text) external _XML_SetEntityDeclHandler
000000018bafe7c4 (__TEXT,__text) external _XML_SetExternalEntityRefHandler
000000018bafe7d0 (__TEXT,__text) external _XML_SetExternalEntityRefHandlerArg
000000018bafe85c (__TEXT,__text) external _XML_SetHashSalt
000000018bafe794 (__TEXT,__text) external _XML_SetNamespaceDeclHandler
000000018bafe7b8 (__TEXT,__text) external _XML_SetNotStandaloneHandler
000000018bafe788 (__TEXT,__text) external _XML_SetNotationDeclHandler
000000018bafe834 (__TEXT,__text) external _XML_SetParamEntityParsing
000000018bafe6f8 (__TEXT,__text) external _XML_SetProcessingInstructionHandler
000000018bafe59c (__TEXT,__text) external _XML_SetReturnNSTriplet
000000018bafe7e8 (__TEXT,__text) external _XML_SetSkippedEntityHandler
000000018bafe71c (__TEXT,__text) external _XML_SetStartCdataSectionHandler
000000018bafe764 (__TEXT,__text) external _XML_SetStartDoctypeDeclHandler
000000018bafe6d4 (__TEXT,__text) external _XML_SetStartElementHandler
000000018bafe7a0 (__TEXT,__text) external _XML_SetStartNamespaceDeclHandler
000000018bafe7f4 (__TEXT,__text) external _XML_SetUnknownEncodingHandler
000000018bafe77c (__TEXT,__text) external _XML_SetUnparsedEntityDeclHandler
000000018bafe5c4 (__TEXT,__text) external _XML_SetUserData
000000018bafe828 (__TEXT,__text) external _XML_SetXmlDeclHandler
000000018bafee84 (__TEXT,__text) external _XML_StopParser
000000018bafe568 (__TEXT,__text) external _XML_UseForeignDTD
000000018bafe55c (__TEXT,__text) external _XML_UseParserAsHandlerArg
000000018bb08c54 (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncoding
000000018bb091dc (__TEXT,__text) non-external (was a private external) _XmlGetUtf16InternalEncodingNS
000000018bb08c48 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncoding
000000018bb091d0 (__TEXT,__text) non-external (was a private external) _XmlGetUtf8InternalEncodingNS
000000018bb08c60 (__TEXT,__text) non-external (was a private external) _XmlInitEncoding
000000018bb091e8 (__TEXT,__text) non-external (was a private external) _XmlInitEncodingNS
000000018bb086a4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncoding
000000018bb093f4 (__TEXT,__text) non-external (was a private external) _XmlInitUnknownEncodingNS
000000018bb08d8c (__TEXT,__text) non-external (was a private external) _XmlParseXmlDecl
000000018bb092a4 (__TEXT,__text) non-external (was a private external) _XmlParseXmlDeclNS
000000018bb06474 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInit
000000018bb065b4 (__TEXT,__text) non-external (was a private external) _XmlPrologStateInitExternalEntity
000000018bb0869c (__TEXT,__text) non-external (was a private external) _XmlSizeOfUnknownEncoding
000000018bb0864c (__TEXT,__text) non-external (was a private external) _XmlUtf16Encode
000000018bb08590 (__TEXT,__text) non-external (was a private external) _XmlUtf8Encode
000000018bb084e4 (__TEXT,__text) non-external (was a private external) __INTERNAL_trim_to_complete_utf8_characters
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
000000018bb00e74 (__TEXT,__text) non-external _accountingDiffTolerated
000000018bb15488 (__TEXT,__text) non-external _accountingDiffTolerated.cold.1
000000018bb02a9c (__TEXT,__text) non-external _accountingGetCurrentAmplification
000000018bb154b4 (__TEXT,__text) non-external _accountingGetCurrentAmplification.cold.1
000000018bb02ae0 (__TEXT,__text) non-external _accountingReportStats
000000018bb05078 (__TEXT,__text) non-external _addBinding
000000018bb16132 (__TEXT,__cstring) non-external _addBinding.xmlNamespace
000000018bb16157 (__TEXT,__cstring) non-external _addBinding.xmlnsNamespace
000000018bb05380 (__TEXT,__text) non-external _appendAttributeValue
                 (undefined) external _arc4random_buf (from libSystem)
00000001dab16318 (__AUTH_CONST,__const) non-external _ascii_encoding
00000001dab16c28 (__AUTH_CONST,__const) non-external _ascii_encoding_ns
000000018bb111c8 (__TEXT,__text) non-external _ascii_toUtf8
000000018bb06c48 (__TEXT,__text) non-external _attlist0
000000018bb0760c (__TEXT,__text) non-external _attlist1
000000018bb076b0 (__TEXT,__text) non-external _attlist2
00000001d1faa120 (__DATA_CONST,__const) non-external _attlist2.types
000000018bb07960 (__TEXT,__text) non-external _attlist3
000000018bb07af8 (__TEXT,__text) non-external _attlist4
000000018bb0790c (__TEXT,__text) non-external _attlist5
000000018bb07a28 (__TEXT,__text) non-external _attlist6
000000018bb07a88 (__TEXT,__text) non-external _attlist7
000000018bb077d0 (__TEXT,__text) non-external _attlist8
000000018bb079c8 (__TEXT,__text) non-external _attlist9
000000018bb13474 (__TEXT,__text) non-external _big2_attributeValueTok
000000018bb1300c (__TEXT,__text) non-external _big2_cdataSectionTok
000000018bb13cac (__TEXT,__text) non-external _big2_charRefNumber
000000018bb14ca8 (__TEXT,__text) non-external _big2_checkPiTarget
000000018bb11da4 (__TEXT,__text) non-external _big2_contentTok
00000001dab15f78 (__AUTH_CONST,__const) non-external _big2_encoding
00000001dab16888 (__AUTH_CONST,__const) non-external _big2_encoding_ns
000000018bb135dc (__TEXT,__text) non-external _big2_entityValueTok
000000018bb1388c (__TEXT,__text) non-external _big2_getAtts
000000018bb132a8 (__TEXT,__text) non-external _big2_ignoreSectionTok
000000018bb13fdc (__TEXT,__text) non-external _big2_isPublicId
000000018bb137a8 (__TEXT,__text) non-external _big2_nameLength
000000018bb1375c (__TEXT,__text) non-external _big2_nameMatchesAscii
000000018bb13d8c (__TEXT,__text) non-external _big2_predefinedEntityName
000000018bb11214 (__TEXT,__text) non-external _big2_prologTok
000000018bb16a8b (__TEXT,__const) non-external _big2_scanCdataSection.CDATA_LSQB
000000018bb14b10 (__TEXT,__text) non-external _big2_scanComment
000000018bb142b8 (__TEXT,__text) non-external _big2_scanLit
000000018bb14894 (__TEXT,__text) non-external _big2_scanPercent
000000018bb14430 (__TEXT,__text) non-external _big2_scanPi
000000018bb14d44 (__TEXT,__text) non-external _big2_scanRef
000000018bb13848 (__TEXT,__text) non-external _big2_skipS
000000018bb14224 (__TEXT,__text) non-external _big2_toUtf16
000000018bb14090 (__TEXT,__text) non-external _big2_toUtf8
000000018bb13ee0 (__TEXT,__text) non-external _big2_updatePosition
000000018bb05ae4 (__TEXT,__text) non-external _build_node
                 (undefined) external _bzero (from libSystem)
000000018bb04e80 (__TEXT,__text) non-external _cdataSectionProcessor
000000018bb08938 (__TEXT,__text) non-external _checkCharRefNumber
000000018bb07268 (__TEXT,__text) non-external _condSect0
000000018bb07340 (__TEXT,__text) non-external _condSect1
000000018bb073b0 (__TEXT,__text) non-external _condSect2
000000018bb017d0 (__TEXT,__text) non-external _contentProcessor
000000018bb062b8 (__TEXT,__text) non-external _copyEntityTable
000000018bafd938 (__TEXT,__text) non-external _copyString
000000018bb070e8 (__TEXT,__text) non-external _declClose
000000018bb01b60 (__TEXT,__text) non-external _defineAttribute
000000018bb04b9c (__TEXT,__text) non-external _doCdataSection
000000018bb02e90 (__TEXT,__text) non-external _doContent
000000018bb02350 (__TEXT,__text) non-external _doIgnoreSection
000000018bb08de8 (__TEXT,__text) non-external _doParseXmlDecl
000000018baff6bc (__TEXT,__text) non-external _doProlog
000000018bb16242 (__TEXT,__const) non-external _doProlog.atypeCDATA
000000018bb1625f (__TEXT,__const) non-external _doProlog.atypeENTITIES
000000018bb16258 (__TEXT,__const) non-external _doProlog.atypeENTITY
000000018bb16248 (__TEXT,__const) non-external _doProlog.atypeID
000000018bb1624b (__TEXT,__const) non-external _doProlog.atypeIDREF
000000018bb16251 (__TEXT,__const) non-external _doProlog.atypeIDREFS
000000018bb16268 (__TEXT,__const) non-external _doProlog.atypeNMTOKEN
000000018bb16270 (__TEXT,__const) non-external _doProlog.atypeNMTOKENS
000000018bb1545c (__TEXT,__text) non-external _doProlog.cold.1
000000018bb16027 (__TEXT,__cstring) non-external _doProlog.enumValueSep
000000018bb16029 (__TEXT,__cstring) non-external _doProlog.enumValueStart
000000018bb1601d (__TEXT,__cstring) non-external _doProlog.notationPrefix
000000018bb066f4 (__TEXT,__text) non-external _doctype0
000000018bb06760 (__TEXT,__text) non-external _doctype1
000000018bb06b78 (__TEXT,__text) non-external _doctype2
000000018bb06b18 (__TEXT,__text) non-external _doctype3
000000018bb08468 (__TEXT,__text) non-external _doctype4
000000018bb06d68 (__TEXT,__text) non-external _doctype5
000000018bb06cac (__TEXT,__text) non-external _element0
000000018bb07b68 (__TEXT,__text) non-external _element1
000000018bb07c88 (__TEXT,__text) non-external _element2
000000018bb07dec (__TEXT,__text) non-external _element3
000000018bb08140 (__TEXT,__text) non-external _element4
000000018bb081a4 (__TEXT,__text) non-external _element5
000000018bb07e9c (__TEXT,__text) non-external _element6
000000018bb07fbc (__TEXT,__text) non-external _element7
00000001d1faa190 (__DATA_CONST,__const) non-external _encodings
00000001d1faa1c8 (__DATA_CONST,__const) non-external _encodingsNS
000000018bb06bd8 (__TEXT,__text) non-external _entity0
000000018bb06dc8 (__TEXT,__text) non-external _entity1
000000018bb0715c (__TEXT,__text) non-external _entity10
000000018bb06e28 (__TEXT,__text) non-external _entity2
000000018bb07470 (__TEXT,__text) non-external _entity3
000000018bb07410 (__TEXT,__text) non-external _entity4
000000018bb074d0 (__TEXT,__text) non-external _entity5
000000018bb075a4 (__TEXT,__text) non-external _entity6
000000018bb06f28 (__TEXT,__text) non-external _entity7
000000018bb07088 (__TEXT,__text) non-external _entity8
000000018bb07028 (__TEXT,__text) non-external _entity9
000000018bb02868 (__TEXT,__text) non-external _entityTrackingOnOpen
000000018bb05a40 (__TEXT,__text) non-external _entityTrackingReportStats
000000018bb154e0 (__TEXT,__text) non-external _entityTrackingReportStats.cold.1
000000018bb05e88 (__TEXT,__text) non-external _entityValueInitProcessor
000000018bb06184 (__TEXT,__text) non-external _entityValueProcessor
000000018bb04998 (__TEXT,__text) non-external _epilogProcessor
000000018bb06758 (__TEXT,__text) non-external _error
000000018bafeacc (__TEXT,__text) non-external _errorProcessor
000000018bb0531c (__TEXT,__text) non-external _externalEntityContentProcessor
000000018bafe3b0 (__TEXT,__text) non-external _externalEntityInitProcessor
000000018bb05c5c (__TEXT,__text) non-external _externalEntityInitProcessor2
000000018bb05d78 (__TEXT,__text) non-external _externalEntityInitProcessor3
000000018bafe42c (__TEXT,__text) non-external _externalParEntInitProcessor
000000018bb0604c (__TEXT,__text) non-external _externalParEntProcessor
000000018bb065cc (__TEXT,__text) non-external _externalSubset0
000000018bb071d8 (__TEXT,__text) non-external _externalSubset1
000000018bb090dc (__TEXT,__text) non-external _findEncoding
000000018bb09300 (__TEXT,__text) non-external _findEncodingNS
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _free (from libSystem)
000000018bb04938 (__TEXT,__text) non-external _freeBindings
                 (undefined) external _fwrite (from libSystem)
000000018bb018c4 (__TEXT,__text) non-external _getAttributeId
000000018baff42c (__TEXT,__text) non-external _getDebugLevel
000000018bb01834 (__TEXT,__text) non-external _getElementType
000000018bb08cdc (__TEXT,__text) non-external _getEncodingIndex
