00007ffb42d6af88 (__DATA,__bss) non-external _A
00007ffb42d6ad90 (__DATA,__data) non-external (was a private external) _CMARK_ARENA_MEM_ALLOCATOR
00007ffb42d6ac28 (__DATA,__data) non-external (was a private external) _CMARK_DEFAULT_MEM_ALLOCATOR
00007ffb42d6ac20 (__DATA,__data) external _CMARK_NODE_LAST_BLOCK
00007ffb42d6ac24 (__DATA,__data) external _CMARK_NODE_LAST_INLINE
00007ffb42d6af90 (__DATA,__common) external _CMARK_NODE_STRIKETHROUGH
00007ffb42d6af98 (__DATA,__common) external _CMARK_NODE_TABLE
00007ffb42d6afa0 (__DATA,__common) external _CMARK_NODE_TABLE_CELL
00007ffb42d6af9c (__DATA,__common) external _CMARK_NODE_TABLE_ROW
00007ffb42d6af40 (__DATA,__bss) non-external _CMARK_NODE__TABLE_VISITED
00007ffb1fb14840 (__TEXT,__const) non-external _HREF_SAFE
00007ffb1fb12bd0 (__TEXT,__const) non-external _HTML_ESCAPE_TABLE
00007ffb1fb14740 (__TEXT,__const) non-external _SMART_PUNCT_CHARS
00007ffb1fb08f3c (__TEXT,__text) non-external _S_advance_offset
00007ffb1fafb3e5 (__TEXT,__text) non-external _S_blankline
00007ffb1fb09948 (__TEXT,__text) non-external _S_can_contain
00007ffb1fafb3d2 (__TEXT,__text) non-external _S_cr
00007ffb1fb08fd3 (__TEXT,__text) non-external _S_find_first_nonspace
00007ffb1fafd30c (__TEXT,__text) non-external _S_get_enumlevel
00007ffb1fb09892 (__TEXT,__text) non-external _S_node_unlink
00007ffb1fafb3f8 (__TEXT,__text) non-external _S_out
00007ffb1faf99b6 (__TEXT,__text) non-external _S_outc
00007ffb1fb07501 (__TEXT,__text) non-external _S_parser_feed
00007ffb1fb14720 (__TEXT,__const) non-external _S_parser_feed.repl
00007ffb1fb0ac84 (__TEXT,__text) non-external _S_print_error
00007ffb1fb07c2d (__TEXT,__text) non-external _S_process_line
00007ffb1fb120d8 (__TEXT,__text) non-external _S_process_line.cold.1
00007ffb1fb120f9 (__TEXT,__text) non-external _S_process_line.cold.2
00007ffb1fb1211a (__TEXT,__text) non-external _S_process_line.cold.3
00007ffb1fb1213d (__TEXT,__text) non-external _S_process_line.cold.4
00007ffb1fb12160 (__TEXT,__text) non-external _S_process_line.cold.5
00007ffb1faf9368 (__TEXT,__text) non-external _S_put_footnote_backref
00007ffb1faf73a4 (__TEXT,__text) non-external _S_render_node
00007ffb1faf9aa0 (__TEXT,__text) non-external _S_render_node
00007ffb1fafcc48 (__TEXT,__text) non-external _S_render_node
00007ffb1fb0f5f8 (__TEXT,__text) non-external _S_render_node
00007ffb1fb11e7c (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1fb11f10 (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1fb11fbf (__TEXT,__text) non-external _S_render_node.cold.1
00007ffb1fb128c4 (__TEXT,__text) non-external _S_render_node.cold.1
                 (undefined) weak external ____chkstk_darwin (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ffb1fb095b0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffb1fb095d0 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
                 (undefined) external ___memset_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffb1fafb79e (__TEXT,__text) non-external (was a private external) __ext_scan_at
00007ffb1fafd520 (__TEXT,__text) non-external (was a private external) __scan_at
00007ffb1fb05195 (__TEXT,__text) non-external (was a private external) __scan_atx_heading_start
00007ffb1fb14220 (__TEXT,__const) non-external __scan_atx_heading_start.yybm
00007ffb1fafe8da (__TEXT,__text) non-external (was a private external) __scan_autolink_email
00007ffb1fb13320 (__TEXT,__const) non-external __scan_autolink_email.yybm
00007ffb1fafdebe (__TEXT,__text) non-external (was a private external) __scan_autolink_uri
00007ffb1fb13220 (__TEXT,__const) non-external __scan_autolink_uri.yybm
00007ffb1fb056bf (__TEXT,__text) non-external (was a private external) __scan_close_code_fence
00007ffb1fb14520 (__TEXT,__const) non-external __scan_close_code_fence.yybm
00007ffb1fb06140 (__TEXT,__text) non-external (was a private external) __scan_dangerous_url
00007ffb1fb057d5 (__TEXT,__text) non-external (was a private external) __scan_entity
00007ffb1fb06445 (__TEXT,__text) non-external (was a private external) __scan_footnote_definition
00007ffb1fb14620 (__TEXT,__const) non-external __scan_footnote_definition.yybm
00007ffb1fb0345c (__TEXT,__text) non-external (was a private external) __scan_html_block_end_1
00007ffb1fb13b20 (__TEXT,__const) non-external __scan_html_block_end_1.yybm
00007ffb1fb03db8 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_2
00007ffb1fb13c20 (__TEXT,__const) non-external __scan_html_block_end_2.yybm
00007ffb1fb04192 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_3
00007ffb1fb13d20 (__TEXT,__const) non-external __scan_html_block_end_3.yybm
00007ffb1fb04517 (__TEXT,__text) non-external (was a private external) __scan_html_block_end_4
00007ffb1fb13e20 (__TEXT,__const) non-external __scan_html_block_end_4.yybm
00007ffb1fb047be (__TEXT,__text) non-external (was a private external) __scan_html_block_end_5
00007ffb1fb13f20 (__TEXT,__const) non-external __scan_html_block_end_5.yybm
00007ffb1fb019f9 (__TEXT,__text) non-external (was a private external) __scan_html_block_start
00007ffb1fb02e84 (__TEXT,__text) non-external (was a private external) __scan_html_block_start_7
00007ffb1fb13a20 (__TEXT,__const) non-external __scan_html_block_start_7.yybm
00007ffb1fb017ef (__TEXT,__text) non-external (was a private external) __scan_html_cdata
00007ffb1fb13920 (__TEXT,__const) non-external __scan_html_cdata.yybm
00007ffb1fb01395 (__TEXT,__text) non-external (was a private external) __scan_html_comment
00007ffb1fb13620 (__TEXT,__const) non-external __scan_html_comment.yybm
00007ffb1fb01705 (__TEXT,__text) non-external (was a private external) __scan_html_declaration
00007ffb1fb13820 (__TEXT,__const) non-external __scan_html_declaration.yybm
00007ffb1fb014d1 (__TEXT,__text) non-external (was a private external) __scan_html_pi
00007ffb1fb13720 (__TEXT,__const) non-external __scan_html_pi.yybm
00007ffb1fb00b66 (__TEXT,__text) non-external (was a private external) __scan_html_tag
00007ffb1fb13420 (__TEXT,__const) non-external __scan_html_tag.yybm
00007ffb1fb010e8 (__TEXT,__text) non-external (was a private external) __scan_liberal_html_tag
00007ffb1fb13520 (__TEXT,__const) non-external __scan_liberal_html_tag.yybm
00007ffb1fb04b98 (__TEXT,__text) non-external (was a private external) __scan_link_title
00007ffb1fb14020 (__TEXT,__const) non-external __scan_link_title.yybm
00007ffb1fb053f7 (__TEXT,__text) non-external (was a private external) __scan_open_code_fence
00007ffb1fb14420 (__TEXT,__const) non-external __scan_open_code_fence.yybm
00007ffb1fafd567 (__TEXT,__text) non-external (was a private external) __scan_scheme
00007ffb1fb052b6 (__TEXT,__text) non-external (was a private external) __scan_setext_heading_line
00007ffb1fb14320 (__TEXT,__const) non-external __scan_setext_heading_line.yybm
00007ffb1fb0516d (__TEXT,__text) non-external (was a private external) __scan_spacechars
00007ffb1fb14120 (__TEXT,__const) non-external __scan_spacechars.yybm
00007ffb1fafb9c4 (__TEXT,__text) non-external (was a private external) __scan_table_cell
00007ffb1fb12ee0 (__TEXT,__const) non-external __scan_table_cell.yybm
00007ffb1fafbbee (__TEXT,__text) non-external (was a private external) __scan_table_cell_end
00007ffb1fafbc12 (__TEXT,__text) non-external (was a private external) __scan_table_row_end
00007ffb1fb12fe0 (__TEXT,__const) non-external __scan_table_row_end.yybm
00007ffb1fafb7dd (__TEXT,__text) non-external (was a private external) __scan_table_start
00007ffb1fb12de0 (__TEXT,__const) non-external __scan_table_start.yybm
00007ffb1fafbc98 (__TEXT,__text) non-external (was a private external) __scan_tasklist
00007ffb1fb130e0 (__TEXT,__const) non-external __scan_tasklist.yybm
                 (undefined) external _abort (from libSystem)
00007ffb1fb08e15 (__TEXT,__text) non-external _add_child
00007ffb1fb12183 (__TEXT,__text) non-external _add_child.cold.1
00007ffb1fb0951f (__TEXT,__text) non-external _add_line
00007ffb1fb121ec (__TEXT,__text) non-external _add_line.cold.1
00007ffb1fb0e803 (__TEXT,__text) non-external _adjust_subj_node_newlines
00007ffb1fb11a98 (__TEXT,__text) non-external _alloc_arena_chunk
00007ffb1fb11bd3 (__TEXT,__text) non-external _arena_calloc
00007ffb1fb11ce2 (__TEXT,__text) non-external _arena_free
00007ffb42d6af48 (__DATA,__bss) non-external _arena_lock
00007ffb42d6ad80 (__DATA,__data) non-external _arena_once
00007ffb1fb11c9a (__TEXT,__text) non-external _arena_realloc
00007ffb1fafae83 (__TEXT,__text) non-external _autolink_delim
00007ffb42d6abd0 (__DATA,__const) non-external _blacklist
