00000002256edca8 (__TEXT,__text) external _ARMCompilationCallback
00000002256edcac (__TEXT,__text) external _ARMCompilationCallbackC
0000000225dee92c (__TEXT,__text) external _ConvertUTF16toUTF32
0000000225dee9ec (__TEXT,__text) external _ConvertUTF16toUTF8
0000000225dee854 (__TEXT,__text) external _ConvertUTF32toUTF16
0000000225deeb40 (__TEXT,__text) external _ConvertUTF32toUTF8
0000000225deeeac (__TEXT,__text) external _ConvertUTF8toUTF16
0000000225def320 (__TEXT,__text) external _ConvertUTF8toUTF32
0000000225def0d0 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
0000000225def0c8 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00000002946247a8 (__DATA,__common) external _EnableARMEHABI
00000002946244e8 (__DATA,__common) external _EnableARMLongCalls
0000000294624270 (__DATA,__common) external _ForceStackAlign
0000000225bd8670 (__TEXT,__text) external _LLVMABIAlignmentOfType
0000000225bd8624 (__TEXT,__text) external _LLVMABISizeOfType
0000000225a31a5c (__TEXT,__text) external _LLVMAddAggressiveDCEPass
0000000225c0e69c (__TEXT,__text) external _LLVMAddAlias
000000022542fd8c (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
0000000225bdc2b0 (__TEXT,__text) external _LLVMAddAnalysisPasses
000000022542fbe4 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
0000000225c0ed3c (__TEXT,__text) external _LLVMAddAttribute
0000000225457a64 (__TEXT,__text) external _LLVMAddBBVectorizePass
0000000225a32494 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
0000000225a31ab0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
0000000225c100f8 (__TEXT,__text) external _LLVMAddCase
0000000225c10100 (__TEXT,__text) external _LLVMAddClause
000000022542fc3c (__TEXT,__text) external _LLVMAddConstantMergePass
0000000225a32298 (__TEXT,__text) external _LLVMAddConstantPropagationPass
0000000225a32398 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
000000022542fc90 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
0000000225a31b04 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
0000000225a322ec (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
