                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018be3f8b4 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018be3fe08 (__TEXT,__text) external _vDSP_DCT_Execute
000000018be3ee98 (__TEXT,__text) external _vDSP_DFT_CreateSetup
000000018bd78514 (__TEXT,__text) external _vDSP_DFT_DestroySetup
000000018be40344 (__TEXT,__text) external _vDSP_DFT_DestroySetupD
000000018bd783a4 (__TEXT,__text) external _vDSP_DFT_Execute
000000018be40a64 (__TEXT,__text) external _vDSP_DFT_ExecuteD
000000018bd90dc8 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetup
000000018bdb7c34 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetupD
000000018bd90d4c (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetup
000000018bdb7bc0 (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetupD
000000018bd919c0 (__TEXT,__text) external _vDSP_DFT_Interleaved_Execute
000000018bdb831c (__TEXT,__text) external _vDSP_DFT_Interleaved_ExecuteD
000000018be3f0dc (__TEXT,__text) external _vDSP_DFT_zop
000000018bd7834c (__TEXT,__text) external _vDSP_DFT_zop_CreateSetup
000000018be403a8 (__TEXT,__text) external _vDSP_DFT_zop_CreateSetupD
000000018bd84370 (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetup
000000018be406f0 (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetupD
000000018bd828d8 (__TEXT,__text) external _vDSP_FFT16_copv
000000018bd83820 (__TEXT,__text) external _vDSP_FFT16_zopv
000000018bd83f04 (__TEXT,__text) external _vDSP_FFT32_copv
000000018bd8464c (__TEXT,__text) external _vDSP_FFT32_zopv
000000018be1fd14 (__TEXT,__text) external _vDSP_biquad
000000018be20450 (__TEXT,__text) external _vDSP_biquadD
000000018be1f714 (__TEXT,__text) external _vDSP_biquad_CreateSetup
000000018be20158 (__TEXT,__text) external _vDSP_biquad_CreateSetupD
000000018be1fca8 (__TEXT,__text) external _vDSP_biquad_DestroySetup
000000018be203d4 (__TEXT,__text) external _vDSP_biquad_DestroySetupD
000000018be1f95c (__TEXT,__text) external _vDSP_biquad_SetCoefficientsDouble
000000018be1fb04 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsSingle
000000018be5dcfc (__TEXT,__text) external _vDSP_biquadm
000000018bdd44d8 (__TEXT,__text) external _vDSP_biquadmD
000000018be5f4a8 (__TEXT,__text) external _vDSP_biquadm_CopyState
000000018be010f8 (__TEXT,__text) external _vDSP_biquadm_CopyStateD
000000018be5e70c (__TEXT,__text) external _vDSP_biquadm_CreateSetup
000000018be00788 (__TEXT,__text) external _vDSP_biquadm_CreateSetupD
000000018be5f41c (__TEXT,__text) external _vDSP_biquadm_DestroySetup
000000018be0106c (__TEXT,__text) external _vDSP_biquadm_DestroySetupD
000000018be5f510 (__TEXT,__text) external _vDSP_biquadm_ResetState
000000018be01160 (__TEXT,__text) external _vDSP_biquadm_ResetStateD
000000018be5f030 (__TEXT,__text) external _vDSP_biquadm_SetActiveFilters
000000018be00ce4 (__TEXT,__text) external _vDSP_biquadm_SetActiveFiltersD
000000018bd82c14 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDouble
000000018bd8ace0 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDoubleD
000000018bd83270 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingle
000000018bd8b4ec (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsSingleD
000000018bd82b70 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDouble
000000018bd8ac44 (__TEXT,__text) external _vDSP_biquadm_SetTargetsDoubleD
000000018bd831dc (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingle
000000018bd8b460 (__TEXT,__text) external _vDSP_biquadm_SetTargetsSingleD
000000018bd81f5c (__TEXT,__text) external _vDSP_blkman_window
000000018bdc9c10 (__TEXT,__text) external _vDSP_blkman_windowD
000000018be1ef0c (__TEXT,__text) external _vDSP_conv
000000018bdd8018 (__TEXT,__text) external _vDSP_convD
000000018bd78590 (__TEXT,__text) external _vDSP_create_fftsetup
000000018bdbf754 (__TEXT,__text) external _vDSP_create_fftsetupD
000000018bdcde20 (__TEXT,__text) external _vDSP_ctoz
000000018bdc0670 (__TEXT,__text) external _vDSP_ctozD
