                 (undefined) external _AAArchiveStreamClose (from libAppleArchive)
                 (undefined) external _AAArchiveStreamProcess (from libAppleArchive)
                 (undefined) external _AAByteStreamClose (from libAppleArchive)
                 (undefined) external _AADecodeArchiveInputStreamOpen (from libAppleArchive)
                 (undefined) external _AADecompressionInputStreamOpen (from libAppleArchive)
                 (undefined) external _AAExtractArchiveOutputStreamOpen (from libAppleArchive)
                 (undefined) external _AAFileStreamOpenWithPath (from libAppleArchive)
                 (undefined) external _AVMediaTypeAudio (from AVFoundation)
                 (undefined) external _AVURLAssetPreferPreciseDurationAndTimingKey (from AVFoundation)
                 (undefined) external _AudioFileClose (from AudioToolbox)
                 (undefined) external _AudioFileGetProperty (from AudioToolbox)
                 (undefined) external _AudioFileGetPropertyInfo (from AudioToolbox)
                 (undefined) external _AudioFileOpenURL (from AudioToolbox)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CMTimeAdd (from CoreMedia)
                 (undefined) external _CMTimeCompare (from CoreMedia)
                 (undefined) external _CMTimeConvertScale (from CoreMedia)
                 (undefined) external _CMTimeGetSeconds (from CoreMedia)
                 (undefined) external _CMTimeMake (from CoreMedia)
                 (undefined) external _CMTimeMakeWithSeconds (from CoreMedia)
                 (undefined) external _CMTimeMultiply (from CoreMedia)
                 (undefined) external _CMTimeMultiplyByFloat64 (from CoreMedia)
                 (undefined) external _CMTimeRangeContainsTime (from CoreMedia)
                 (undefined) external _CMTimeRangeMake (from CoreMedia)
                 (undefined) external _CMTimeSubtract (from CoreMedia)
                 (undefined) external _ExtAudioFileDispose (from AudioToolbox)
                 (undefined) external _ExtAudioFileGetProperty (from AudioToolbox)
                 (undefined) external _ExtAudioFileOpenURL (from AudioToolbox)
00000001f9753798 (__TEXT,__const) external _FMSampleRateUnknown
00000001f97537a0 (__TEXT,__const) external _FMSampleRate_44100
00000001f97537a8 (__TEXT,__const) external _FMSampleRate_48000
0000000234818a20 (__DATA_CONST,__const) external _FMSongArtworkAssetID
0000000234818a38 (__DATA_CONST,__const) external _FMSongAssetCompatibilityVersion
0000000234818a30 (__DATA_CONST,__const) external _FMSongAssetContentVersion
0000000234818a28 (__DATA_CONST,__const) external _FMSongAssetDownloadProgressChanged
0000000234818a90 (__DATA_CONST,__const) external _FMSongAssetsChanged
0000000234818a18 (__DATA_CONST,__const) external _FMSongBundleAssetID
0000000234818a88 (__DATA_CONST,__const) external _FMSongBundleExtension
0000000234818aa0 (__DATA_CONST,__const) external _FMSongFormat_Legacy
0000000234818a98 (__DATA_CONST,__const) external _FMSongFormat_ML
0000000234818718 (__DATA_CONST,__const) external _FMSongLibraryAvailableSongsChanged
0000000234818760 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudKit_ContainerName
0000000234818768 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudKit_DownloadURL
0000000234818738 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CloudSupportDisabled
0000000234818770 (__DATA_CONST,__const) external _FMSongLibraryInitOption_CustomBundledSongsPath
0000000234818750 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_AssetTypeIdentifier
0000000234818748 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ClientID
0000000234818758 (__DATA_CONST,__const) external _FMSongLibraryInitOption_MobileAssets_ListenToSystemNotifications
0000000234818740 (__DATA_CONST,__const) external _FMSongLibraryInitOption_NetworkingDisabled
0000000234818730 (__DATA_CONST,__const) external _FMSongLibraryReconnectedToNetwork
0000000234818720 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressChanged
0000000234818728 (__DATA_CONST,__const) external _FMSongLibrarySongDownloadInProgressState
00000001f97538e8 (__TEXT,__const) external _FMSongPlaylistTimeQuantaInSamples
0000000234818d68 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_128
0000000234818d70 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_192
0000000234818d78 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_256
0000000234818d58 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_80
0000000234818d60 (__DATA_CONST,__const) external _FMSong_AudioPresetName_AAC_LC_96
0000000234818d40 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_48
0000000234818d50 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v1_64
0000000234818d48 (__DATA_CONST,__const) external _FMSong_AudioPresetName_HE_AAC_v2_48
0000000234818d30 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM
0000000234818d38 (__DATA_CONST,__const) external _FMSong_AudioPresetName_PCM_LEF32
0000000234818d80 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_64
0000000234818d88 (__DATA_CONST,__const) external _FMSong_AudioPresetName_USAC_96
0000000234818da8 (__DATA_CONST,__const) external _FMSong_Option_DefaultEarlyFadeStartFromStinger
0000000234818dc0 (__DATA_CONST,__const) external _FMSong_Option_IgnoreEarlyFadeMarker
0000000234818db8 (__DATA_CONST,__const) external _FMSong_Option_IgnoreStingerMarkerForShortening
0000000234818dd0 (__DATA_CONST,__const) external _FMSong_Option_LoopSongForLongDurations
0000000234818dc8 (__DATA_CONST,__const) external _FMSong_Option_MaxOutroLengthToReserve
0000000234818db0 (__DATA_CONST,__const) external _FMSong_Option_MinLengthForEarlyFade
0000000234818da0 (__DATA_CONST,__const) external _FMSong_Option_OutroCanBeShortened
0000000234818d98 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroEarlyFade
0000000234818d90 (__DATA_CONST,__const) external _FMSong_SegmentMarker_OutroStinger
0000000234818a68 (__DATA_CONST,__const) external _FMTagID_Arousal_Prefix
0000000234818a58 (__DATA_CONST,__const) external _FMTagID_Genre_Prefix
0000000234818a50 (__DATA_CONST,__const) external _FMTagID_MoodAlt_Prefix
0000000234818a40 (__DATA_CONST,__const) external _FMTagID_Mood_Prefix
0000000234818a80 (__DATA_CONST,__const) external _FMTagID_Region_Prefix
0000000234818a48 (__DATA_CONST,__const) external _FMTagID_SongPace_Prefix
0000000234818a60 (__DATA_CONST,__const) external _FMTagID_Style_Prefix
0000000234818a70 (__DATA_CONST,__const) external _FMTagID_Valence_Prefix
0000000234818a78 (__DATA_CONST,__const) external _FMTagID_VisualTempo_Prefix
0000000234818f00 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBar
0000000234818f08 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBarIndex
0000000234818f10 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBarKeyBeatsPerBar
0000000234818f18 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeat
0000000234818f20 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBarIndex
0000000234818f28 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierBeatKeyBeatIndex
0000000234818f38 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierLoopPoints
0000000234818f30 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierOnset
0000000234818e70 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSection
0000000234818e80 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyBodyNumber
0000000234818e98 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyFadeToBlackTime
0000000234818e90 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroEarlyFade
0000000234818e88 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyOutroStinger
0000000234818e78 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSectionKeyType
0000000234818ea0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegment
0000000234818ec8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBarsUsed
0000000234818ec0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyLetter
0000000234818eb8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyBodyNumber
0000000234818ed0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyEnergy
0000000234818ef8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyFadeToBlackTime
0000000234818ef0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyLoudness
0000000234818ee0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroEarlyFade
0000000234818ed8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyOutroStinger
0000000234818ee8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPeakValue
0000000234818eb0 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyPriority
0000000234818ea8 (__DATA_CONST,__const) external _FMTimedMetadataIdentifierSegmentKeyType
00000001f9725f50 (__TEXT,__text) external _FlexCheckedDynamicCast
0000000234818e60 (__DATA_CONST,__const) external _FlexDBGenreEntityName
0000000234818e68 (__DATA_CONST,__const) external _FlexDBRegionEntityName
0000000234818e58 (__DATA_CONST,__const) external _FlexDBSongEntityName
00000001f9725ee0 (__TEXT,__text) external _FlexDynamicCast
00000002348187d0 (__DATA_CONST,__const) external _FlexLocalDBArousalField
0000000234818780 (__DATA_CONST,__const) external _FlexLocalDBArtistNameField
00000002348187b0 (__DATA_CONST,__const) external _FlexLocalDBArtworkLocalURLField
0000000234818790 (__DATA_CONST,__const) external _FlexLocalDBArtworkVersionField
0000000234818808 (__DATA_CONST,__const) external _FlexLocalDBAudioEncoderPresetNameField
00000002348187a0 (__DATA_CONST,__const) external _FlexLocalDBCKRecordIDField
0000000234818798 (__DATA_CONST,__const) external _FlexLocalDBCompatibilityVersionField
0000000234818800 (__DATA_CONST,__const) external _FlexLocalDBFormatField
00000002348187f0 (__DATA_CONST,__const) external _FlexLocalDBGenreStringsField
0000000234818810 (__DATA_CONST,__const) external _FlexLocalDBHiddenField
00000002348187c0 (__DATA_CONST,__const) external _FlexLocalDBMoodAltField
00000002348187b8 (__DATA_CONST,__const) external _FlexLocalDBMoodField
00000002348187c8 (__DATA_CONST,__const) external _FlexLocalDBPaceField
0000000234818818 (__DATA_CONST,__const) external _FlexLocalDBRecalledField
00000002348187f8 (__DATA_CONST,__const) external _FlexLocalDBRegionsField
00000002348187a8 (__DATA_CONST,__const) external _FlexLocalDBSongBundleLocalURLField
0000000234818778 (__DATA_CONST,__const) external _FlexLocalDBSongNameField
0000000234818788 (__DATA_CONST,__const) external _FlexLocalDBSongVersionField
00000002348187e8 (__DATA_CONST,__const) external _FlexLocalDBStyleField
00000002348187d8 (__DATA_CONST,__const) external _FlexLocalDBValenceField
00000002348187e0 (__DATA_CONST,__const) external _FlexLocalDBVisualTempoField
00000001f9725ad0 (__TEXT,__text) external _FlexLogForCategory
0000000234818860 (__DATA_CONST,__const) external _FlexMLArtistNameKey
0000000234818878 (__DATA_CONST,__const) external _FlexMLAudioEncoderPresetKey
00000002348188b8 (__DATA_CONST,__const) external _FlexMLAudioFileExtensionKey
0000000234818918 (__DATA_CONST,__const) external _FlexMLBarTimesKey
0000000234818910 (__DATA_CONST,__const) external _FlexMLBeatTimesKey
0000000234818898 (__DATA_CONST,__const) external _FlexMLCompatibilityVersionKey
0000000234818890 (__DATA_CONST,__const) external _FlexMLContentVersionKey
0000000234818880 (__DATA_CONST,__const) external _FlexMLCustomOptionsKey
0000000234818938 (__DATA_CONST,__const) external _FlexMLGainFunctionGainKey
0000000234818930 (__DATA_CONST,__const) external _FlexMLGainFunctionKey
0000000234818940 (__DATA_CONST,__const) external _FlexMLLoopTimesKey
0000000234818920 (__DATA_CONST,__const) external _FlexMLLoudnessKey
0000000234818928 (__DATA_CONST,__const) external _FlexMLPeakKey
0000000234818948 (__DATA_CONST,__const) external _FlexMLPlistRuntimeVersionKey
00000002348188e0 (__DATA_CONST,__const) external _FlexMLSampleRateKey
00000002348188c8 (__DATA_CONST,__const) external _FlexMLSegmentDurationKey
00000002348188a8 (__DATA_CONST,__const) external _FlexMLSegmentTimeKey
00000002348188d8 (__DATA_CONST,__const) external _FlexMLSegmentsKey
00000002348188e8 (__DATA_CONST,__const) external _FlexMLSongBeatsKey
0000000234818870 (__DATA_CONST,__const) external _FlexMLSongFileKey
0000000234818868 (__DATA_CONST,__const) external _FlexMLSongIDKey
0000000234818840 (__DATA_CONST,__const) external _FlexMLSongMetadataFileExtension
