
/Volumes/macOS Mojave/usr/lib/system/libsystem_kernel.dylib (for architecture x86_64):
000000000002b568 (__DATA,__data) external _NDR_record
000000000000b1f5 (__TEXT,__text) non-external __Xexception_raise
000000000000b296 (__TEXT,__text) non-external __Xexception_raise_state
000000000000b396 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000000001efdc (__TEXT,__text) external _____old_semwait_signal_nocancel
000000000001eff4 (__TEXT,__text) external _____sigwait_nocancel
0000000000020448 (__TEXT,__const) external ____kernelVersionNumber
0000000000020410 (__TEXT,__const) external ____kernelVersionString
000000000001f00c (__TEXT,__text) external ___abort_with_payload
00000000000051dc (__TEXT,__text) external ___accept
000000000001f024 (__TEXT,__text) external ___accept_nocancel
000000000001f03c (__TEXT,__text) external ___access_extended
000000000001f054 (__TEXT,__text) external ___aio_suspend_nocancel
00000000000051ac (__TEXT,__text) external ___bind
0000000000003200 (__TEXT,__text) external ___bsdthread_create
0000000000002ce8 (__TEXT,__text) external ___bsdthread_ctl
0000000000001850 (__TEXT,__text) external ___bsdthread_register
0000000000003a9c (__TEXT,__text) external ___bsdthread_terminate
00000000000096ad (__TEXT,__text) external ___carbon_delete
000000000001f06c (__TEXT,__text) external ___channel_get_info
000000000001f084 (__TEXT,__text) external ___channel_get_opt
000000000001f09c (__TEXT,__text) external ___channel_open
000000000001f0b4 (__TEXT,__text) external ___channel_set_opt
000000000001f0cc (__TEXT,__text) external ___channel_sync
0000000000004b9c (__TEXT,__text) external ___chmod
0000000000009564 (__TEXT,__text) external ___chmod_extended
00000000000021c8 (__TEXT,__text) external ___close_nocancel
000000000001f0e4 (__TEXT,__text) external ___coalition
000000000001f0fc (__TEXT,__text) external ___coalition_info
000000000000220d (__TEXT,__text) external ___commpage_gettimeofday
0000000000002214 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
0000000000005534 (__TEXT,__text) external ___connect
000000000000669c (__TEXT,__text) external ___connect_nocancel
000000000001f114 (__TEXT,__text) external ___copyfile
0000000000002b5c (__TEXT,__text) external ___csrctl
00000000000096cc (__TEXT,__text) external ___delete
0000000000003a18 (__TEXT,__text) external ___disable_threadsignal
0000000000001b61 (__TEXT,__text) external ___error
0000000000003c80 (__TEXT,__text) external ___exit
00000000000076a0 (__TEXT,__text) external ___fchmod
0000000000009594 (__TEXT,__text) external ___fchmod_extended
0000000000002b24 (__TEXT,__text) external ___fcntl
0000000000004d6c (__TEXT,__text) external ___fcntl_nocancel
0000000000007ab8 (__TEXT,__text) external ___fork
000000000001f12c (__TEXT,__text) external ___fs_snapshot
0000000000007718 (__TEXT,__text) external ___fstat64_extended
000000000001f144 (__TEXT,__text) external ___fstat_extended
000000000001f15c (__TEXT,__text) external ___fsync_nocancel
0000000000005549 (__TEXT,__text) external ___get_remove_counter
00000000000030dc (__TEXT,__text) external ___getattrlist
0000000000002f14 (__TEXT,__text) external ___getdirentries64
0000000000005dd0 (__TEXT,__text) external ___gethostuuid
000000000000911c (__TEXT,__text) external ___getlogin
0000000000008724 (__TEXT,__text) external ___getpeername
0000000000001c70 (__TEXT,__text) external ___getpid
0000000000002168 (__TEXT,__text) external ___getrlimit
000000000001f174 (__TEXT,__text) external ___getsgroups
0000000000006e04 (__TEXT,__text) external ___getsockname
0000000000002130 (__TEXT,__text) external ___gettid
0000000000004e21 (__TEXT,__text) external ___gettimeofday
0000000000004e0c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000000001f18c (__TEXT,__text) external ___getwgroups
000000000001f1a4 (__TEXT,__text) external ___guarded_open_dprotected_np
0000000000004c70 (__TEXT,__text) external ___guarded_open_np
000000000001f1bc (__TEXT,__text) external ___identitysvc
0000000000004fe5 (__TEXT,__text) external ___inc_remove_counter
0000000000009104 (__TEXT,__text) external ___initgroups
0000000000001b4c (__TEXT,__text) external ___ioctl
