00000001901bd92c (__TEXT,__text) non-external _Annihilate
00000001901f91f4 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00000001901f9284 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00000001901f923c (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00000001901fa0a8 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00000001901fa690 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00000001901f92cc (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00000001901bd6b4 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00000001901da248 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00000001901b160c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00000001901bda04 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00000001901b18a4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00000001901f7cec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00000001901f85ec (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00000001901b1ae8 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00000001901c4808 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00000001901d28b8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00000001901d34b4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00000001901d1cbc (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00000001901d2024 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00000001901d2c20 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00000001901d1428 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00000001901b84ac (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00000001901b98a4 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00000001901bab00 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00000001901bbd5c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00000001901b8648 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00000001901ef034 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00000001901f03a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00000001901f0be0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00000001901f1420 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00000001901f1c60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00000001901f24a0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00000001901f2ce0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
00000001901f3520 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
00000001901f3e68 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
00000001901ef320 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
00000001901efb60 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
00000001901cca48 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
00000001901e14a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
00000001901d59d0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
00000001901cc000 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
00000001901d5870 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
00000001901c2ff0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
00000001901c3110 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
00000001901c3230 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
00000001901c30b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
00000001901c7018 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
00000001901c7010 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
00000001901c6ec0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
00000001901c8bf0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
00000001901c6fc4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
00000001901c6fa4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
00000001901c2f9c (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
00000001901c8bac (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
00000001901c8b2c (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
00000001901c89fc (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
00000001901c8ae0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
00000001901c6ef8 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
00000001901b640c (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
00000001901c2d28 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
00000001901c2d30 (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
00000001901bea88 (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
00000001901b222c (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
00000001901b3a44 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
00000001901b2014 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCreateInstance
00000001901b2128 (__TEXT,__text) non-external (was a private external) _BrotliEncoderDestroyInstance
00000001901b6398 (__TEXT,__text) non-external (was a private external) _BrotliEncoderHasMoreOutput
00000001901b47c4 (__TEXT,__text) non-external (was a private external) _BrotliEncoderIsFinished
00000001901b2208 (__TEXT,__text) non-external (was a private external) _BrotliEncoderMaxCompressedSize
00000001901b1f20 (__TEXT,__text) non-external (was a private external) _BrotliEncoderSetParameter
00000001901b63a8 (__TEXT,__text) non-external (was a private external) _BrotliEncoderTakeOutput
00000001901b640c (__TEXT,__text) non-external (was a private external) _BrotliEncoderVersion
00000001901c5930 (__TEXT,__text) non-external _BrotliEnsureRingBuffer
00000001901cb1c8 (__TEXT,__text) non-external (was a private external) _BrotliEstimateBitCostsForLiterals
00000001901ece48 (__TEXT,__text) non-external (was a private external) _BrotliFindAllStaticDictionaryMatches
0000000190201684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.1
0000000190201684 (__TEXT,__text) non-external _BrotliFindAllStaticDictionaryMatches.cold.2
00000001901bd7ec (__TEXT,__text) non-external (was a private external) _BrotliFree
00000001901bd9f4 (__TEXT,__text) non-external (was a private external) _BrotliGetDictionary
00000001901d8d00 (__TEXT,__text) non-external (was a private external) _BrotliGetTransforms
00000001901d2528 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceCommand
00000001901d3124 (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceDistance
00000001901d192c (__TEXT,__text) non-external (was a private external) _BrotliHistogramBitCostDistanceLiteral
00000001901d224c (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineCommand
00000001901d2e48 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineDistance
00000001901d1650 (__TEXT,__text) non-external (was a private external) _BrotliHistogramCombineLiteral
00000001901d2738 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexCommand
00000001901d3334 (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexDistance
00000001901d1b3c (__TEXT,__text) non-external (was a private external) _BrotliHistogramReindexLiteral
00000001901d25c0 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapCommand
00000001901d31bc (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapDistance
00000001901d19c4 (__TEXT,__text) non-external (was a private external) _BrotliHistogramRemapLiteral
00000001901c2e00 (__TEXT,__text) non-external (was a private external) _BrotliInitBitReader
00000001901bea78 (__TEXT,__text) non-external (was a private external) _BrotliInitBlockSplit
00000001901f7bd8 (__TEXT,__text) non-external (was a private external) _BrotliInitDistanceParams
