                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
0000000191db1e64 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
0000000191dae5dc (__TEXT,__text) external _FSp_profile_init
0000000191dae5e4 (__TEXT,__text) external _FSp_profile_init_path
0000000191db1e6c (__TEXT,__text) external _FSp_put_svc_key
0000000191db1e74 (__TEXT,__text) external _FSp_read_service_key
00000001e37eb498 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001e37eb4b0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001e37eb470 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001e37eb458 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001e37eb428 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001e37eb440 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001e37eb410 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001e37eb538 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001e37eb508 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001e37eb4d0 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001e37eb518 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001e37eb4f8 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
0000000191db1fa8 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
0000000191db1fa0 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
0000000191db1f04 (__TEXT,__text) external _KClientAddCredentialsDeprecated
0000000191db1e9c (__TEXT,__text) external _KClientAddRealmMapDeprecated
0000000191db1ebc (__TEXT,__text) external _KClientAddServerMapDeprecated
0000000191db2110 (__TEXT,__text) external _KClientAddServiceKey
0000000191db1e7c (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
0000000191db2158 (__TEXT,__text) external _KClientDecrypt
0000000191db2008 (__TEXT,__text) external _KClientDecryptCompat
0000000191db1f0c (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
0000000191db1ea4 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
0000000191db1ec4 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
0000000191db1ef4 (__TEXT,__text) external _KClientDeleteSessionDeprecated
0000000191db2190 (__TEXT,__text) external _KClientDisposePrincipal
0000000191db2088 (__TEXT,__text) external _KClientDisposeSession
0000000191db1fc0 (__TEXT,__text) external _KClientDisposeSessionCompat
