00000001d9c584a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d9c59d50 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001d9c59b10 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001d9c59af8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001d9c59ae0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001d9c599d8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001d9c59a80 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001d9c59a18 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001d9c5b2f4 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001d9c5ae94 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001d9c5e194 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001d9c56814 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001d9c57cec (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001d9c57d7c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001d9c57e10 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001d9c57ec0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001d9c59fe4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001d9c59f54 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001d9c5d588 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001d9c5d4cc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001d9c564a0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d9c566ac (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001d9c56280 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d9c55d44 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d9c56270 (__TEXT,__text) non-external -[NFEventManager events]
00000001d9c556a8 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d9c5d854 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d9c560ac (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d9c55ea4 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d9c55624 (__TEXT,__text) non-external -[NFEventManager init]
00000001d9c55894 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d9c5d9cc (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d9c55bf0 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d9c5dc00 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d9c55b34 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d9c5db44 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d9c55744 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d9c5d910 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d9c559e4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d9c5da88 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d9c56278 (__TEXT,__text) non-external -[NFEventManager triggers]
00000001d9c563dc (__TEXT,__text) non-external -[NFEventTrigger .cxx_destruct]
00000001d9c563c4 (__TEXT,__text) non-external -[NFEventTrigger block]
00000001d9c563bc (__TEXT,__text) non-external -[NFEventTrigger events]
00000001d9c563d4 (__TEXT,__text) non-external -[NFEventTrigger fireOnAny]
00000001d9c563cc (__TEXT,__text) non-external -[NFEventTrigger fireOnce]
00000001d9c562c4 (__TEXT,__text) non-external -[NFEventTrigger initWithKey:fireOnce:fireOnAny:events:block:]
00000001d9c563b4 (__TEXT,__text) non-external -[NFEventTrigger key]
00000001d9c57c9c (__TEXT,__text) non-external -[NFLazy .cxx_destruct]
00000001d9c57c8c (__TEXT,__text) non-external -[NFLazy constructor]
00000001d9c57ac0 (__TEXT,__text) non-external -[NFLazy initWithConstructor:]
00000001d9c57c94 (__TEXT,__text) non-external -[NFLazy lock]
00000001d9c57c18 (__TEXT,__text) non-external -[NFLazy reset]
00000001d9c57b60 (__TEXT,__text) non-external -[NFLazy value]
00000001d9c5d364 (__TEXT,__text) non-external -[NFMultiDelegate .cxx_destruct]
00000001d9c5cc44 (__TEXT,__text) non-external -[NFMultiDelegate addDelegate:]
00000001d9c5d340 (__TEXT,__text) non-external -[NFMultiDelegate children]
00000001d9c5ce1c (__TEXT,__text) non-external -[NFMultiDelegate conformsToProtocol:]
00000001d9c5d348 (__TEXT,__text) non-external -[NFMultiDelegate delegateProtocol]
00000001d9c5cc40 (__TEXT,__text) non-external -[NFMultiDelegate delegate]
00000001d9c5d1d0 (__TEXT,__text) non-external -[NFMultiDelegate forwardInvocation:]
