00007ffe07858052 (__TEXT,__text) non-external _Done_iODBC
00007ffe07875d50 (__TEXT,__const) non-external _FunctionNumbers
00007ffe07874d20 (__TEXT,__text) non-external _GetPrivateProfileString
00007ffe07857f34 (__TEXT,__text) non-external _Init_iODBC
00007ffe4343cf1c (__DATA,__common) non-external _ODBCSharedTraceFlag
00007ffe078565b2 (__TEXT,__text) external _SQLAllocConnect
00007ffe07856498 (__TEXT,__text) non-external _SQLAllocConnect_Internal
00007ffe07857ebb (__TEXT,__text) external _SQLAllocEnv
00007ffe07857d03 (__TEXT,__text) non-external _SQLAllocEnv_Internal
00007ffe0786260c (__TEXT,__text) external _SQLAllocHandle
00007ffe07862707 (__TEXT,__text) non-external _SQLAllocHandleStd
00007ffe07862370 (__TEXT,__text) non-external _SQLAllocHandle_Internal
00007ffe0785b165 (__TEXT,__text) external _SQLAllocStmt
00007ffe0785ab80 (__TEXT,__text) non-external _SQLAllocStmt_Internal
00007ffe07860269 (__TEXT,__text) external _SQLBindCol
00007ffe078685e9 (__TEXT,__text) external _SQLBindParam
00007ffe0785f5a2 (__TEXT,__text) external _SQLBindParameter
00007ffe07853104 (__TEXT,__text) external _SQLBrowseConnect
00007ffe07853273 (__TEXT,__text) external _SQLBrowseConnectA
00007ffe078533e2 (__TEXT,__text) external _SQLBrowseConnectW
00007ffe07852a88 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
00007ffe078680a8 (__TEXT,__text) external _SQLBulkOperations
00007ffe0785c06d (__TEXT,__text) external _SQLCancel
00007ffe07868615 (__TEXT,__text) external _SQLCloseCursor
00007ffe07867aec (__TEXT,__text) external _SQLColAttribute
00007ffe07867c96 (__TEXT,__text) external _SQLColAttributeA
00007ffe07867e40 (__TEXT,__text) external _SQLColAttributeW
00007ffe078673ab (__TEXT,__text) non-external _SQLColAttribute_Internal
00007ffe07861e6f (__TEXT,__text) external _SQLColAttributes
00007ffe07862019 (__TEXT,__text) external _SQLColAttributesA
00007ffe078621c3 (__TEXT,__text) external _SQLColAttributesW
